Ano,Nome do autor,Número da emenda,Localidade do gasto (Regionalização),Sigla UF ,Função,Subfunção,Valor empenhado,Valor liquidado,Valor pago
2021,MARCELO RAMOS,6,AMAZONAS,AM,Agricultura,Difusão do conhecimento científico e tecnológico,"180,000.00","1,961.99","1,961.99"
2021,LEUR LOMANTO JUNIOR,2,BAHIA,BA,Segurança pública,Policiamento,"180,000.00",0,0
2021,PAULA BELMONTE,15,DISTRITO FEDERAL,DF,Assistência social,Assistência comunitária,"180,000.00",0,0
2021,LUIZ CARLOS,4,AMAPÁ,AP,Direitos da cidadania,"Direitos individuais, coletivos e difusos","180,000.00",0,0
2021,DRA. VANDA MILANI,10,ACRE,AC,Encargos especiais,Outras transferências,"180,000.00","180,000.00","180,000.00"
2021,PEDRO WESTPHALEN,7,RIO GRANDE DO SUL,RS,Gestão ambiental,Preservação e conservação ambiental,"180,000.00",0,0
2021,JOAO CAMPOS,2,GOIÁS,GO,Trabalho,Administração geral,"180,000.00",0,0
2021,RAIMUNDO COSTA,6,BAHIA,BA,Segurança pública,Policiamento,"180,000.00",0,0
2021,PAULO GANIME,15,RIO DE JANEIRO,RJ,Defesa nacional,Defesa naval,"180,923.94",0,0
2021,ALESSANDRO VIEIRA,10,SERGIPE,SE,Gestão ambiental,Recursos hídricos,"182,560.00",0,0
2021,JOSE NUNES,7,BAHIA,BA,Direitos da cidadania,"Direitos individuais, coletivos e difusos","184,000.00",0,0
2021,AUREA CAROLINA,19,MINAS GERAIS,MG,Agricultura,Extensão rural,"184,559.50",0,0
2021,ANGELA AMIN,10,SANTA CATARINA,SC,Cultura,"Patrimônio histórico, artístico e arqueológico","185,089.30",0,0
2021,CARLOS VERAS,12,PERNAMBUCO,PE,Educação,Ensino superior,"185,768.39",0,0
2021,MARCELO CALERO,1,RIO DE JANEIRO,RJ,Cultura,Difusão cultural,"187,420.00",0,0
2021,EDUARDO CURY,10,Nacional,BR,Defesa nacional,Administração geral,"189,000.00",0,0
2021,CHICO DANGELO,4,RIO DE JANEIRO,RJ,Saúde,Assistência hospitalar e ambulatorial,"189,986.00","189,986.00","189,986.00"
2021,LUCAS REDECKER,5,Sul,Sul,Segurança pública,Policiamento,"189,993.00",0,0
2021,MARCELO ARO,1,MINAS GERAIS,MG,Gestão ambiental,Preservação e conservação ambiental,"190,000.00",0,0
2021,CARLA ZAMBELLI,15,SÃO PAULO,SP,Saúde,Assistência hospitalar e ambulatorial,"190,156.00",0,0
2021,ALESSANDRO VIEIRA,9,SERGIPE,SE,Agricultura,Extensão rural,"191,000.00",0,0
2021,HENRIQUE FONTANA,9,RIO GRANDE DO SUL,RS,Educação,Ensino superior,"191,336.61","51,952.52",0
2021,JOSE GUIMARAES,9,CEARÁ,CE,Educação,Ensino superior,"193,032.25","16,773.00",0
2021,HELIO LOPES,15,Nacional,BR,Defesa nacional,Atenção básica,"193,767.00","184,739.00","184,739.00"
2021,ROSANA VALLE,3,SÃO PAULO,SP,Educação,Ensino profissional,"194,040.00",0,0
2022,FELICIO LATERCA,12,Nacional,BR,Defesa nacional,Administração geral,"194,230.00",0,0
2022,LUCIANO BIVAR,10,Nacional,BR,Defesa nacional,Normatização e fiscalização,"194,230.00",0,0
2021,PATRUS ANANIAS,1,MINAS GERAIS,MG,Agricultura,Promoção da produção agropecuária,"194,820.00",0,0
2021,VENEZIANO VITAL DO REGO,6,PARAÍBA,PB,Saúde,Assistência hospitalar e ambulatorial,"195,000.00",0,0
2021,EDUARDO CURY,13,SÃO PAULO,SP,Saúde,Atenção básica,"195,850.00",0,0
2021,ANGELA AMIN,15,SANTA CATARINA,SC,Cultura,"Patrimônio histórico, artístico e arqueológico","196,580.93",0,0
2021,JOSE RICARDO,8,Nacional,BR,Educação,Educação básica,"196,871.58",0,0
2021,FRANCISCO JR.,4,GOIÁS,GO,Educação,Educação básica,"197,968.11",0,0
2021,AUGUSTO COUTINHO,7,PERNAMBUCO,PE,Educação,Educação básica,"198,035.24",0,0
2021,ROBERTO ALVES,2,Nacional,BR,Segurança pública,Policiamento,"198,199.00",0,0
2021,BETO ROSADO,5,RIO GRANDE DO NORTE,RN,Educação,Ensino superior,"198,399.86","14,700.00","14,700.00"
2021,RAIMUNDO COSTA,14,BAHIA,BA,Saúde,Assistência hospitalar e ambulatorial,"198,443.00",0,0
2021,PEDRO CUNHA LIMA,4,Nacional,BR,Segurança pública,Policiamento,"198,558.46",0,0
2021,EDNA HENRIQUE,1,Nacional,BR,Segurança pública,Policiamento,"198,558.46",0,0
2021,EFRAIM FILHO,14,Nacional,BR,Segurança pública,Policiamento,"198,558.46",0,0
2021,BIA KICIS,16,Nacional,BR,Defesa nacional,Desporto comunitário,"198,881.60","22,860.00","22,860.00"
2021,JADER BARBALHO,5,PARÁ,PA,Educação,Ensino superior,"198,979.47",0,0
2021,JOSE RICARDO,19,AMAZONAS,AM,Saúde,Assistência hospitalar e ambulatorial,"199,056.00",0,0
2021,HELIO LOPES,13,Nacional,BR,Defesa nacional,Atenção básica,"199,214.32","98,225.00","5,178.00"
2021,PATRUS ANANIAS,19,MINAS GERAIS,MG,Cultura,Difusão cultural,"199,300.00",0,0
2021,CONFUCIO MOURA,5,RONDÔNIA,RO,Saúde,Assistência hospitalar e ambulatorial,"199,366.00",0,0
2021,EDUARDO DA FONTE,8,PERNAMBUCO,PE,Saúde,Assistência hospitalar e ambulatorial,"199,374.00",0,0
2021,FERNANDO MONTEIRO,13,PERNAMBUCO,PE,Educação,Ensino superior,"199,466.53","127,242.64","49,990.00"
2021,MARIA DO ROSARIO,1,RIO GRANDE DO SUL,RS,Educação,Ensino superior,"199,501.33","30,360.09",0
2021,JOAO BOSCO DA COSTA,6,SERGIPE,SE,Defesa nacional,Defesa terrestre,"199,513.93",0,0
2021,ELIAS VAZ,18,GOIÁS,GO,Educação,Ensino profissional,"199,544.19",0,0
2021,ALICE PORTUGAL,11,BAHIA,BA,Saúde,Vigilância epidemiológica ,"199,558.66","199,558.66",0
2021,EDUARDO DA FONTE,7,PERNAMBUCO,PE,Saúde,Assistência hospitalar e ambulatorial,"199,598.00","199,598.00","199,598.00"
2021,CARLOS VERAS,10,PERNAMBUCO,PE,Educação,Ensino superior,"199,600.00","133,800.00","122,000.00"
2021,ANDRE DE PAULA,2,PERNAMBUCO,PE,Direitos da cidadania,"Direitos individuais, coletivos e difusos","199,625.00",0,0
2021,ZENAIDE MAIA,17,RIO GRANDE DO NORTE,RN,Defesa nacional,Atenção básica,"199,677.00","164,985.15","144,112.00"
2021,GORETE PEREIRA,18,CEARÁ,CE,Educação,Ensino superior,"199,745.18","155,750.30",0
2021,GENERAL PETERNELLI,17,Nacional,BR,Defesa nacional,Atenção básica,"199,782.98","191,501.98","191,501.98"
