Name,Author,User Rating,Reviews,Price,Year,Genre,ficcao
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,0
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,1
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,0
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,0
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,1
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,1
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,1
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,1
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,1
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,1
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,1
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,1
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,1
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,0
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,1
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,1
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,1
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,0
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,1
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,1
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,1
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,0
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,1
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,1
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,1
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,1
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,1
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,1
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,1
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,1
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,1
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,1
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,0
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,1
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,1
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,0
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,0
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,0
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,1
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,1
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,1
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,0
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,1
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,1
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,1
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,1
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,1
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,0
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,0
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,0
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,0
