codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
100,2020,2,12019000,21,160,PI,320151,2372,2372539,847964
101,2020,4,12019000,21,160,BA,1017700,72641,72641476,25068253
102,2020,3,12019000,21,670,MT,227600,24210,24209525,8511585
103,2020,3,12019000,21,160,PA,320151,25930,25930000,9090227
104,2020,4,12019000,21,81,SP,1017700,83,82993,26989
105,2020,3,12019000,21,160,MG,727600,85414,85414631,29337388
106,2020,3,12019000,21,160,TO,517800,34167,34165850,11580699
107,2020,3,12019000,21,81,MT,917800,1080,1080424,365095
108,2020,4,12019000,21,160,MT,217800,277168,277167751,93779554
109,2020,4,12019000,21,160,GO,727600,285599,285599204,97124130
110,2020,2,12019000,21,160,SC,917800,29616,29614499,9821604
111,2020,1,12019000,21,160,MS,917800,3231,3231450,1157855
112,2020,4,12019000,21,386,MT,227600,72200,72200225,24130778
113,2020,4,12019000,21,776,MT,727600,1500,1500000,485865
114,2020,3,12019000,21,160,SP,1017700,4836,4836049,1689087
115,2020,3,12019000,21,190,MT,817800,27800,27800000,9975014
116,2020,2,12019000,21,858,GO,817800,4437,4437707,1561998
117,2020,4,12019000,21,161,MS,817800,15956,15956044,5373244
118,2020,3,12019000,21,365,ND,817800,20000,20000000,6977600
119,2020,3,12019000,21,59,PA,217800,8074,8074408,2814283
120,2020,3,12019000,21,858,GO,727600,12723,12722742,4501576
121,2020,4,12019000,21,576,GO,927502,322,322385,106290
122,2020,2,12019000,21,372,PA,217800,12000,12000000,4248360
123,2020,4,12019000,21,383,RO,227600,14850,14850446,4807238
124,2020,4,12019000,21,827,PA,320151,1500,1500000,523005
125,2020,3,12019000,21,628,RO,210200,9700,9700000,3324578
126,2020,3,12019000,21,301,RO,227600,4099,4099215,1370040
127,2020,1,12019000,21,399,MA,320151,1549,1549121,552494
128,2020,1,12019000,21,160,SC,1017700,35800,35800393,13749788
129,2020,4,12019000,21,245,PR,210200,1761,1760836,585795
130,2020,4,12019000,21,767,ND,817800,20000,20000000,7600000
131,2020,4,12019000,21,63,MS,147852,6467,6467365,2056622
132,2020,3,12019000,21,160,PR,927502,13230,13230066,4589245
133,2020,1,12019000,21,741,SP,817800,0,0,2
134,2020,4,12019000,21,160,PR,217800,6400,6400000,1150000
135,2020,2,12019000,21,160,TO,320151,6552,6550957,2312307
136,2020,4,12019000,21,160,MT,817800,947281,947281569,320824602
137,2020,1,12019000,21,160,MT,817800,124426,124426471,43559502
138,2020,4,12019000,21,858,PR,927700,25110,25110036,8050569
139,2020,2,12019000,21,776,PB,210200,5161,5160802,1792863
140,2020,3,12019000,21,245,RO,227600,40501,40500622,14232109
141,2020,2,12019000,21,160,SP,1017700,34661,34660618,12489803
142,2020,4,12019000,21,628,MT,217800,58504,58503988,19764674
143,2020,4,12019000,21,160,SP,917800,35930,35928795,12234958
144,2020,4,12019000,21,160,GO,917800,4264,4263898,1444165
145,2020,4,12019000,21,160,SC,1017700,6930,6929804,2304457
146,2020,1,12019000,21,573,BA,320151,6690,6690000,2345380
147,2020,3,12019000,21,776,GO,817800,13491,13490683,4654135
148,2020,3,12019000,21,474,MT,817800,5000,5000000,1759950
149,2020,4,12019000,21,160,MT,210200,46534,46533641,15111248
150,2020,4,12019000,21,190,ND,817800,161941,161941180,59825158
151,2020,3,12019000,21,383,MT,210200,22115,22115240,7155165
152,2020,4,12019000,21,160,ND,320151,140000,140000000,51800100
153,2020,1,12019000,21,628,PR,210200,20152,20152343,7257465
154,2020,2,12019000,21,538,AM,227600,13,12614,4284
155,2020,4,12019000,21,160,ND,217800,84000,84000000,29836000
156,2020,4,12019000,21,372,GO,817800,5077,5076874,1717727
157,2020,2,12019000,21,160,MA,320151,33738,33737098,12182225
158,2020,1,12019000,21,160,PA,320151,26445,26445932,9489257
159,2020,3,12019000,21,245,TO,320151,22150,22149988,7453870
160,2020,4,12019000,21,160,RS,917800,618,618284,208492
161,2020,4,12019000,21,160,SP,917800,6832,6832776,2319447
162,2020,2,12019000,21,160,ND,817800,65700,65700000,25633000
163,2020,3,12019000,21,245,RO,210200,21680,21680000,7471161
164,2020,3,12019000,21,573,SP,210200,17000,17000000,5896960
165,2020,4,12019000,21,372,SP,817800,3674,3673895,1353529
