Data,São Paulo,Rio de Janeiro,Minas Gerais,Espírito Santo
16-Sep,8157,1764,2989,736
17-Sep,7393,661,3406,761
18-Sep,7711,2955,3184,802
19-Sep,7141,1463,2824,447
20-Sep,3627,648,2044,571
21-Sep,2032,137,1141,894
22-Sep,8090,1710,2039,686
23-Sep,6551,1129,3081,735
24-Sep,6267,3100,2587,762
25-Sep,6681,1503,4578,897
26-Sep,5967,182,2871,457
27-Sep,1349,2190,2269,470
28-Sep,905,146,1518,604
29-Sep,6377,1693,2154,918
30-Sep,6109,1084,2878,776
1-Oct,6097,1452,3438,860
2-Oct,15608,4160,3475,675
3-Oct,16096,1180,3445,719
4-Oct,473,126,1672,552
5-Oct,677,1637,1267,705
6-Oct,6260,2077,1658,849
7-Oct,5916,2024,2908,740
8-Oct,5649,2705,2009,740
9-Oct,5786,1936,3049,769
10-Oct,6626,1327,3050,363
11-Oct,2844,268,1796,471
12-Oct,684,183,1031,822
13-Oct,685,195,659,946
14-Oct,6031,1152,1346,847
15-Oct,6553,1077,2430,871
16-Oct,5627,3158,3031,674
17-Oct,5394,129,2565,861
18-Oct,968,1309,1685,461
19-Oct,437,535,965,1000
20-Oct,4923,1208,1459,818
21-Oct,4299,1319,2395,1162
22-Oct,3678,1081,2657,660
23-Oct,6702,1776,2029,1094
24-Oct,5614,2026,1818,505
25-Oct,2725,557,1798,663
26-Oct,863,3366,708,959
27-Oct,5364,2160,1521,940
28-Oct,5375,1766,2278,788
29-Oct,5278,1345,1915,1127
30-Oct,4928,1479,3745,605
31-Oct,2339,481,0,985
1-Nov,1020,1037,1020,297
2-Nov,648,294,839,663
3-Nov,749,1781,326,1069
4-Nov,4755,0,1184,1018
5-Nov,2637,754,2201,1045
6-Nov,0,966,1762,1077
7-Nov,0,539,2306,318
8-Nov,0,822,1347,1220
9-Nov,0,405,1035,644
10-Nov,21515,2378,1491,1587
11-Nov,3421,1645,2169,1029
12-Nov,5780,1785,1886,1311
13-Nov,6130,623,2737,1359
14-Nov,4640,3639,2036,481
15-Nov,1218,311,1572,1089
16-Nov,737,499,591,1309
17-Nov,8698,2554,1954,1687
18-Nov,6421,2387,2324,1314
19-Nov,6794,2118,2586,1062
20-Nov,9058,2401,2773,1603
21-Nov,5087,362,2424,583
22-Nov,4153,926,1399,673
23-Nov,1037,485,1081,1358
24-Nov,5219,2145,1522,1789
25-Nov,8900,3162,4006,1549
26-Nov,4523,2029,3338,1946
27-Nov,4320,1324,2851,1773
28-Nov,4507,5412,3265,1768
29-Nov,2379,556,2251,587
30-Nov,1180,1038,1088,1072
1-Dec,8937,3628,3320,1972
2-Dec,9114,3415,4500,1852
3-Dec,8208,3788,4635,1612
4-Dec,8237,2456,4291,1667
5-Dec,8938,2626,5223,1843
6-Dec,2675,808,3011,1310
7-Dec,1116,301,871,1890
8-Dec,7923,3377,2614,2418
9-Dec,9784,3331,4080,2419
10-Dec,9786,3560,4484,1524
11-Dec,8791,3298,6173,2076
12-Dec,8601,3489,5008,1720
13-Dec,940,694,3478,820
14-Dec,2313,768,980,2414
15-Dec,4412,1457,4222,2400
16-Dec,,4036,4472,2989
17-Dec,20303,3493,5672,2292
18-Dec,9922,3601,5565,2139
19-Dec,12447,1180,5253,1887
20-Dec,,3160,3485,1496
21-Dec,3943,755,1827,1679
22-Dec,10714,3794,4201,2340
23-Dec,10382,2975,6519,1734
24-Dec,9351,4199,5969,1744
25-Dec,3596,603,4030,740
26-Dec,1253,929,2113,1448
