PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, DEZEMBRO,1190,448,14,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, DEZEMBRO,300,156.25,25,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, DEZEMBRO,575,246.33,23,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, DEZEMBRO,360,191.4,30,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, DEZEMBRO,460,163.3,23,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, DEZEMBRO,374,150.28,34,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, DEZEMBRO,320,142.47,1,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, DEZEMBRO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, DEZEMBRO,0,0,0,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, DEZEMBRO,110,33.38,1,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, DEZEMBRO,675,349.65,15,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, DEZEMBRO,0,0,0,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, DEZEMBRO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, DEZEMBRO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, DEZEMBRO,1380,581.44,46,LAMP
