mat_codigo,mfo_referencia,mat_descricao,mat_marca,Legenda,end_descricao,Est_Fisico,Est_Vendido,Est_Comprado,Disponivel
34614,008316,COPO SHAKE 500 ML HOMEM-ARANHA,PLASUTIL,Em linha,R29-B04-A01-P03,1421,540,900,881
21516,006531,COPO 320 ML OS VINGADORES ,PLASUTIL,Em linha,R33-B05-A00-P02,214,31,720,183
34672,008326,CANECA 360 ML OS VINGADORES,PLASUTIL,Em linha,R32-B06-A01-P02,2032,663,1200,1369
34673,008281,COPO SHAKE 500 ML VINGADORES,PLASUTIL,Em linha,R29-B01-A01-P03,817,615,900,202
56933,6372,CANECA 360 ML MINIONS,PLASUTIL,Lancamento,R32-B10-A01-P04,498,28,0,470
56932,13920,CANECA 360 ML DIVERTIDA MINIONS,PLASUTIL,Lancamento,R32-B07-A01-P04,567,12,240,555
42308,001072,SHAKEIRA 320 ML MINIONS,PLASUTIL,Lancamento,R31-B03-A01-P03,593,442,900,151
56934,13919,COPO SHAKE 280 ML MINIONS,PLASUTIL,Lancamento,R31-B05-A01-P03,660,540,900,120
56935,13921,GARRAFA FOGUETE MINIONS 320 ML,PLASUTIL,Lancamento,R29-B02-A02-P01,1028,27,0,1001
9961,002615,COPO RETRATIL 330 ML,PLASUTIL,Em linha,R31-B10-A01-P01,527,6,0,521
54819,9763,CANECA TRIO 280 ML INFANTIL,PLASUTIL,Promocao,R30-B10-A01-P02,1048,40,0,1008
56402,013547,GARRAFA FOGUETE 320 ML,PLASUTIL,Promocao,R31-B10-A02-P03,2175,609,1200,1566
34668,008216,COPO TRIO 330 ML URSA,PLASUTIL,Em linha,R33-B10-A01-P03,500,6,0,494
34669,008217,CANECA TRIO 330 ML URSA,PLASUTIL,Em linha,R31-B09-A01-P02,1367,60,270,1307
39515,008201,SABONETEIRA URSA,PLASUTIL,Em linha,R33-B06-A01-P04,1138,82,360,1056
35557,008450,COPO TRIO 330 ML URSO,PLASUTIL,Em linha,R33-B10-A01-P04,399,10,0,389
35558,008451,CANECA TRIO 330 ML URSO,PLASUTIL,Em linha,R31-B10-A01-P03,1512,49,0,1463
39516,008430,SABONETEIRA URSO,PLASUTIL,Em linha,R33-B05-A01-P05,1328,81,0,1247
34667,008198,BANHEIRA 21 LTS URSA,PLASUTIL,Em linha,R29-B05-A00-P01,27,1,30,26
35554,008433,BANHEIRA 21 LTS URSO,PLASUTIL,Em linha,R29-B05-A00-P02,31,1,30,30
35555,008197,BANHEIRA 24 LTS ERGONOMICA URSA,PLASUTIL,Em linha,R29-B06-A00-P02,92,3,0,89
35556,008432,BANHEIRA 24 LTS ERGONOMICA URSO,PLASUTIL,Em linha,R29-B06-A00-P01,84,0,0,84
35545,008207,CESTO INFANTIL 38 LTS URSA,PLASUTIL,Em linha,R32-B06-A02-P01,86,2,0,84
35546,008437,CESTO INFANTIL 38 LTS URSO,PLASUTIL,Em linha,R32-B05-A02-P03,71,3,0,68
2354,003668,BANHEIRA 28 LTS ROSA,PLASUTIL,Em linha,R29-B02-A00-P01,52,0,0,52
2355,003662,BANHEIRA 28 LTS AZUL,PLASUTIL,Em linha,R29-B02-A00-P02,82,0,0,82
21527,007087,COPO TRIO 330 ML ARCO IRIS,PLASUTIL,Em linha,R33-B10-A01-P02,387,0,0,387
21529,007088,CANECA TRIO 330 ML ARCO IRIS,PLASUTIL,Em linha,R31-B10-A01-P02,1139,81,0,1058
21429,007121,CANECA 360 ML ARCO IRIS ,PLASUTIL,Em linha,R32-B08-A01-P01,214,48,400,166
39510,008291,SABONETEIRA ARCO IRIS,PLASUTIL,Em linha,R33-B06-A01-P03,783,39,360,744
15213,007092,BANHEIRA 21 LTS ARCO IRIS,PLASUTIL,Em linha,R29-B04-A00-P01,52,1,0,51
22316,007089,CESTO INFANTIL 38 LTS ARCO IRIS,PLASUTIL,Em linha,R32-B05-A02-P02,41,1,0,40
21526,007035,COPO TRIO 330 ML INFANTIL DINOSSAURO 330 ML,PLASUTIL,Em linha,R33-B10-A01-P01,575,0,0,575
21528,007036,CANECA TRIO 330 ML DINOSSAURO ,PLASUTIL,Em linha,R31-B09-A01-P01,1295,96,0,1199
21432,007059,CANECA 360 ML DINOSSAURO,PLASUTIL,Em linha,R32-B05-A01-P03,204,38,400,166
39514,008290,SABONETEIRA DINOSSAURO,PLASUTIL,Em linha,R33-B06-A01-P02,791,51,0,740
15212,007040,BANHEIRA 21 LTS DINOSSAURO,PLASUTIL,Em linha,R29-B04-A00-P02,58,2,0,56
22315,007037,CESTO INFANTIL 38 LTS DINOSSAURO,PLASUTIL,Em linha,R32-B05-A02-P01,45,1,0,44
53750,013162,"PORTA MASCARA DUPLO DEC - 8,5 X 12 X 4 CM",PLASUTIL,Promocao,R29-B10-A01-P02,834,6,0,828
11237,002847,PORTA COMPRIMIDOS REDONDO   77 X 19 MM,PLASUTIL,Em linha,R31-B06-A01-P03,413,0,120,413
56042,13450,"PORTA COMPRIMIDO FITNESS - 12 X 8 X 2,4 CM",PLASUTIL,Em linha,R31-B06-A01-P04,435,12,0,423
2358,000355,SABONETEIRA,PLASUTIL,Em linha,R30-B07-A01-P02,406,18,120,388
14181,002795,PORTA ESCOVA VIAGEM,PLASUTIL,Em linha,R30-B08-A01-P02,593,37,420,556
56401,005706,SHAKEIRA 580 ML FITNESS,PLASUTIL,Em linha,R30-B03-A02-P02,385,16,0,369
56397,013421,SHAKEIRA 600 ML FITNESS VIP,PLASUTIL,Em linha,R33-B10-A01-P05,194,1,0,193
56398,013448,GARRAFA 530 ML ABRE FACIL FITNESS,PLASUTIL,Em linha,R33-B09-A01-P05,513,39,360,474
56399,013449,GARRAFA 1 L ABRE FACIL FITNESS,PLASUTIL,Em linha,R30-B06-A00-P03,340,37,240,303
56400,013453,"SABONETEIRA FITNESS - 12 X 8,8 X 4,5 CM",PLASUTIL,Em linha,R33-B05-A01-P04,493,33,0,460
46797,007959,SHAKEIRA 580 ML TROPICAL,PLASUTIL,Em linha,R30-B04-A02-P03,331,0,0,331
26936,006396,SHAKEIRA 580 ML GEN ,PLASUTIL,Em linha,R30-B04-A02-P01,360,20,70,340
46796,007936,GARRAFA SHAKEIRA 580 ML FITNESS SORTIDA,PLASUTIL,Em linha,R30-B07-A02-P01,840,6,0,834
46769,001637,GARRAFA SHAKE 660 ML SORTIDA,PLASUTIL,Em linha,R31-B08-A01-P02,181,0,0,181
39471,000612,COPO C/ TAMPA FLIP 700ML,PLASUTIL,Em linha,R31-B05-A01-P04,189,10,120,179
39470,008989,COPO C/ TAMPA BICO 320ML,PLASUTIL,Em linha,R30-B03-A01-P01,754,6,0,748
34594,006820,COPO C/ TAMPA BICO 500ML,PLASUTIL,Promocao,R30-B09-A01-P03,451,0,0,451
39481,000607,COPO SHAKE 500 ML DEC. 02,PLASUTIL,Em linha,R29-B02-A01-P01,690,0,0,690
34595,006821,COPO SHAKE 500 ML DEC. 01,PLASUTIL,Em linha,R29-B03-A01-P01,524,0,0,524
34834,008039,GARRAFA RETRÔ 500 ML,PLASUTIL,Em linha,R33-B08-A00-P02,1261,38,900,1223
54827,665,COPO 320 ML COCA-COLA,PLASUTIL,Em linha,R33-B06-A00-P02,581,24,0,557
54828,013345,COPO 530 ML CRISTAL COCA-COLA,PLASUTIL,Em linha,R30-B09-A01-P04,348,0,0,348
54831,013056,COPO SHAKE 500 ML COCA-COLA,PLASUTIL,Em linha,R32-B10-A02-P03,774,15,0,759
54832,13053,GARRAFA RETRO 500 ML COCA-COLA,PLASUTIL,Em linha,R32-B09-A02-P03,526,3,0,523
54830,013055,COPO REFRI 700 ML COCA-COLA,PLASUTIL,Em linha,R32-B10-A02-P01,164,0,0,164
40528,008666    ,"SUQUEIRA RETRÔ 3,9 LTS",PLASUTIL,Em linha,R31-B09-A02-P01,46,0,0,46
35550,008038,"PET GARRAFA NEW YORK 1,8 LTS",PLASUTIL,Em linha,R31-B05-A02-P03,211,14,0,197
54816,3420,"BOLEIRA RED RETRÔ C/ ALCA E ROSCA - 28,5 X 12 CM",PLASUTIL,Em linha,R32-B10-A02-P02,197,6,0,191
56020,3424,"BOLEIRA RED CAFE DA MANHA FENDI 26 X 12,8 CM",PLASUTIL,Em linha,R29-B09-A02-P01,113,2,0,111
54850,3417,SERVE PAO RETRÔ,PLASUTIL,Em linha,R30-B07-A01-P03,200,13,0,187
54848,3394,QUEIJEIRA ROSCA CAFÉ DA MANHÃ FENDI - 20 X 9 CM,PLASUTIL,Em linha,R31-B01-A02-P01,473,22,0,451
54844,8696,POTE RETANGULAR 1L C/ 2 DIV CAFÉ DA MANHÃ FENDI,PLASUTIL,Em linha,R30-B06-A01-P03,796,33,0,763
39507,008341,POTE MORTADELA RETRO 750 ML,PLASUTIL,Em linha,R31-B06-A01-P02,282,39,490,243
56023,6142,PORTA CAFÉ E FILTRO DEC CAFÉ DA MANHA FENDI,PLASUTIL,Em linha,R30-B09-A02-P01,204,36,30,168
56024,6143,PORTA ACUCAR C/ COLHER CAFÉ DA MANHA FENDI,PLASUTIL,Em linha,R30-B09-A02-P02,157,6,0,151
54840,1727,PORTA FILTRO PARA CAFÉ RETRÔ,PLASUTIL,Em linha,R32-B07-A00-P01,652,43,480,609
56283,6144,PORTA FILTRO DE CAFE DEC FENDI,PLASUTIL,Em linha,R30-B03-A01-P02,377,0,0,377
54818,8687,CANECA 360 ML CAFÉ DA MANHÃ FENDI,PLASUTIL,Em linha,R32-B05-A01-P04,1154,24,0,1130
52458,009627,CANECA 360 ML DEC,PLASUTIL,Em linha,R32-B05-A01-P01,451,12,0,439
56396,013904,COPO SHAKE 280 ML COLORS,PLASUTIL,Em linha,R33-B07-A01-P01,300,0,0,300
56395,013905,COPO REFRI 270 ML COLORS,PLASUTIL,Em linha,R33-B06-A01-P01,390,0,0,390
56049,13646,"CRISTAL - PORTA MANT 1,24L QUAD TRAVA MAIS",PLASUTIL,Em linha,R29-B02-A02-P02,82,15,480,67
56048,13645,CRISTAL - PORTA MANT 830ML QUAD TRAVA MAIS,PLASUTIL,Em linha,R30-B02-A02-P04,154,18,450,136
56047,13644,CRISTAL - PORTA MANT 380ML QUAD TRAVA MAIS,PLASUTIL,Em linha,R30-B02-A02-P03,408,6,0,402
56022,5582,"CRISTAL - PETISQUEIRA C/ BANDEJA - 35 X 22 X 3,8CM",PLASUTIL,Em linha,R30-B05-A01-P01,88,0,0,88
56421,013653,CRISTAL - TAÇA GIN 500 ML,PLASUTIL,Em linha,R30-B05-A01-P04,229,0,120,229
56044,13519,"PORTA AZEITE FENDI - 7,6 X 18,6 CM",PLASUTIL,Em linha,R31-B04-A01-P01,97,1,0,96
56046,13524,PORTA QUEIJO RALADO C/ ALCA FENDI - 11 X 8 X 12 CM,PLASUTIL,Promocao,R30-B01-A01-P03,452,21,0,431
56045,13521,SALEIRO C/ ALCA FENDI - 11 X 8 X 12 CM,PLASUTIL,Promocao,R30-B05-A01-P03,490,31,0,459
51110,001723,PORTA CONDIMENTOS ROSCA 03 PCS,PLASUTIL,Promocao,R31-B01-A02-P02,1297,4,0,1293
56416,013549,"POTE FLIP 700ML - Ø12,3 X 9,5 CM",PLASUTIL,Em linha,R30-B02-A02-P01,145,0,0,145
56414,013554,"POTE FLIP 1,1L - Ø13,2 X 12,8 CM",PLASUTIL,Em linha,R30-B02-A00-P01,118,0,0,118
56415,013559,"POTE FLIP 1,9L - Ø14 X 18,2 CM",PLASUTIL,Em linha,R30-B02-A00-P02,86,2,60,84
54838,9564,KIT MEDIDOR 9 PÇS,PLASUTIL,Promocao,R31-B06-A01-P01,238,0,0,238
50068,007938,POTE RETANGULAR 1L C/ 3 DIV SORTIDA,PLASUTIL,Em linha,R30-B06-A01-P02,327,0,0,327
38081,008077,"MARMITA FIT 520 ML - 19,6X10,6X10,8 CM SORTIDA",PLASUTIL,Em linha,R29-B01-A02-P01,147,5,0,142
9341,002607,LAVA TUDO OVAL,PLASUTIL,Em linha,R30-B06-A00-P01,950,57,0,893
1919,000503,PEGADOR DE MACARRAO,PLASUTIL,Em linha,R31-B03-A00-P01,344,30,600,314
1921,000498,COLHER,PLASUTIL,Em linha,R31-B04-A00-P01,1129,65,900,1064
1915,000499,ESCUMADEIRA,PLASUTIL,Em linha,R31-B04-A00-P02,1036,55,480,981
1917,000501,CONCHA,PLASUTIL,Em linha,R31-B04-A00-P03,947,65,1200,882
1918,000502,ESPATULA,PLASUTIL,Em linha,R31-B03-A00-P02,2004,133,720,1871
46775,006323,PET KIT ORG GIRE TRAVE C/4 - 155ML,PLASUTIL,Em linha,R30-B02-A01-P02,215,15,0,200
46776,006350,PET KIT ORG GIRE TRAVE C/4 -220ML CAFÉ MANHA FENDI,PLASUTIL,Em linha,R30-B02-A01-P03,128,30,0,98
51106,012885,PET POTE PLUG QUADRADO 2 L,PLASUTIL,Promocao,R32-B09-A02-P04,379,3,0,376
51105,012884,"PET POTE PLUG QUADRADO 1,28 L",PLASUTIL,Promocao,R32-B09-A02-P02,392,3,0,389
51107,012883,PET POTE PLUG QUADRADO 510 ML,PLASUTIL,Promocao,R32-B10-A01-P02,358,9,0,349
25255,005993,POTE TRIO QUADRADO BAIXO 1000 ML,PLASUTIL,Em linha,R29-B06-A01-P01,693,18,0,675
25256,005994,POTE TRIO QUADRADO BAIXO 1800 ML,PLASUTIL,Em linha,R29-B06-A01-P02,255,18,0,237
25260,005998,POTE TRIO RETANG ALTO 1200 ML,PLASUTIL,Em linha,R29-B05-A01-P03,171,12,180,159
56941,12809,KIT PORTA DETERGENTE 600 ML C/ RODO - FENDI,PLASUTIL,Lancamento,R32-B14-A00-P03,727,16,0,711
48676,003427,PORTA ESCOVA 770ML TRAMA FENDI,PLASUTIL,Em linha,R33-B10-A00-P02,1102,34,0,1068
48677,003440,PORTA SAB. LIQUIDO 360ML TRAMA FENDI,PLASUTIL,Em linha,R33-B09-A00-P02,1135,12,0,1123
48686,007771,RODINHO DE PIA 13 CM FENDI,PLASUTIL,Em linha,R32-B01-A00-P01,3684,262,2100,3422
52457,007778,RODINHO DE PIA 16CM FENDI,PLASUTIL,Promocao,R31-B10-A00-P02,2258,225,1800,2033
48675,006977,PORTA DETERGENTE COMPLETO  600 ML,PLASUTIL,Em linha,R33-B16-A00-P01,1740,69,0,1671
48666,007749,ESCORREDOR DE TALHERES  - 22 X 14 X 12 CM,PLASUTIL,Em linha,R31-B07-A01-P03,834,53,0,781
48670,001093,LIXEIRA C/ PEDAL TRAMA  7 LTS,PLASUTIL,Em linha,R33-B07-A02-P03,116,6,0,110
48669,001096,LIXEIRA C/ PEDAL TRAMA  12 LTS,PLASUTIL,Em linha,R29-B10-A02-P03,96,1,0,95
48655,003287,CESTO DE ROUPAS TRAMA 40 L FENDI,PLASUTIL,Em linha,R31-B09-A02-P02,69,0,0,69
16419,005708,CJ MANTIMENTO ROSCA C/ 05 PCS,PLASUTIL,Promocao,R32-B03-A00-P01,135,0,0,135
32124,008048,PORTA ACUCAR VINTAGE 1800 ML,PLASUTIL,Promocao,R30-B05-A00-P02,226,27,0,199
32123,008047,PORTA CAFE VINTAGE 1800 ML,PLASUTIL,Promocao,R30-B05-A00-P01,257,27,0,230
12937,005598,"POTE ALTO RETANG 2 DIV 1,1 LTS CAFE DA MANHA",PLASUTIL,Promocao,R32-B05-A00-P02,445,12,240,433
46784,003630,"POTE ROSCA 1,8L ARROZ",PLASUTIL,Em linha,R32-B10-A00-P01,303,9,0,294
46787,003624,"POTE ROSCA 1,8L FEIJAO",PLASUTIL,Em linha,R32-B10-A00-P03,381,13,0,368
34592,008170,"POTE ROSCA 1,8L SAL GROSSO",PLASUTIL,Em linha,R30-B09-A00-P01,177,3,0,174
46785,008171,"POTE ROSCA 1,8L ERVA MATE",PLASUTIL,Em linha,R32-B10-A00-P02,247,3,0,244
46786,009846,"POTE ROSCA 1,8L FARINHA",PLASUTIL,Em linha,R32-B09-A00-P02,271,9,0,262
28633,006400,"POTE ROSCA 1,8L ACUCAR",PLASUTIL,Em linha,R30-B04-A00-P02,922,45,0,877
28632,006399,"POTE ROSCA 1,8L CAFE",PLASUTIL,Em linha,R30-B04-A00-P01,1067,33,0,1034
56050,13999,POTE ROSCA 720 ML ACHOCOLATADO,PLASUTIL,Em linha,R30-B08-A00-P03,330,10,0,320
56052,14001,POTE ROSCA 720 ML SAL,PLASUTIL,Em linha,R30-B07-A00-P02,246,11,0,235
11250,002803,PORTA METADE CEBOLA E ALHO 500 ML,PLASUTIL,Em linha,R31-B07-A01-P01,1035,84,0,951
56030,7895,PORTA MIX ALHO - 11 X 6 CM,PLASUTIL,Em linha,R30-B10-A01-P03,1282,44,210,1238
56031,7896,PORTA MIX CEBOLA - 11 X 6 CM,PLASUTIL,Em linha,R30-B10-A01-P04,1790,66,140,1724
56032,7897,PORTA MIX CHEIRO VERDE - 11 X 6 CM,PLASUTIL,Em linha,R30-B09-A01-P05,1299,39,0,1260
15202,005728,BISNAGA 250 ML CATCHUP,PLASUTIL,Em linha,R33-B09-A01-P01,1013,68,0,945
15203,005729,BISNAGA 250 ML MOSTARDA,PLASUTIL,Em linha,R33-B09-A01-P02,639,38,0,601
15206,005748,BISNAGA 250 ML MAIONESE,PLASUTIL,Em linha,R33-B09-A01-P03,1099,62,0,1037
46989,007756,ESCORREDOR DE LOUCAS,PLASUTIL,Em linha,R30-B06-A00-P02,42,3,120,39
54825,9896,CJ MANTIMENTO ROSCA CLIC 05 PCS VERMELHO,PLASUTIL,Em linha,R32-B08-A00-P01,481,0,0,481
46986,003646,JARRA FILTRA GELO 5 LTS,PLASUTIL,Em linha,R30-B10-A00-P01,481,0,0,481
46985,003645,JARRA FILTRA GELO 2LTS,PLASUTIL,Em linha,R30-B10-A00-P02,486,9,0,477
54837,3651,JARRA GRADUADA C/ ESPREMEDOR 1L,PLASUTIL,Em linha,R30-B10-A00-P03,392,6,0,386
46988,007792,FUNIL GRANDE,PLASUTIL,Promocao,R30-B04-A01-P01,686,40,0,646
33037,006574,BISNAGA CONFEITAR C/ 05 BICOS,PLASUTIL,Promocao,R33-B09-A01-P03,622,0,0,622
56940,12981,KIT PORTA DETERGENTE 600 ML C/ RODO - VERMELHO,PLASUTIL,Lancamento,R32-B13-A00-P03,557,16,0,541
46990,007766,PORTA DETERGENTE COMPLETO VERMELHO 600 ML,PLASUTIL,Em linha,R33-B15-A00-P01,860,63,160,797
11276,002978,"RODINHO DE PIA 23,5 CM VERMELHO",PLASUTIL,Promocao,R30-B08-A01-P03,223,24,0,199
5520,002186,RODINHO DE PIA 16 CM VERMELHO,PLASUTIL,Promocao,R31-B09-A00-P01,3412,241,360,3171
10895,002977,"RODINHO DE PIA 13,5 CM VERMELHO",PLASUTIL,Em linha,R32-B02-A00-P01,7227,216,0,7011
54815,9608,AMASSADOR DE LEGUMES - 24 CM,PLASUTIL,Promocao,R30-B08-A01-P01,910,51,0,859
33028,006772,"FORMA P/ MOLDAR HAMBURGUER  13,9X11,7X3,3 CMS",PLASUTIL,Promocao,R29-B05-A01-P01,638,18,0,620
54843,2452,POTE GELATINA DIVERTIDOS 6 PÇS,PLASUTIL,Em linha,R30-B07-A01-P01,170,0,0,170
33026,006527,SORVETEIRA C/ RECHEIO  04 PCS,PLASUTIL,Em linha,R30-B02-A02-P02,288,0,0,288
10647,004115,CJ MANTIMENTO ROSCA CLIC 05 PCS BRANCO,PLASUTIL,Em linha,R32-B04-A00-P01,136,6,0,130
11449,004972,CJ PORTA MANTIMENTOS ROSCA MEDIO 05 PCS,PLASUTIL,Em linha,R32-B03-A00-P02,99,3,0,96
9669,002616,POTE CLIC C/ROSCA 300 ML,PLASUTIL,Em linha,R31-B05-A00-P03,1724,60,0,1664
9667,002613,POTE CLIC C/ROSCA 720 ML,PLASUTIL,Em linha,R30-B08-A00-P01,231,48,180,183
10175,004646,POTE CLIC C/ROSCA 900 ML,PLASUTIL,Em linha,R31-B05-A00-P01,968,24,0,944
38077,008045,ORGANIZADOR C/ TPA ROSCA 3PÇS,PLASUTIL,Promocao,R30-B10-A02-P01,854,45,200,809
9668,002614,POTE CLIC C/ROSCA ALTO 01 LT,PLASUTIL,Em linha,R30-B08-A00-P02,733,18,0,715
10483,004648,"POTE CLIC C/ROSCA 2,6 LTS",PLASUTIL,Em linha,R31-B05-A00-P02,197,6,0,191
12633,003838,PORTA TALHERES LUDICO 04 DIV - 32 X 23 X 58 CM,PLASUTIL,Em linha,R29-B08-A01-P01,248,23,80,225
12634,003839,"PORTA TALHERES LUDICO 05 DIV - 37 X 29,5 X 5,8 CM",PLASUTIL,Em linha,R30-B03-A00-P02,332,14,240,318
2413,000156,FORMA P/ GELO,PLASUTIL,Em linha,R30-B10-A01-P01,1119,46,1212,1073
54834,277,FUNIL 11 CM BRANCO,PLASUTIL,Em linha,R30-B04-A01-P02,1327,115,300,1212
