codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
39115,ACIDENTE,BA,2/7/2010,17:40:00,2,NÃO,PANE SECA,AVIÃO,PRIVADA,SUBSTANCIAL,1979,DECOLAGEM,4
39155,INCIDENTE,MG,2/5/2010,12:55:00,0,NÃO,VAZAMENTO DE COMBUSTÍVEL,AVIÃO,PRIVADA,NENHUM,1979,DECOLAGEM,8
39156,INCIDENTE GRAVE,PR,1/10/2010,23:15:00,2,NÃO,FOGO EM VOO,AVIÃO,REGULAR,LEVE,2008,ARREMETIDA NO AR,73
39158,INCIDENTE,PA,1/28/2010,16:00:00,0,NÃO,SUPERAQUECIMENTO,AVIÃO,REGULAR,NENHUM,1984,SUBIDA,5
39176,INCIDENTE,MA,2/5/2010,9:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2001,SUBIDA,184
39178,INCIDENTE,SP,2/8/2010,12:33:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2001,SUBIDA,184
39235,ACIDENTE,GO,2/6/2010,17:20:00,3,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,DESTRUÍDA,1976,DECOLAGEM,1
39275,ACIDENTE,SP,2/10/2010,9:03:00,3,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,PRIVADA,DESTRUÍDA,1994,CRUZEIRO,6
39295,ACIDENTE,RJ,2/6/2010,21:09:00,0,NÃO,PERDA DE CONTROLE EM VOO,ULTRALEVE,EXPERIMENTAL,SUBSTANCIAL,2004,APROXIMAÇÃO FINAL,2
39315,ACIDENTE,AM,1/15/2010,21:22:00,0,NÃO,OUTROS,HELICÓPTERO,TÁXI AÉREO,***,1981,CRUZEIRO,6
39316,ACIDENTE,SC,2/4/2010,17:55:00,2,NÃO,POUSO ANTES DA PISTA,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1992,POUSO,2
39317,ACIDENTE,GO,2/24/2010,13:00:00,0,NÃO,POUSO BRUSCO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1993,POUSO,1
39318,ACIDENTE,PA,1/25/2010,16:20:00,5,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,TÁXI AÉREO,SUBSTANCIAL,1976,DESCIDA,6
39319,ACIDENTE,SP,1/27/2010,11:25:00,3,NÃO,PANE SECA,AVIÃO,PRIVADA,DESTRUÍDA,1981,SUBIDA,1
39320,ACIDENTE,PR,1/19/2010,18:30:00,4,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,1977,DECOLAGEM,6
39321,ACIDENTE,MT,1/23/2010,13:00:00,2,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,DESTRUÍDA,1981,POUSO,4
39322,ACIDENTE,SP,1/26/2010,13:50:00,2,NÃO,PERDA DE CONTROLE EM VOO,HELICÓPTERO,ESPECIALIZADA,SUBSTANCIAL,1997,DECOLAGEM,2
39323,ACIDENTE,RJ,1/24/2010,16:15:00,0,NÃO,PERDA DE CONTROLE EM VOO,ULTRALEVE,EXPERIMENTAL,SUBSTANCIAL,2000,SUBIDA,184
39365,INCIDENTE,GO,2/12/2010,16:48:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,***,2001,DECOLAGEM,3
39367,INCIDENTE,SP,2/7/2010,22:59:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1992,CORRIDA APÓS POUSO,4
39385,INCIDENTE GRAVE,DF,2/21/2010,17:00:00,1,NÃO,POUSO SEM TREM,AVIÃO,PRIVADA,SUBSTANCIAL,1976,POUSO,50
39386,INCIDENTE,SP,2/18/2010,10:10:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,1987,CRUZEIRO,1
39405,ACIDENTE,MT,2/7/2010,11:30:00,1,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2000,ESPECIALIZADA,4
39487,INCIDENTE GRAVE,TO,1/26/2010,16:50:00,0,NÃO,POUSO SEM TREM,AVIÃO,PRIVADA,SUBSTANCIAL,1994,POUSO,1
39507,ACIDENTE,MT,1/11/2010,17:00:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2005,OUTRA FASE,1
39527,ACIDENTE,MT,1/4/2010,17:30:00,0,NÃO,OPERAÇÃO A BAIXA ALTITUDE,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2004,VOO A BAIXA ALTURA,184
39627,INCIDENTE,SC,1/27/2010,16:15:00,0,NÃO,F.O.D.,AVIÃO,REGULAR,LEVE,2009,TÁXI,1
39687,INCIDENTE GRAVE,SC,1/28/2010,10:30:00,1,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,ESPECIALIZADA,NENHUM,2003,ESPECIALIZADA,7
39707,INCIDENTE GRAVE,AM,1/9/2010,12:30:00,3,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,LEVE,1979,CRUZEIRO,7
39709,INCIDENTE GRAVE,PR,1/23/2010,16:36:00,2,SIM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1980,CORRIDA APÓS POUSO,4
39711,INCIDENTE GRAVE,MG,1/10/2010,20:00:00,0,NÃO,COM TREM DE POUSO,AVIÃO,EXPERIMENTAL,SUBSTANCIAL,2009,POUSO,20
39727,INCIDENTE GRAVE,MT,2/23/2010,19:42:00,0,SIM,COM TREM DE POUSO,AVIÃO,TÁXI AÉREO,LEVE,1991,POUSO,10
39747,INCIDENTE,BA,1/31/2010,19:47:00,4,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,TÁXI AÉREO,LEVE,1976,DECOLAGEM,1
39748,INCIDENTE,PR,2/3/2010,14:30:00,0,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,ESPECIALIZADA,NENHUM,1975,ESPECIALIZADA,9
39768,INCIDENTE,SP,1/21/2010,20:45:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,POLICIAL,LEVE,2008,MANOBRA,10
39772,INCIDENTE,MG,1/20/2010,18:58:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,2006,CORRIDA APÓS POUSO,2
39787,INCIDENTE,GO,1/31/2010,21:00:00,0,SIM,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1990,CORRIDA APÓS POUSO,1
39789,INCIDENTE,RS,1/10/2010,21:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,ESPECIALIZADA,LEVE,1977,CHEQUE DE MOTOR OU ROTOR,2
39807,INCIDENTE,BA,1/6/2010,17:53:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,INSTRUÇÃO,LEVE,1965,CORRIDA APÓS POUSO,4
39809,INCIDENTE,SP,1/15/2010,15:00:00,0,NÃO,COLISÃO COM AVE,AVIÃO,PRIVADA,LEVE,1989,DECOLAGEM,10
39810,INCIDENTE,BA,1/15/2010,18:23:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,NENHUM,1979,DECOLAGEM,6
39828,INCIDENTE,SP,1/15/2010,17:45:00,0,NÃO,COLISÃO COM AVE,HELICÓPTERO,POLICIAL,LEVE,1992,MANOBRA,4
39847,INCIDENTE,SP,1/20/2010,13:10:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,PRIVADA,LEVE,2006,TÁXI,232
39848,INCIDENTE,SP,1/25/2010,17:05:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,REGULAR,NENHUM,2007,OUTRA FASE,184
39849,INCIDENTE,RJ,1/23/2010,3:30:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,2008,SUBIDA,2
39850,INCIDENTE,PA,1/26/2010,14:30:00,0,NÃO,COM TREM DE POUSO,AVIÃO,INSTRUÇÃO,LEVE,2006,POUSO,107
39851,INCIDENTE,RS,1/19/2010,3:00:00,0,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,1993,TÁXI,4
39887,ACIDENTE,MG,3/9/2010,17:45:00,1,SIM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1982,SUBIDA,184
39910,INCIDENTE,SP,3/8/2010,0:49:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,REGULAR,LEVE,1999,DECOLAGEM,11
39913,INCIDENTE GRAVE,AC,3/10/2010,6:17:00,3,SIM,COM PARA-BRISAS / JANELA / PORTA,AVIÃO,TÁXI AÉREO,NENHUM,1993,DECOLAGEM,2
39914,INCIDENTE,PR,3/9/2010,21:00:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,NENHUM,1992,CIRCUITO DE TRÁFEGO,10
39916,INCIDENTE GRAVE,AM,3/7/2010,19:35:00,2,SIM,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,LEVE,1981,DECOLAGEM,7
39930,INCIDENTE GRAVE,PR,2/16/2010,16:25:00,2,NÃO,PROBLEMAS FISIOLÓGICOS,AVIÃO,TÁXI AÉREO,NENHUM,1991,CRUZEIRO,6
39933,ACIDENTE,MG,2/26/2010,11:19:00,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,PRIVADA,DESTRUÍDA,1976,DESCIDA,5
39967,INCIDENTE,BA,2/11/2010,15:01:00,0,NÃO,FALHA DO MOTOR EM VOO,HELICÓPTERO,TÁXI AÉREO,NENHUM,1976,CRUZEIRO,154
39969,INCIDENTE,BA,2/9/2010,23:50:00,4,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,2009,SUBIDA,4
39972,INCIDENTE,MG,2/8/2010,13:55:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1980,CRUZEIRO,1
39987,INCIDENTE,RJ,2/24/2010,19:37:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,ESPECIALIZADA,LEVE,1950,POUSO,2
39988,INCIDENTE,PR,2/22/2010,16:00:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,INSTRUÇÃO,LEVE,1977,CORRIDA APÓS POUSO,6
39992,ACIDENTE,SP,2/17/2010,20:07:00,11,SIM,EXCURSÃO DE PISTA,AVIÃO,PRIVADA,LEVE,2009,CORRIDA APÓS POUSO,2
39993,INCIDENTE GRAVE,PR,3/11/2010,12:30:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,INSTRUÇÃO,LEVE,1969,DECOLAGEM,2
40027,INCIDENTE,SC,3/15/2010,21:05:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1990,DECOLAGEM,7
40069,ACIDENTE,SP,1/10/2010,14:50:00,8,NÃO,PERDA DE CONTROLE NO SOLO,HELICÓPTERO,PRIVADA,DESTRUÍDA,1999,PARTIDA DO MOTOR,4
40087,ACIDENTE,GO,3/26/2010,10:45:00,4,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,SUBSTANCIAL,1969,DECOLAGEM,6
40088,ACIDENTE,RR,3/19/2010,13:10:00,3,SIM,POUSO LONGO,AVIÃO,NÃO REGULAR,SUBSTANCIAL,1974,POUSO,6
40089,ACIDENTE,MT,3/28/2010,15:10:00,0,SIM,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,SUBSTANCIAL,1973,OUTRA FASE,7
40107,ACIDENTE,PA,1/12/2010,14:30:00,0,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,TÁXI AÉREO,LEVE,1977,POUSO,6
40147,ACIDENTE,PR,4/8/2010,14:20:00,3,SIM,EXCURSÃO DE PISTA,AVIÃO,PRIVADA,SUBSTANCIAL,1997,POUSO,6
40148,ACIDENTE,MS,3/19/2010,19:30:00,1,NÃO,PANE SECA,AVIÃO,PRIVADA,SUBSTANCIAL,1962,APROXIMAÇÃO FINAL,2
40149,ACIDENTE,GO,3/21/2010,20:45:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,INSTRUÇÃO,DESTRUÍDA,1974,DECOLAGEM,6
40150,INCIDENTE GRAVE,RS,3/10/2010,17:20:00,0,NÃO,COM TREM DE POUSO,AVIÃO,POLICIAL,LEVE,1974,POUSO,9
40168,INCIDENTE,MG,3/17/2010,1:34:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,NENHUM,1975,CRUZEIRO,7
40170,INCIDENTE,AM,3/20/2010,11:00:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,REGULAR,NENHUM,1975,CORRIDA APÓS POUSO,2
40171,ACIDENTE,TO,4/7/2010,18:45:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1991,DECOLAGEM,107
40190,INCIDENTE,RJ,4/6/2010,2:35:00,3,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,1993,TÁXI,6
40207,INCIDENTE,AC,2/6/2010,22:30:00,0,NÃO,TRÁFEGO AÉREO,AVIÃO,TÁXI AÉREO,NENHUM,1989,POUSO,2
40209,INCIDENTE,RJ,3/21/2010,13:46:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,NENHUM,1978,RETA FINAL,5
40210,INCIDENTE,RJ,3/20/2010,20:02:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1974,SUBIDA,14
40211,INCIDENTE,RJ,1/3/2010,12:00:00,0,NÃO,TRÁFEGO AÉREO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2007,DECOLAGEM,4
40212,INCIDENTE,MG,3/20/2010,12:14:00,0,NÃO,FALHA DO MOTOR NO SOLO,AVIÃO,EXPERIMENTAL,NENHUM,2008,CORRIDA APÓS POUSO,6
40213,INCIDENTE GRAVE,GO,4/9/2010,21:00:00,1,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,LEVE,1970,POUSO,6
40214,ACIDENTE,PA,4/12/2010,19:30:00,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,AVIÃO,PRIVADA,SUBSTANCIAL,1974,POUSO,52
40215,INCIDENTE,AM,1/7/2010,18:40:00,0,SIM,TRÁFEGO AÉREO,AVIÃO,REGULAR,NENHUM,1996,POUSO,50
40227,INCIDENTE,SP,4/12/2010,14:03:00,0,NÃO,VAZAMENTO DE OUTROS FLUIDOS,AVIÃO,REGULAR,NENHUM,1992,TÁXI,7
40228,INCIDENTE,SP,4/12/2010,17:17:00,0,NÃO,COLISÃO COM AVE,AVIÃO,INSTRUÇÃO,LEVE,1972,CIRCUITO DE TRÁFEGO,6
40247,INCIDENTE,SC,4/17/2010,23:30:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1977,TÁXI,3
40248,INCIDENTE,RS,4/13/2010,18:47:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,ESPECIALIZADA,LEVE,2000,TÁXI,2
40250,ACIDENTE,GO,4/8/2010,20:00:00,0,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,EXPERIMENTAL,SUBSTANCIAL,1989,POUSO,6
40251,INCIDENTE,SC,4/4/2010,17:00:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,POLICIAL,NENHUM,1983,PAIRADO,7
40258,INCIDENTE,PA,4/12/2010,18:10:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,TÁXI AÉREO,LEVE,1977,CORRIDA APÓS POUSO,6
40260,INCIDENTE,MG,3/12/2010,18:10:00,0,NÃO,COLISÃO COM AVE,HELICÓPTERO,POLICIAL,LEVE,1996,CIRCUITO DE TRÁFEGO,2
40261,INCIDENTE,RJ,4/15/2010,13:10:00,0,NÃO,POUSO SEM TREM,ULTRALEVE,EXPERIMENTAL,LEVE,2002,POUSO,10
40262,INCIDENTE,SP,4/14/2010,1:42:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,TÁXI AÉREO,LEVE,1999,TÁXI,6
40264,ACIDENTE,MT,4/20/2010,16:30:00,2,NÃO,POUSO EM LOCAL NÃO PREVISTO,AVIÃO,TÁXI AÉREO,SUBSTANCIAL,1978,POUSO,8
40267,INCIDENTE GRAVE,BA,4/4/2010,11:00:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,TÁXI AÉREO,NENHUM,1973,CRUZEIRO,6
40269,INCIDENTE GRAVE,GO,4/7/2010,19:30:00,1,SIM,COM TREM DE POUSO,AVIÃO,PRIVADA,LEVE,1979,POUSO,2
40270,INCIDENTE GRAVE,SP,4/15/2010,20:15:00,0,NÃO,FOGO NO SOLO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1985,PARTIDA DO MOTOR,2
40271,ACIDENTE,PE,4/21/2010,11:27:00,2,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,INSTRUÇÃO,LEVE,1946,DECOLAGEM,11
40273,INCIDENTE,AC,3/10/2010,14:30:00,2,NÃO,COM PARA-BRISAS / JANELA / PORTA,AVIÃO,TÁXI AÉREO,LEVE,1993,POUSO,10
40275,INCIDENTE,DF,4/2/2010,18:15:00,0,NÃO,OUTROS,AVIÃO,POLICIAL,NENHUM,2004,TÁXI,6
40287,INCIDENTE,SC,3/31/2010,13:00:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,NENHUM,1972,DECOLAGEM,194
40288,INCIDENTE,CE,4/1/2010,13:16:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,LEVE,2006,DECOLAGEM,93
40290,INCIDENTE,ES,2/7/2010,2:09:00,0,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,2009,CORRIDA APÓS POUSO,197
40291,INCIDENTE,MG,4/3/2010,20:25:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,2009,CRUZEIRO,73
40292,INCIDENTE,SP,4/8/2010,20:30:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,REGULAR,NENHUM,2010,OUTRA FASE,5
40293,INCIDENTE,RJ,4/18/2010,16:23:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1964,DESCIDA,2
40294,INCIDENTE,RJ,4/16/2010,20:00:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,INSTRUÇÃO,NENHUM,2005,TÁXI,184
40295,INCIDENTE,AC,4/11/2010,19:20:00,0,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,2003,TÁXI,7
40296,INCIDENTE,PR,2/26/2010,22:32:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,NENHUM,1990,APROXIMAÇÃO FINAL,2
40307,INCIDENTE,PA,3/16/2010,20:00:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,INSTRUÇÃO,LEVE,2006,POUSO,7
40310,INCIDENTE,AC,1/18/2010,19:32:00,0,NÃO,TRÁFEGO AÉREO,AVIÃO,TÁXI AÉREO,NENHUM,1984,DECOLAGEM,14
40311,INCIDENTE,RJ,1/19/2010,13:20:00,0,NÃO,TRÁFEGO AÉREO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2006,CRUZEIRO,14
40312,INCIDENTE,RJ,3/9/2010,19:18:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,TÁXI AÉREO,NENHUM,2006,CRUZEIRO,50
40314,INCIDENTE,SP,3/4/2010,23:50:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,LEVE,1987,SUBIDA,6
40316,INCIDENTE GRAVE,MG,2/26/2010,14:40:00,3,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,POLICIAL,SUBSTANCIAL,2006,DESCIDA,2
40318,INCIDENTE,MG,2/22/2010,13:47:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ULTRALEVE,EXPERIMENTAL,NENHUM,2000,SUBIDA,107
40320,INCIDENTE,SP,3/15/2010,9:57:00,0,NÃO,COM TREM DE POUSO,AVIÃO,REGULAR,NENHUM,1992,DECOLAGEM,6
40321,INCIDENTE,PR,4/20/2010,16:11:00,0,NÃO,OUTROS,AVIÃO,PRIVADA,NENHUM,1981,DECOLAGEM,4
40322,INCIDENTE,PA,3/15/2010,18:15:00,0,NÃO,COM TREM DE POUSO,AVIÃO,TÁXI AÉREO,LEVE,1972,POUSO,4
40323,INCIDENTE,SP,4/15/2010,20:20:00,0,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,NENHUM,2007,TÁXI,34
40324,INCIDENTE,RS,1/5/2010,19:25:00,0,NÃO,OUTROS,AVIÃO,REGULAR,NENHUM,1995,TÁXI,4
40325,INCIDENTE GRAVE,PE,2/19/2010,10:20:00,0,NÃO,POUSO EM LOCAL NÃO PREVISTO,AVIÃO,PRIVADA,NENHUM,1962,POUSO,8
40326,INCIDENTE,PE,3/31/2010,15:20:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,PRIVADA,NENHUM,1978,SUBIDA,6
40327,INCIDENTE,RS,4/12/2010,13:13:00,0,NÃO,TRÁFEGO AÉREO,AVIÃO,PRIVADA,NENHUM,2009,TÁXI,1
40328,ACIDENTE,BA,4/15/2010,17:25:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,1978,CORRIDA APÓS POUSO,11
40329,INCIDENTE,SP,3/18/2010,12:10:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,LEVE,1985,POUSO,0
40330,INCIDENTE,RJ,3/24/2010,11:35:00,0,NÃO,OUTROS,AVIÃO,***,NENHUM,1987,OUTRA FASE,17
40331,INCIDENTE,SP,2/28/2010,9:00:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,TÁXI AÉREO,NENHUM,2008,DESCIDA,14
40332,INCIDENTE,RJ,3/20/2010,21:58:00,0,NÃO,TRÁFEGO AÉREO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2007,APROXIMAÇÃO FINAL,184
40349,INCIDENTE,PA,1/3/2010,11:05:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,LEVE,2001,DECOLAGEM,10
40350,INCIDENTE GRAVE,RR,4/17/2010,20:30:00,0,NÃO,PANE SECA,AVIÃO,PRIVADA,LEVE,1971,SUBIDA,154
40351,INCIDENTE,RJ,1/3/2010,3:00:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,LEVE,2008,INDETERMINADA,52
40352,INCIDENTE,MT,4/16/2010,20:50:00,0,NÃO,TRÁFEGO AÉREO,AVIÃO,REGULAR,NENHUM,1996,ESPERA,2
40412,ACIDENTE,AP,4/16/2010,21:55:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,EXPERIMENTAL,LEVE,2009,POUSO,14
40413,INCIDENTE,RJ,4/18/2010,18:25:00,0,NÃO,FALHA DO MOTOR EM VOO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2004,CRUZEIRO,166
40414,INCIDENTE,DF,1/10/2010,3:00:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,LEVE,2006,INDETERMINADA,4
40447,ACIDENTE,RJ,4/21/2010,18:55:00,0,NÃO,INDETERMINADO,HELICÓPTERO,PRIVADA,DESTRUÍDA,2005,CRUZEIRO,125
40489,INCIDENTE,SP,4/21/2010,17:01:00,0,NÃO,VAZAMENTO DE OUTROS FLUIDOS,AVIÃO,REGULAR,NENHUM,2009,CRUZEIRO,6
40508,INCIDENTE,MG,4/21/2010,14:44:00,0,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,NENHUM,1981,CIRCUITO DE TRÁFEGO,2
40554,ACIDENTE,RJ,4/27/2010,18:47:00,8,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,POLICIAL,DESTRUÍDA,2003,MANOBRA,2
40572,ACIDENTE,RS,4/28/2010,14:10:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,INSTRUÇÃO,SUBSTANCIAL,1982,DECOLAGEM,4
40573,INCIDENTE GRAVE,BA,5/1/2010,15:40:00,2,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,LEVE,1965,CRUZEIRO,7
40575,INCIDENTE,AM,5/1/2010,16:15:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,LEVE,1990,TÁXI,13
40576,INCIDENTE,RJ,4/21/2010,18:37:00,0,NÃO,FALHA DO MOTOR EM VOO,HELICÓPTERO,TÁXI AÉREO,NENHUM,2005,CRUZEIRO,14
40577,INCIDENTE,RJ,4/21/2010,12:52:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,HELICÓPTERO,TÁXI AÉREO,NENHUM,1984,SUBIDA,7
40579,INCIDENTE,PR,5/4/2010,13:00:00,0,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,NENHUM,1990,RETA FINAL,4
40581,INCIDENTE,RJ,4/21/2010,13:20:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,LEVE,1973,CORRIDA APÓS POUSO,8
40583,INCIDENTE,BA,4/30/2010,16:35:00,1,NÃO,PERDA DE COMPONENTE NO SOLO,AVIÃO,POLICIAL,LEVE,1996,DECOLAGEM,184
40617,INCIDENTE,RJ,1/27/2010,20:06:00,0,NÃO,COLISÃO COM AVE,AVIÃO,REGULAR,LEVE,2008,DECOLAGEM,107
40620,INCIDENTE GRAVE,SP,5/6/2010,15:50:00,0,NÃO,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,AVIÃO,REGULAR,NENHUM,1992,CRUZEIRO,4
40621,INCIDENTE GRAVE,MG,5/5/2010,21:05:00,0,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,LEVE,1980,POUSO,7
40622,INCIDENTE,PA,5/5/2010,17:10:00,0,NÃO,COLISÃO COM AVE,AVIÃO,TÁXI AÉREO,LEVE,1986,DESCIDA,71
40623,INCIDENTE,MG,4/30/2010,9:55:00,0,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AVIÃO,REGULAR,NENHUM,1995,OUTRA FASE,173
