codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
49525,INCIDENTE,SP,8/17/2013,6:30:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,TÁXI AÉREO,LEVE,2006,TÁXI,6
49527,INCIDENTE,SP,8/17/2013,11:30:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,PRIVADA,LEVE,2003,DECOLAGEM,20
49528,INCIDENTE,AM,8/18/2013,19:25:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,NENHUM,1990,CORRIDA APÓS POUSO,11
49529,INCIDENTE,RJ,8/20/2013,20:00:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,TÁXI AÉREO,LEVE,1991,POUSO,2
49532,INCIDENTE,RJ,7/21/2013,19:26:00,0,NÃO,COM TREM DE POUSO,ULTRALEVE,EXPERIMENTAL,LEVE,2009,POUSO,9
49533,INCIDENTE,RS,7/18/2013,13:35:00,0,NÃO,COLISÃO COM AVE,AVIÃO,PRIVADA,SUBSTANCIAL,0,DECOLAGEM,2
49534,INCIDENTE,RS,6/23/2013,19:15:00,0,NÃO,TRÁFEGO AÉREO,AVIÃO,PRIVADA,NENHUM,2012,CIRCUITO DE TRÁFEGO,4
49536,INCIDENTE,RS,7/17/2013,19:09:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,NENHUM,1993,TÁXI,6
49537,INCIDENTE,RJ,7/20/2013,15:40:00,0,NÃO,ESTOURO DE PNEU,AVIÃO,PRIVADA,NENHUM,2008,POUSO,193
49538,INCIDENTE,RJ,8/25/2013,22:50:00,0,NÃO,POUSO LONGO,AVIÃO,REGULAR,NENHUM,2012,POUSO,7
49539,INCIDENTE,AM,8/14/2013,9:25:00,0,NÃO,COM TREM DE POUSO,AVIÃO,PRIVADA,SUBSTANCIAL,1982,TÁXI,6
49591,ACIDENTE,MG,8/22/2013,14:26:00,0,NÃO,FALHA DO MOTOR EM VOO,AVIÃO,PRIVADA,LEVE,2011,CRUZEIRO,6
49592,ACIDENTE,MS,8/29/2013,20:00:00,0,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,DESTRUÍDA,1974,DECOLAGEM,5
49593,ACIDENTE,MA,8/30/2013,15:55:00,3,NÃO,FALHA DO MOTOR EM VOO,HELICÓPTERO,TÁXI AÉREO,SUBSTANCIAL,1988,CRUZEIRO,4
