MêsAno,me,Mês,Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
ago/21,8,ago,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,111339842.79,59629182.01,60478268.92,530259.09
mai/21,5,mai,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,126959391.44,62331289.51,58580719.55,3538654.75
Jun/21,6,Jun,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,83914955.99,79399086.44,61067938.32,4844115.44
Jan/21,1,Jan,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,173237164.96,55501763.72,16502040.02,51827798.57
Mar/21,3,Mar,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,40691876.05,57725165.59,54781034.25,3124994.11
Jul/21,7,Jul,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,33865018.35,60374406.81,76711014.69,1080880.14
abr/21,4,abr,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,37162667.06,57325914.25,61380699.46,7414517.05
Jan/21,1,Jan,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,158429122.88,25573093.31,9084966.43,22660745.73
Mar/21,3,Mar,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,2833363.74,27430973.27,25423316.79,2222536.17
mai/21,5,mai,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,45385359.06,28783958.50,28773851.03,4332681.24
Jun/21,6,Jun,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,81205911.40,37757269.00,28320994.60,4241000.31
Jul/21,7,Jul,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,6811326.21,30660528.09,36923899.28,6614119.38
ago/21,8,ago,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,7663639.47,29374535.68,30077334.82,645958.23
fev/21,2,fev,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,1136415.32,25218230.23,25517157.05,5191753.52
abr/21,4,abr,21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,4325318.03,26706017.26,27196084.07,7456840.28
mai/21,5,mai,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,37326220.73,15091238.91,14116844.75,3669935.69
abr/21,4,abr,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,30442384.84,13928688.45,14163432.07,9561444.50
Jan/21,1,Jan,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,52359999.56,13253329.26,4727171.77,12663311.61
fev/21,2,fev,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,1911172.29,12907400.29,13209443.54,2349617.83
Jun/21,6,Jun,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,28227683.91,21553520.26,15618782.81,824352.74
ago/21,8,ago,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,21854923.40,18534356.55,21394866.05,1237241.51
Jul/21,7,Jul,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,10407041.72,15964443.61,19398831.63,1947931.38
Mar/21,3,Mar,21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,1159775.32,14038440.68,13024668.37,3317871.84
mai/21,5,mai,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,12015436521.99,3425356068.01,3425485283.65,207223082.23
Jun/21,6,Jun,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,4684572239.19,3269262331.12,3244095554.06,380936488.18
Mar/21,3,Mar,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,904257616.72,3139921973.39,3107255145.89,190750662.66
Jul/21,7,Jul,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,2465569262.64,3643428329.45,3646246243.08,46792258.81
ago/21,8,ago,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,802094126.37,3942993644.66,3898412956.58,324424667.93
abr/21,4,abr,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,1698509144.13,3392161255.40,3424588022.37,708029398.84
fev/21,2,fev,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,12633906704.51,3166882664.67,3167269740.67,93255842.59
Jan/21,1,Jan,21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,10255597860.62,2013401266.39,2004136952.27,4061293511.22
Jul/21,7,Jul,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,139778988.12,135718978.72,139971721.08,3135374.38
fev/21,2,fev,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,124784869.54,119958526.40,118192809.59,15003176.68
Jun/21,6,Jun,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,137830986.40,136637578.09,131033248.00,7558393.35
mai/21,5,mai,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,133492624.11,132768339.06,135672886.09,3042606.52
Jan/21,1,Jan,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,131782108.95,117878687.44,46078858.88,95443574.00
abr/21,4,abr,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,135504251.43,130931116.07,131241541.41,3775335.55
Mar/21,3,Mar,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,128648445.29,130163673.17,123040365.19,7774550.53
ago/21,8,ago,21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,113225752.09,133720822.40,137906296.80,1147381.71
Mar/21,3,Mar,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,1046401.35,22925255.59,22671788.73,2074199.80
fev/21,2,fev,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,399301.82,22575945.76,22845439.05,3317828.27
ago/21,8,ago,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,13547175.25,25268236.52,24671940.08,1395341.31
Jan/21,1,Jan,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,107110600.59,22916467.38,7832593.62,22020888.18
Jun/21,6,Jun,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,34385099.22,29785631.57,24836050.12,3393139.03
abr/21,4,abr,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,2048493.48,23543762.42,23279739.14,6744904.75
mai/21,5,mai,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,101405561.30,24143388.86,23695974.26,2373354.76
Jul/21,7,Jul,21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,6268843.79,24251344.56,29493531.93,2971627.20
fev/21,2,fev,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,736143.09,28492093.06,26493792.65,3746020.67
Jun/21,6,Jun,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,16955249.79,31867900.13,24787097.42,3365051.10
Jan/21,1,Jan,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,171047299.34,26194180.12,8993122.98,25084518.18
abr/21,4,abr,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,33375023.29,27414171.98,27784322.31,7580413.77
Jul/21,7,Jul,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,23505994.01,33189334.89,39576422.67,1786492.55
Mar/21,3,Mar,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,1330099.89,27094359.75,28173700.16,2661298.35
mai/21,5,mai,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,75665719.42,27455737.17,26961426.13,2591172.70
ago/21,8,ago,21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,3953766.05,29565093.90,29468549.69,1661061.32
fev/21,2,fev,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,1424664.57,40825746.19,40949435.59,3365864.03
Jul/21,7,Jul,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,12624371.15,45834507.46,54793458.14,1995380.08
mai/21,5,mai,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,153872492.86,48092743.17,44228328.25,3680646.55
abr/21,4,abr,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,2191790.72,43210301.23,44326245.16,6200229.42
ago/21,8,ago,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,6889264.44,46260704.67,45765380.11,1808288.12
Jun/21,6,Jun,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,16392347.42,54641798.85,47186771.70,2562922.29
Mar/21,3,Mar,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,55378460.33,43229975.52,41038066.02,2315732.15
Jan/21,1,Jan,21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,283714612.11,41343588.48,14087211.72,41306311.91
Jan/21,1,Jan,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,133128775.08,40401865.44,13691767.91,42609093.56
Jun/21,6,Jun,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,20291465.62,51225577.63,43912624.67,2393945.59
mai/21,5,mai,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,150599539.87,43701798.03,42012447.41,2711414.82
fev/21,2,fev,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,66146057.38,41646854.29,40724731.57,2844032.85
Mar/21,3,Mar,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,1921703.84,41826849.00,41453934.06,2237089.69
ago/21,8,ago,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,21258244.07,44321871.78,44289481.30,1612710.20
abr/21,4,abr,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,2384442.40,41862587.67,42520965.56,4385279.34
Jul/21,7,Jul,21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,48438973.22,43793569.52,51419265.28,2110452.42
Jun/21,6,Jun,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,107989158.52,39462343.32,33300389.84,3452630.08
abr/21,4,abr,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,50290198.37,32688814.97,33854765.44,6507973.45
Jan/21,1,Jan,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,205379008.86,30817870.36,10015420.65,32471021.07
mai/21,5,mai,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,5071023.10,34103303.02,33186346.14,4483079.98
ago/21,8,ago,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,5693687.89,33133822.04,32467054.76,1903069.63
Jul/21,7,Jul,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,5943885.32,32537994.22,39100240.55,1918637.45
fev/21,2,fev,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,1152821.71,30872842.71,31237895.34,2430812.31
Mar/21,3,Mar,21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,2431358.48,32224078.11,30286925.89,1338002.38
Jun/21,6,Jun,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,26100688.39,23832210.69,18982460.26,2959436.20
Jul/21,7,Jul,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,18266760.60,19183550.32,23309540.40,1394367.83
abr/21,4,abr,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,18866479.98,17846637.88,19550130.07,4222310.07
Jan/21,1,Jan,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,17276552.11,16685558.34,5779342.70,12274575.45
ago/21,8,ago,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,27840400.16,21490472.60,20149665.30,1929346.17
fev/21,2,fev,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,19803536.25,19064083.96,17006151.45,2357550.57
Mar/21,3,Mar,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,19638954.78,19313972.79,19068115.16,1775169.33
mai/21,5,mai,21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,30730129.77,19763618.79,19114779.33,2786277.34
fev/21,2,fev,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",2617247.80,39353135.54,35783180.13,2892765.69
ago/21,8,ago,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",29515516.40,37076060.71,37650661.94,4727896.77
Jul/21,7,Jul,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",13255386.29,37401065.40,42870122.74,2371400.99
mai/21,5,mai,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",5970100.41,37292200.05,35377509.16,1336891.39
Jun/21,6,Jun,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",63897606.20,43906955.80,38283772.74,3263107.75
Mar/21,3,Mar,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",1719398.41,35308495.88,38684258.04,1749144.66
abr/21,4,abr,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",60049331.61,35262465.51,35514595.72,3367627.75
Jan/21,1,Jan,21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",217690805.96,34998301.92,11887913.76,35690232.39
Mar/21,3,Mar,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,1358633.26,31001002.65,30493643.24,2173786.58
Jan/21,1,Jan,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,199734808.79,29717001.94,9777701.95,30287757.92
mai/21,5,mai,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,55741407.94,32432357.51,31796459.97,2234393.81
fev/21,2,fev,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,1620380.68,30575535.74,30026647.10,3545709.78
Jul/21,7,Jul,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,3461108.88,32696657.34,39087800.95,2734529.43
abr/21,4,abr,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,1513941.17,30711647.82,31371079.47,11675712.45
Jun/21,6,Jun,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,107204701.89,38767471.14,32021249.90,3678810.79
ago/21,8,ago,21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,3674816.93,32756157.13,32686871.93,2161141.52
fev/21,2,fev,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,1844507.29,41256343.52,41991681.37,3409687.44
Mar/21,3,Mar,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,3413697.97,41287680.94,40933139.72,1333175.57
ago/21,8,ago,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,7928377.26,44247546.52,44070188.13,2422563.81
mai/21,5,mai,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,134195721.34,46014490.26,44628962.59,3055653.92
Jan/21,1,Jan,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,239542441.44,41832763.85,13194111.54,42878247.01
Jun/21,6,Jun,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,23933288.75,52119596.96,43946402.38,1905484.74
Jul/21,7,Jul,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,31727331.28,44309217.74,52496203.27,1802022.91
abr/21,4,abr,21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,3753402.16,42320486.62,42568245.04,4759529.46
Jul/21,7,Jul,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,2245065.52,16580458.22,20643537.36,2036466.35
Jun/21,6,Jun,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,66639564.37,20998380.34,16822066.47,6457177.04
mai/21,5,mai,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,17930883.25,16737639.26,16322458.43,2276113.67
Mar/21,3,Mar,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,1306680.47,15672737.37,14656706.97,2313510.85
abr/21,4,abr,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,1616904.37,15892101.66,16487294.86,4411093.94
Jan/21,1,Jan,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,90896891.30,14764536.02,4921050.86,16085510.95
fev/21,2,fev,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,596556.44,14595193.94,14664069.62,3298940.98
ago/21,8,ago,21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,6308603.55,16882661.05,16830055.06,1018532.56
abr/21,4,abr,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,2695074.06,9944405.80,9600617.91,2202661.06
Jan/21,1,Jan,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,19351090.07,8916362.79,2866140.37,8224261.62
fev/21,2,fev,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,11810056.14,9050826.72,8942681.26,1094750.18
mai/21,5,mai,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,21921674.34,9727278.20,9904154.39,1169622.17
Jul/21,7,Jul,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,4802247.42,10014578.02,12863737.74,465391.39
Mar/21,3,Mar,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,10235442.70,9414526.27,9186913.63,534634.74
ago/21,8,ago,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,20132678.47,10276256.63,10157985.40,312103.06
Jun/21,6,Jun,21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,11226709.74,12855674.03,9913981.69,1747135.73
Mar/21,3,Mar,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,5721843.29,45453293.60,43510301.37,1753440.90
Jun/21,6,Jun,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,88447314.72,56887551.07,45080732.41,5354020.31
mai/21,5,mai,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,12639041.34,45525999.46,45612339.79,4205714.61
ago/21,8,ago,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,45074585.15,46638776.30,46656583.56,2048592.84
Jul/21,7,Jul,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,3006819.20,47015332.43,57082919.50,3414299.36
Jan/21,1,Jan,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,281598368.49,43707437.82,14395377.09,47521007.88
abr/21,4,abr,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,56352751.36,45164040.34,46388830.90,6733644.16
fev/21,2,fev,21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,2206915.66,42549766.50,43030712.01,3097458.60
fev/21,2,fev,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,20421206.11,20211605.64,20051435.23,3027625.56
ago/21,8,ago,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,4690195.77,21939996.34,22076240.53,725704.24
mai/21,5,mai,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,25330309.11,22511574.63,22464142.14,2442250.36
Jun/21,6,Jun,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,101348415.88,26633678.61,21448994.16,815424.86
Jul/21,7,Jul,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,16942733.77,22128726.57,26431276.66,672987.52
Jan/21,1,Jan,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,20426827.91,19838724.55,6358585.39,20555709.29
abr/21,4,abr,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,22521170.95,21094690.84,21682350.20,2320836.37
Mar/21,3,Mar,21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,20706406.46,20951771.11,20164114.92,765526.24
Mar/21,3,Mar,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,3974970.02,68999998.06,70811907.13,3266080.32
Jul/21,7,Jul,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,17726842.16,76342857.40,94126384.57,4014153.55
abr/21,4,abr,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,36924426.92,69898398.18,70910239.95,12268870.90
Jan/21,1,Jan,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,437342580.98,75876166.85,23396586.46,56065324.51
mai/21,5,mai,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,109441920.15,72016514.78,70117599.59,4250893.41
fev/21,2,fev,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,3176603.11,71963853.29,75817282.57,5216080.25
ago/21,8,ago,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,9481682.36,75090565.71,75860328.15,3206223.30
Jun/21,6,Jun,21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,128808565.60,93446422.24,72956661.92,9880274.79
Jun/21,6,Jun,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,12780797.89,11229510.04,8765189.10,917681.05
Mar/21,3,Mar,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,16868009.13,8684061.05,8515775.74,518394.07
Jan/21,1,Jan,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,16908611.90,8200783.63,2729462.96,7225167.61
fev/21,2,fev,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,5363126.78,8784803.56,8334416.99,824803.04
ago/21,8,ago,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,20218734.06,8995506.76,8978853.44,608369.36
mai/21,5,mai,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,7106825.95,8618256.10,8904430.18,4084077.93
Jul/21,7,Jul,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,9115339.61,8863892.18,11213611.45,784511.52
abr/21,4,abr,21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,1389239.03,8970287.49,8921469.72,1727397.57
Mar/21,3,Mar,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,392369.80,6400606.27,6369173.39,219714.99
Jul/21,7,Jul,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,828617.73,7200933.66,9317938.41,2513814.25
Jan/21,1,Jan,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,41370647.97,6425009.05,2026494.46,5732096.74
abr/21,4,abr,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,10317955.92,6482587.83,6480226.40,2454845.24
ago/21,8,ago,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,240130.73,7037993.24,6861323.36,799506.43
mai/21,5,mai,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,5445172.01,6689919.80,6346585.19,666025.63
Jun/21,6,Jun,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,20525010.80,9232486.26,6700890.35,4277145.49
fev/21,2,fev,21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,66017.33,6299086.61,6408894.81,1009068.38
ago/21,8,ago,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,1994573.87,28286689.31,28173489.27,14484336.17
Jun/21,6,Jun,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,5995037.90,33128857.76,26842324.63,10304173.79
fev/21,2,fev,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,1293365.98,24660219.84,25093731.86,1674055.94
abr/21,4,abr,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,1644313.03,25376273.66,25899088.80,5541315.91
mai/21,5,mai,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,98170783.35,27439639.55,25887940.03,3604147.33
Jul/21,7,Jul,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,3715399.84,27485981.88,32790325.53,3386761.60
Mar/21,3,Mar,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,34707284.19,25624022.34,24712220.84,2168608.05
Jan/21,1,Jan,21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,170806259.48,25022815.99,8117353.46,29790110.64
abr/21,4,abr,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,28232558.65,57199129.50,57863636.29,8176232.41
Jan/21,1,Jan,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,205700397.09,52505999.75,17898164.41,62063530.29
fev/21,2,fev,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,21429850.98,54274773.26,52853753.55,4741280.98
Jun/21,6,Jun,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,72867514.59,75188890.46,59424202.23,7694795.91
mai/21,5,mai,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,62949613.52,60813530.68,59087480.79,3742591.77
Jul/21,7,Jul,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,126871316.59,58333236.97,74906940.10,5632901.11
Mar/21,3,Mar,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,6042881.88,55428342.66,53624591.17,2462367.50
ago/21,8,ago,21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,122492267.70,57847797.71,58358013.48,3932675.06
Jun/21,6,Jun,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,33028444.40,66632656.70,54012845.21,16738397.96
mai/21,5,mai,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,98977329.24,55302353.18,52337296.60,2501454.74
Jan/21,1,Jan,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,171311046.87,49110137.51,16616005.81,61732618.64
Jul/21,7,Jul,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,81800846.16,54205761.74,67406816.45,8420892.28
abr/21,4,abr,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,17422777.08,51053371.39,52178518.84,8880956.15
ago/21,8,ago,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,26803483.21,56410528.18,54424453.04,2292364.44
fev/21,2,fev,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,30593425.91,49018561.21,49170101.78,9115052.32
Mar/21,3,Mar,21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,53070753.27,51309484.01,49434370.15,2952319.50
Jul/21,7,Jul,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,125454519.45,47920125.19,59364878.10,1828953.24
fev/21,2,fev,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,1471048.25,44552461.46,43698081.54,4948728.44
Jan/21,1,Jan,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,285711167.10,43528956.38,14548080.83,42573071.79
Jun/21,6,Jun,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,21986655.90,60051548.38,49242706.59,2351831.04
Mar/21,3,Mar,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,2489735.03,45092630.20,44488319.06,3459719.59
ago/21,8,ago,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,8466100.24,48975392.31,49270711.90,2298699.52
mai/21,5,mai,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,94988284.60,49718694.15,45679545.72,3273895.95
abr/21,4,abr,21,26000 - Ministério da Educação,26408 - Instituto Federal do Maranhão,2733323.14,45196422.94,46325394.34,7102751.55
