MêsAno,me,Mês,Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Mar/21,3,Mar,21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,134099568.11,148078437.49,148037795.27,116870581.44
abr/21,4,abr,21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,348244390.66,266473350.84,242716824.95,30294559.61
Jan/21,1,Jan,21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,106908029.14,38542435.41,5953003.24,33341055.73
mai/21,5,mai,21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,441128523.70,411215893.41,254478203.03,49475368.40
ago/21,8,ago,21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,1091203724.04,315890830.36,271421853.81,8177165.04
Jan/21,1,Jan,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,66558891.00,8163341.20,2301359.55,7658740.57
mai/21,5,mai,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,23332395.51,9207220.31,9358320.77,468276.54
ago/21,8,ago,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,2155944.32,9467722.69,9666499.12,329756.72
abr/21,4,abr,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,1556467.73,9268397.39,9180052.34,465411.74
Mar/21,3,Mar,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,779909.45,9179594.59,8830623.51,496472.81
Jul/21,7,Jul,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,15856943.22,9533069.46,12570612.62,538048.29
Jun/21,6,Jun,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,1460347.09,12903147.10,9581355.00,218440.40
fev/21,2,fev,21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,1970359.70,8798875.34,8561669.79,1194142.69
Mar/21,3,Mar,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,9851885.07,137290121.00,134002415.24,24100661.31
fev/21,2,fev,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,6635641.44,133067907.72,133896204.75,17392405.56
abr/21,4,abr,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,11240714.54,142442986.27,138048993.96,19665930.16
Jun/21,6,Jun,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,103726046.18,187794940.47,145559809.46,13414085.88
ago/21,8,ago,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,284293080.36,142870471.07,143157613.49,11754237.53
Jan/21,1,Jan,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,1005041140.85,134355020.57,47645637.23,113575961.84
Jul/21,7,Jul,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,137436822.32,141763316.27,184401974.31,17667704.93
mai/21,5,mai,21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,66423390.35,141464013.50,142182362.13,16078668.87
Jun/21,6,Jun,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,17299539.08,78024972.70,59288933.26,6479873.00
ago/21,8,ago,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,14397119.72,53550306.85,52115064.19,1901132.80
Mar/21,3,Mar,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,4824039.98,57420834.51,56493566.21,3289870.95
abr/21,4,abr,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,4409078.52,64840750.63,64651667.64,10015786.11
Jan/21,1,Jan,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,424574059.09,57381114.41,18128659.82,52022073.10
Jul/21,7,Jul,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,73479624.15,60756971.07,77443849.05,4760078.13
fev/21,2,fev,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,4765815.38,57148488.66,57759720.25,6115937.65
mai/21,5,mai,21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,55525813.20,59257082.63,58168121.01,6667491.14
Jan/21,1,Jan,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,377405907.24,63466199.65,19899439.78,56179251.26
ago/21,8,ago,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,95546303.64,69835327.01,68746551.79,1145164.98
fev/21,2,fev,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,5763119.28,64924153.56,63721372.65,2042048.10
mai/21,5,mai,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,168929791.83,75514094.81,72988227.40,4802770.46
Jul/21,7,Jul,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,16449710.22,68983518.29,94820793.80,360447.89
Jun/21,6,Jun,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,46778306.26,92395868.23,70684031.89,1388232.03
abr/21,4,abr,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,26340908.91,70002677.36,68538355.41,4279348.13
Mar/21,3,Mar,21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,6300839.86,65097359.21,63976015.57,4791395.79
Jul/21,7,Jul,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,7194671.79,21510187.45,28283269.13,964150.02
ago/21,8,ago,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,3486881.80,21349538.39,21698607.33,750464.45
abr/21,4,abr,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,30134268.05,20993211.04,20899609.57,3683094.55
fev/21,2,fev,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,756716.05,19725192.66,20223816.98,2058385.36
Jun/21,6,Jun,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,2123004.44,28253811.10,21679620.82,1354876.55
Mar/21,3,Mar,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,1927559.09,21018185.70,19950939.90,3573728.89
mai/21,5,mai,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,63560310.71,21410235.91,21023257.93,2015049.20
Jan/21,1,Jan,21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,143222159.35,20310741.53,6896832.65,16985059.28
mai/21,5,mai,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,43862531.20,11805257.95,11948304.12,2935076.80
Jun/21,6,Jun,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,6556431.39,15502486.40,11813300.61,1600008.00
abr/21,4,abr,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,3976611.64,11933893.23,11774872.22,2765629.67
Mar/21,3,Mar,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,2285671.43,11701215.91,11671510.22,1014548.59
Jul/21,7,Jul,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,12108786.49,12884043.62,16096463.08,1085717.27
fev/21,2,fev,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,2163875.45,11667210.09,11747418.18,1602220.59
Jan/21,1,Jan,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,65359181.65,11737210.78,3583518.14,8800829.94
ago/21,8,ago,21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,3283740.21,13032071.10,12403522.66,816117.02
abr/21,4,abr,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,63930954.69,66728263.53,63758357.13,2780144.46
Jun/21,6,Jun,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,61151796.71,84725478.14,65190276.95,967774.35
fev/21,2,fev,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,2804072.35,60690521.45,61495200.09,4867869.19
ago/21,8,ago,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,59822913.09,65455034.07,64333582.53,753478.38
Mar/21,3,Mar,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,15379853.29,60461173.39,59683900.91,1804646.56
Jan/21,1,Jan,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,356726205.15,62165375.36,19230368.07,54433722.83
Jul/21,7,Jul,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,4627087.24,64814804.38,84053542.73,1320383.22
mai/21,5,mai,21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,119948261.59,64867483.50,67342299.47,2547040.25
Jul/21,7,Jul,21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,32949887.02,21411053.19,27430383.51,1036760.73
