DATA,ESTADO,CIDADE,CASOS CONFIRMADOS,ÓBITOS,POPULAÇÃO ESTIMADA,LETALIDADE
10/18/2021,SC,Lajeado Grande,249,5,1418,2.01
10/18/2021,SC,Laurentino,1247,11,7063,0.88
10/18/2021,SC,Lauro Müller,2543,59,15313,2.32
10/18/2021,SC,Lebon Régis,1227,61,12115,4.97
10/18/2021,SC,Leoberto Leal,355,2,3000,0.56
10/18/2021,SC,Lindóia do Sul,976,12,4546,1.23
10/18/2021,SC,Lontras,1276,27,12315,2.12
10/18/2021,SC,Luiz Alves,2319,13,13107,0.56
10/18/2021,SC,Luzerna,1122,16,5684,1.43
10/18/2021,SC,Macieira,172,6,1766,3.49
10/18/2021,SC,Mafra,5682,132,56561,2.32
10/18/2021,SC,Major Gercino,368,6,3454,1.63
10/18/2021,SC,Major Vieira,374,6,8156,1.6
10/18/2021,SC,Maracajá,1262,20,7378,1.58
10/18/2021,SC,Maravilha,5377,69,26116,1.28
10/18/2021,SC,Marema,252,13,1750,5.16
10/18/2021,SC,Massaranduba,3004,23,17125,0.77
10/18/2021,SC,Matos Costa,179,3,2480,1.68
10/18/2021,SC,Meleiro,1310,25,7001,1.91
10/18/2021,SC,Mirim Doce,328,6,2283,1.83
10/18/2021,SC,Modelo,482,12,4218,2.49
10/18/2021,SC,Mondaí,1221,12,11889,0.98
10/18/2021,SC,Monte Carlo,1333,44,9906,3.3
10/18/2021,SC,Monte Castelo,955,23,8269,2.41
10/18/2021,SC,Morro da Fumaça,3658,45,17947,1.23
10/18/2021,SC,Morro Grande,584,7,2888,1.2
10/18/2021,SC,Navegantes,11156,213,83626,1.91
10/18/2021,SC,Nova Erechim,710,10,5092,1.41
10/18/2021,SC,Nova Itaberaba,491,3,4329,0.61
10/18/2021,SC,Nova Trento,2365,19,14782,0.8
10/18/2021,SC,Nova Veneza,3022,36,15342,1.19
10/18/2021,SC,Novo Horizonte,262,0,2404,0
10/18/2021,SC,Orleans,5498,90,23038,1.64
10/18/2021,SC,Otacílio Costa,3838,64,18975,1.67
10/18/2021,SC,Ouro,1627,20,7272,1.23
10/18/2021,SC,Ouro Verde,384,12,2207,3.12
10/18/2021,SC,Paial,216,5,1474,2.31
10/18/2021,SC,Painel,186,6,2356,3.23
10/18/2021,SC,Palhoça,30049,349,175272,1.16
10/18/2021,SC,Palma Sola,1058,17,7372,1.61
10/18/2021,SC,Palmeira,356,5,2650,1.4
10/18/2021,SC,Palmitos,2371,61,16157,2.57
10/18/2021,SC,Papanduva,1781,46,19422,2.58
10/18/2021,SC,Paraíso,148,7,3360,4.73
10/18/2021,SC,Passo de Torres,1363,29,9048,2.13
10/18/2021,SC,Passos Maia,347,13,4109,3.75
10/18/2021,SC,Paulo Lopes,1340,15,7569,1.12
10/18/2021,SC,Pedras Grandes,805,23,3953,2.86
10/18/2021,SC,Penha,6151,103,33284,1.67
10/18/2021,SC,Peritiba,455,4,2760,0.88
10/18/2021,SC,Pescaria Brava,2226,26,10159,1.17
10/18/2021,SC,Petrolândia,896,27,5905,3.01
10/18/2021,SC,Pinhalzinho,3593,37,20712,1.03
10/18/2021,SC,Pinheiro Preto,565,9,3596,1.59
10/18/2021,SC,Piratuba,612,11,3745,1.8
10/18/2021,SC,Planalto Alegre,349,11,2888,3.15
10/18/2021,SC,Pomerode,6025,73,34010,1.21
10/18/2021,SC,Ponte Alta,604,15,4650,2.48
10/18/2021,SC,Ponte Alta do Norte,328,8,3420,2.44
10/18/2021,SC,Ponte Serrada,1455,52,11634,3.57
10/18/2021,SC,Porto Belo,3075,61,21932,1.98
10/18/2021,SC,Porto União,4797,88,35543,1.83
10/18/2021,SC,Pouso Redondo,1937,40,17712,2.07
10/18/2021,SC,Praia Grande,1197,16,7312,1.34
10/18/2021,SC,Presidente Castello Branco,486,4,1547,0.82
10/18/2021,SC,Presidente Getúlio,1977,39,17726,1.97
10/18/2021,SC,Presidente Nereu,146,4,2283,2.74
