Mês Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
fev/21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"101.711.227,00","34.460.671,22","61.995.899,38","172.261.951,09"
Mar/21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"134.099.568,11","148.078.437,49","148.037.795,27","116.870.581,44"
abr/21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"348.244.390,66","266.473.350,84","242.716.824,95","30.294.559,61"
Jan/21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"106.908.029,14","38.542.435,41","5.953.003,24","33.341.055,73"
mai/21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"441.128.523,70","411.215.893,41","254.478.203,03","49.475.368,40"
ago/21,26000 - Ministério da Educação,26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"1.091.203.724,04","315.890.830,36","271.421.853,81","8.177.165,04"
Jan/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"66.558.891,00","8.163.341,20","2.301.359,55","7.658.740,57"
mai/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"23.332.395,51","9.207.220,31","9.358.320,77","468.276,54"
ago/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"2.155.944,32","9.467.722,69","9.666.499,12","329.756,72"
abr/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"1.556.467,73","9.268.397,39","9.180.052,34","465.411,74"
Mar/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"779.909,45","9.179.594,59","8.830.623,51","496.472,81"
Jul/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"15.856.943,22","9.533.069,46","12.570.612,62","538.048,29"
Jun/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"1.460.347,09","12.903.147,10","9.581.355,00","218.440,40"
fev/21,26000 - Ministério da Educação,26292 - Fundação Joaquim Nabuco,"1.970.359,70","8.798.875,34","8.561.669,79","1.194.142,69"
Mar/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"9.851.885,07","137.290.121,00","134.002.415,24","24.100.661,31"
fev/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"6.635.641,44","133.067.907,72","133.896.204,75","17.392.405,56"
abr/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"11.240.714,54","142.442.986,27","138.048.993,96","19.665.930,16"
Jun/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"103.726.046,18","187.794.940,47","145.559.809,46","13.414.085,88"
ago/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"284.293.080,36","142.870.471,07","143.157.613,49","11.754.237,53"
Jan/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"1.005.041.140,85","134.355.020,57","47.645.637,23","113.575.961,84"
Jul/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"137.436.822,32","141.763.316,27","184.401.974,31","17.667.704,93"
mai/21,26000 - Ministério da Educação,26271 - Fundação Universidade de Brasília,"66.423.390,35","141.464.013,50","142.182.362,13","16.078.668,87"
Jun/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"17.299.539,08","78.024.972,70","59.288.933,26","6.479.873,00"
ago/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"14.397.119,72","53.550.306,85","52.115.064,19","1.901.132,80"
Mar/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"4.824.039,98","57.420.834,51","56.493.566,21","3.289.870,95"
abr/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"4.409.078,52","64.840.750,63","64.651.667,64","10.015.786,11"
Jan/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"424.574.059,09","57.381.114,41","18.128.659,82","52.022.073,10"
Jul/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"73.479.624,15","60.756.971,07","77.443.849,05","4.760.078,13"
fev/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"4.765.815,38","57.148.488,66","57.759.720,25","6.115.937,65"
mai/21,26000 - Ministério da Educação,26270 - Fundação Universidade do Amazonas,"55.525.813,20","59.257.082,63","58.168.121,01","6.667.491,14"
Jan/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"377.405.907,24","63.466.199,65","19.899.439,78","56.179.251,26"
ago/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"95.546.303,64","69.835.327,01","68.746.551,79","1.145.164,98"
fev/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"5.763.119,28","64.924.153,56","63.721.372,65","2.042.048,10"
mai/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"168.929.791,83","75.514.094,81","72.988.227,40","4.802.770,46"
Jul/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"16.449.710,22","68.983.518,29","94.820.793,80","360.447,89"
Jun/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"46.778.306,26","92.395.868,23","70.684.031,89","1.388.232,03"
abr/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"26.340.908,91","70.002.677,36","68.538.355,41","4.279.348,13"
Mar/21,26000 - Ministério da Educação,26272 - Fundação Universidade do Maranhão,"6.300.839,86","65.097.359,21","63.976.015,57","4.791.395,79"
Jul/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"7.194.671,79","21.510.187,45","28.283.269,13","964.150,02"
ago/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"3.486.881,80","21.349.538,39","21.698.607,33","750.464,45"
abr/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"30.134.268,05","20.993.211,04","20.899.609,57","3.683.094,55"
fev/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"756.716,05","19.725.192,66","20.223.816,98","2.058.385,36"
Jun/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"2.123.004,44","28.253.811,10","21.679.620,82","1.354.876,55"
Mar/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"1.927.559,09","21.018.185,70","19.950.939,90","3.573.728,89"
mai/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"63.560.310,71","21.410.235,91","21.023.257,93","2.015.049,20"
Jan/21,26000 - Ministério da Educação,26350 - Fundação Universidade Federal da Grande Dourados,"143.222.159,35","20.310.741,53","6.896.832,65","16.985.059,28"
mai/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"43.862.531,20","11.805.257,95","11.948.304,12","2.935.076,80"
Jun/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"6.556.431,39","15.502.486,40","11.813.300,61","1.600.008,00"
abr/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"3.976.611,64","11.933.893,23","11.774.872,22","2.765.629,67"
Mar/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"2.285.671,43","11.701.215,91","11.671.510,22","1.014.548,59"
Jul/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"12.108.786,49","12.884.043,62","16.096.463,08","1.085.717,27"
fev/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"2.163.875,45","11.667.210,09","11.747.418,18","1.602.220,59"
Jan/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"65.359.181,65","11.737.210,78","3.583.518,14","8.800.829,94"
ago/21,26000 - Ministério da Educação,26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,"3.283.740,21","13.032.071,10","12.403.522,66","816.117,02"
abr/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"63.930.954,69","66.728.263,53","63.758.357,13","2.780.144,46"
Jun/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"61.151.796,71","84.725.478,14","65.190.276,95","967.774,35"
fev/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"2.804.072,35","60.690.521,45","61.495.200,09","4.867.869,19"
ago/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"59.822.913,09","65.455.034,07","64.333.582,53","753.478,38"
Mar/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"15.379.853,29","60.461.173,39","59.683.900,91","1.804.646,56"
Jan/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"356.726.205,15","62.165.375,36","19.230.368,07","54.433.722,83"
Jul/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"4.627.087,24","64.814.804,38","84.053.542,73","1.320.383,22"
mai/21,26000 - Ministério da Educação,26278 - Fundação Universidade Federal de Pelotas,"119.948.261,59","64.867.483,50","67.342.299,47","2.547.040,25"
Jul/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"32.949.887,02","21.411.053,19","27.430.383,51","1.036.760,73"
abr/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"31.816.689,69","21.222.666,02","21.282.416,26","2.351.991,00"
Jun/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"17.499.494,00","27.754.897,39","22.981.901,17","2.178.659,56"
Jan/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"46.540.458,87","21.227.998,12","6.838.330,30","18.327.937,74"
fev/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"3.669.286,85","20.822.210,94","21.243.992,09","3.140.042,31"
ago/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"5.390.285,41","21.417.327,63","21.696.960,97","1.669.824,30"
Mar/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"26.817.750,55","21.191.637,11","20.860.038,48","856.998,51"
mai/21,26000 - Ministério da Educação,26268 - Fundação Universidade Federal de Rondônia,"31.057.370,11","22.701.426,79","21.301.716,35","1.207.149,12"
Mar/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"82.481.671,03","56.242.163,48","55.822.942,31","1.724.845,39"
fev/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"2.836.512,16","56.365.104,25","57.160.611,55","3.628.649,60"
mai/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"110.986.216,77","64.104.168,81","62.609.493,11","1.223.706,06"
Jan/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"218.262.495,43","57.873.383,90","19.240.926,86","51.977.162,47"
abr/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"116.667.454,16","64.048.196,33","62.539.669,64","7.321.180,13"
Jul/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"64.078.796,32","62.378.365,95","77.311.375,20","1.294.816,51"
Jun/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"52.608.028,93","79.528.897,65","63.301.138,82","5.806.586,48"
ago/21,26000 - Ministério da Educação,26281 - Fundação Universidade Federal de Sergipe,"34.540.499,31","63.210.860,24","64.524.982,54","1.734.289,36"
ago/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"50.361.852,81","51.255.038,30","51.208.694,97","270.502,74"
Jun/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"63.842.883,16","66.263.991,32","51.735.101,33","597.915,08"
mai/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"74.128.990,96","54.377.515,81","53.028.713,13","1.554.808,74"
Jan/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"50.021.583,89","49.483.478,98","16.054.901,68","41.328.692,67"
Jul/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"49.578.747,34","51.185.385,80","66.093.913,41","982.051,18"
Mar/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"50.202.228,93","49.508.384,89","48.375.452,93","1.584.352,70"
fev/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"50.321.552,28","48.594.148,34","49.359.783,93","3.815.599,27"
abr/21,26000 - Ministério da Educação,26280 - Fundação Universidade Federal de São Carlos,"49.338.385,59","48.978.213,25","49.826.125,23","2.173.140,96"
abr/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"19.075.997,95","24.950.287,83","25.997.678,26","5.879.781,25"
ago/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"6.786.884,38","26.090.533,84","26.821.950,55","2.043.122,09"
mai/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"56.319.844,59","24.814.528,48","25.092.894,87","5.960.112,03"
Jul/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"49.841.913,92","26.444.462,63","32.569.469,52","3.695.096,84"
Mar/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"10.652.480,76","25.755.554,98","23.110.637,31","1.675.874,81"
Jun/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"12.009.226,66","31.566.568,12","24.661.607,06","2.646.484,70"
Jan/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"106.856.627,92","23.520.609,54","8.268.900,53","20.953.550,08"
fev/21,26000 - Ministério da Educação,26285 - Fundação Universidade Federal de São João Del-Rei,"595.410,21","22.888.360,97","23.328.756,45","3.596.697,76"
Jan/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"888.997.707,86","118.005.613,42","45.691.135,09","89.483.321,31"
fev/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"4.314.045,47","114.391.539,53","116.767.397,72","9.308.406,55"
Jul/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"20.444.872,69","120.762.538,60","152.931.730,93","12.108.022,22"
ago/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"23.168.264,05","120.844.280,84","120.860.439,91","6.490.837,41"
mai/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"39.030.286,66","115.769.957,99","125.203.011,27","6.333.522,92"
abr/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"26.809.954,94","120.894.009,88","119.394.619,53","8.449.831,06"
Jun/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"263.096.963,73","155.321.283,10","123.929.993,40","6.916.599,66"
Mar/21,26000 - Ministério da Educação,26274 - Fundação Universidade Federal de Uberlândia,"110.561.746,33","128.523.239,71","116.611.979,24","5.488.772,79"
fev/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"21.826.588,78","21.247.810,27","21.375.703,01","3.410.738,41"
mai/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"31.291.551,14","23.213.697,17","23.444.472,58","1.990.240,72"
Jan/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"22.108.492,58","21.332.080,14","7.907.449,37","16.253.912,62"
Mar/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"22.903.470,67","22.343.132,72","21.343.967,65","2.755.918,81"
Jul/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"22.622.650,12","24.921.040,56","30.439.782,40","1.246.443,25"
Jun/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"35.300.185,27","29.902.775,55","23.580.192,25","6.239.654,34"
abr/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"24.719.043,61","23.800.650,22","23.032.181,79","5.447.723,95"
ago/21,26000 - Ministério da Educação,26352 - Fundação Universidade Federal do ABC,"26.727.963,20","24.588.832,92","24.734.732,21","408.967,64"
ago/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"2.454.792,17","26.448.643,01","26.664.591,21","1.165.269,95"
Jun/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"87.610.395,76","32.231.368,52","25.399.306,21","2.820.265,49"
Jan/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"180.413.449,29","26.041.292,97","8.010.177,24","22.534.811,32"
abr/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"2.125.356,31","24.749.128,80","24.618.251,51","6.253.078,33"
Mar/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"2.016.383,50","24.421.411,26","24.591.422,61","2.170.560,49"
mai/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"32.937.963,00","25.398.667,72","24.726.222,55","1.835.927,00"
fev/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"620.969,40","24.536.186,79","25.905.158,29","3.827.086,64"
Jul/21,26000 - Ministério da Educação,26275 - Fundação Universidade Federal do Acre,"2.272.794,28","26.301.116,46","31.942.775,10","1.055.714,32"
ago/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"16.554.096,65","15.176.864,53","14.686.828,33","6.139.322,55"
Mar/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"4.228.280,86","13.982.064,06","13.951.707,19","1.465.655,78"
mai/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"72.737.852,93","14.446.246,07","14.652.724,59","2.142.416,99"
Jun/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"2.144.752,98","18.582.489,67","14.679.360,52","17.349.394,37"
abr/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"5.875.392,19","14.412.259,78","14.099.801,94","2.186.129,78"
fev/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"449.431,48","13.890.469,42","14.645.719,10","2.158.937,82"
Jul/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"4.840.271,64","14.863.292,80","18.624.661,99","2.766.799,71"
Jan/21,26000 - Ministério da Educação,26286 - Fundação Universidade Federal do Amapá,"78.826.400,89","14.786.140,35","4.767.012,82","12.767.902,11"
Mar/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"3.803.167,78","63.196.070,30","62.371.300,63","3.184.610,41"
Jun/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"68.599.373,39","84.845.524,87","65.464.984,22","11.675.391,65"
abr/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"5.854.164,15","64.092.135,62","64.183.156,56","4.136.025,75"
ago/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"61.398.947,29","67.844.464,75","67.643.567,41","2.535.822,52"
fev/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"3.299.184,00","54.958.020,71","62.379.741,82","4.635.108,35"
Jul/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"50.510.834,74","66.167.853,76","84.421.146,51","6.923.230,88"
Jan/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"434.165.615,27","62.666.786,41","12.640.640,76","61.971.917,03"
mai/21,26000 - Ministério da Educação,26276 - Fundação Universidade Federal do Mato Grosso,"31.245.107,31","63.226.427,30","63.395.521,77","2.806.953,22"
fev/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"5.845.997,40","64.468.493,72","66.104.669,57","8.531.839,02"
Mar/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"6.086.228,00","68.077.474,04","66.725.197,50","2.166.219,36"
abr/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"12.203.715,73","68.973.482,05","68.895.159,81","5.235.582,68"
ago/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"28.653.058,79","70.527.098,53","70.788.009,21","2.136.347,45"
Jan/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"379.024.262,71","65.159.559,37","21.444.456,03","56.263.060,45"
mai/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"108.431.801,34","73.389.912,83","71.860.782,17","1.138.331,89"
Jun/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"163.560.120,96","91.439.949,30","70.583.252,21","2.162.433,71"
Jul/21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,"96.740.483,71","73.126.117,52","94.258.918,87","998.059,91"
Jul/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"8.292.840,40","25.607.323,89","30.960.343,99","2.035.566,01"
fev/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"1.642.493,60","24.512.122,06","24.426.638,37","2.997.473,03"
Mar/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"1.280.785,68","23.899.887,60","23.827.859,11","1.231.310,36"
mai/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"35.757.013,34","25.138.920,88","25.453.150,83","1.580.683,53"
Jun/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"89.315.103,34","30.960.339,06","25.336.369,34","2.465.724,34"
abr/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"2.063.664,20","25.671.747,03","24.336.503,03","5.643.198,82"
