Mês Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Jan/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"143.938.962,19","23.878.200,36","8.594.212,13","21.023.293,07"
ago/21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,"7.844.517,43","25.372.620,83","25.560.143,79","1.283.067,91"
fev/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"19.767.957,17","55.423.791,04","55.326.458,98","7.130.633,98"
ago/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"111.339.842,79","59.629.182,01","60.478.268,92","530.259,09"
mai/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"126.959.391,44","62.331.289,51","58.580.719,55","3.538.654,75"
Jun/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"83.914.955,99","79.399.086,44","61.067.938,32","4.844.115,44"
Jan/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"173.237.164,96","55.501.763,72","16.502.040,02","51.827.798,57"
Mar/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"40.691.876,05","57.725.165,59","54.781.034,25","3.124.994,11"
Jul/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"33.865.018,35","60.374.406,81","76.711.014,69","1.080.880,14"
abr/21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,"37.162.667,06","57.325.914,25","61.380.699,46","7.414.517,05"
Jan/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"158.429.122,88","25.573.093,31","9.084.966,43","22.660.745,73"
Mar/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"2.833.363,74","27.430.973,27","25.423.316,79","2.222.536,17"
mai/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"45.385.359,06","28.783.958,50","28.773.851,03","4.332.681,24"
Jun/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"81.205.911,40","37.757.269,00","28.320.994,60","4.241.000,31"
Jul/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"6.811.326,21","30.660.528,09","36.923.899,28","6.614.119,38"
ago/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"7.663.639,47","29.374.535,68","30.077.334,82","645.958,23"
fev/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"1.136.415,32","25.218.230,23","25.517.157,05","5.191.753,52"
abr/21,26000 - Ministério da Educação,26251 - Fundação Universidade Federal do Tocantins,"4.325.318,03","26.706.017,26","27.196.084,07","7.456.840,28"
mai/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"37.326.220,73","15.091.238,91","14.116.844,75","3.669.935,69"
abr/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"30.442.384,84","13.928.688,45","14.163.432,07","9.561.444,50"
Jan/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"52.359.999,56","13.253.329,26","4.727.171,77","12.663.311,61"
fev/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"1.911.172,29","12.907.400,29","13.209.443,54","2.349.617,83"
Jun/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"28.227.683,91","21.553.520,26","15.618.782,81","824.352,74"
ago/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"21.854.923,40","18.534.356,55","21.394.866,05","1.237.241,51"
Jul/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"10.407.041,72","15.964.443,61","19.398.831,63","1.947.931,38"
Mar/21,26000 - Ministério da Educação,26230 - Fundação Universidade Federal do Vale do São Francisco,"1.159.775,32","14.038.440,68","13.024.668,37","3.317.871,84"
mai/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"12.015.436.521,99","3.425.356.068,01","3.425.485.283,65","207.223.082,23"
Jun/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"4.684.572.239,19","3.269.262.331,12","3.244.095.554,06","380.936.488,18"
Mar/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"904.257.616,72","3.139.921.973,39","3.107.255.145,89","190.750.662,66"
Jul/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"2.465.569.262,64","3.643.428.329,45","3.646.246.243,08","46.792.258,81"
ago/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"802.094.126,37","3.942.993.644,66","3.898.412.956,58","324.424.667,93"
abr/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"1.698.509.144,13","3.392.161.255,40","3.424.588.022,37","708.029.398,84"
fev/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"12.633.906.704,51","3.166.882.664,67","3.167.269.740,67","93.255.842,59"
Jan/21,26000 - Ministério da Educação,26298 - Fundo Nacional de Desenvolvimento da Educação,"10.255.597.860,62","2.013.401.266,39","2.004.136.952,27","4.061.293.511,22"
Jul/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"139.778.988,12","135.718.978,72","139.971.721,08","3.135.374,38"
fev/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"124.784.869,54","119.958.526,40","118.192.809,59","15.003.176,68"
Jun/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"137.830.986,40","136.637.578,09","131.033.248,00","7.558.393,35"
mai/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"133.492.624,11","132.768.339,06","135.672.886,09","3.042.606,52"
Jan/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"131.782.108,95","117.878.687,44","46.078.858,88","95.443.574,00"
abr/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"135.504.251,43","130.931.116,07","131.241.541,41","3.775.335,55"
Mar/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"128.648.445,29","130.163.673,17","123.040.365,19","7.774.550,53"
ago/21,26000 - Ministério da Educação,26294 - Hospital de Clínicas de Porto Alegre,"113.225.752,09","133.720.822,40","137.906.296,80","1.147.381,71"
Mar/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"1.046.401,35","22.925.255,59","22.671.788,73","2.074.199,80"
fev/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"399.301,82","22.575.945,76","22.845.439,05","3.317.828,27"
ago/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"13.547.175,25","25.268.236,52","24.671.940,08","1.395.341,31"
Jan/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"107.110.600,59","22.916.467,38","7.832.593,62","22.020.888,18"
Jun/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"34.385.099,22","29.785.631,57","24.836.050,12","3.393.139,03"
abr/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"2.048.493,48","23.543.762,42","23.279.739,14","6.744.904,75"
mai/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"101.405.561,30","24.143.388,86","23.695.974,26","2.373.354,76"
Jul/21,26000 - Ministério da Educação,26404 - Instituto Federal Baiano,"6.268.843,79","24.251.344,56","29.493.531,93","2.971.627,20"
fev/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"736.143,09","28.492.093,06","26.493.792,65","3.746.020,67"
Jun/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"16.955.249,79","31.867.900,13","24.787.097,42","3.365.051,10"
Jan/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"171.047.299,34","26.194.180,12","8.993.122,98","25.084.518,18"
abr/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"33.375.023,29","27.414.171,98","27.784.322,31","7.580.413,77"
Jul/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"23.505.994,01","33.189.334,89","39.576.422,67","1.786.492,55"
Mar/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"1.330.099,89","27.094.359,75","28.173.700,16","2.661.298,35"
mai/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"75.665.719,42","27.455.737,17","26.961.426,13","2.591.172,70"
ago/21,26000 - Ministério da Educação,26422 - Instituto Federal Catarinense,"3.953.766,05","29.565.093,90","29.468.549,69","1.661.061,32"
fev/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"1.424.664,57","40.825.746,19","40.949.435,59","3.365.864,03"
Jul/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"12.624.371,15","45.834.507,46","54.793.458,14","1.995.380,08"
mai/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"153.872.492,86","48.092.743,17","44.228.328,25","3.680.646,55"
abr/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"2.191.790,72","43.210.301,23","44.326.245,16","6.200.229,42"
ago/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"6.889.264,44","46.260.704,67","45.765.380,11","1.808.288,12"
Jun/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"16.392.347,42","54.641.798,85","47.186.771,70","2.562.922,29"
Mar/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"55.378.460,33","43.229.975,52","41.038.066,02","2.315.732,15"
Jan/21,26000 - Ministério da Educação,26427 - Instituto Federal da Bahia,"283.714.612,11","41.343.588,48","14.087.211,72","41.306.311,91"
Jan/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"133.128.775,08","40.401.865,44","13.691.767,91","42.609.093,56"
Jun/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"20.291.465,62","51.225.577,63","43.912.624,67","2.393.945,59"
mai/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"150.599.539,87","43.701.798,03","42.012.447,41","2.711.414,82"
fev/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"66.146.057,38","41.646.854,29","40.724.731,57","2.844.032,85"
Mar/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"1.921.703,84","41.826.849,00","41.453.934,06","2.237.089,69"
ago/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"21.258.244,07","44.321.871,78","44.289.481,30","1.612.710,20"
abr/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"2.384.442,40","41.862.587,67","42.520.965,56","4.385.279,34"
Jul/21,26000 - Ministério da Educação,26417 - Instituto Federal da Paraíba,"48.438.973,22","43.793.569,52","51.419.265,28","2.110.452,42"
Jun/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"107.989.158,52","39.462.343,32","33.300.389,84","3.452.630,08"
abr/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"50.290.198,37","32.688.814,97","33.854.765,44","6.507.973,45"
Jan/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"205.379.008,86","30.817.870,36","10.015.420,65","32.471.021,07"
mai/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"5.071.023,10","34.103.303,02","33.186.346,14","4.483.079,98"
ago/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"5.693.687,89","33.133.822,04","32.467.054,76","1.903.069,63"
Jul/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"5.943.885,32","32.537.994,22","39.100.240,55","1.918.637,45"
fev/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"1.152.821,71","30.872.842,71","31.237.895,34","2.430.812,31"
Mar/21,26000 - Ministério da Educação,26402 - Instituto Federal de Alagoas,"2.431.358,48","32.224.078,11","30.286.925,89","1.338.002,38"
Jun/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"26.100.688,39","23.832.210,69","18.982.460,26","2.959.436,20"
Jul/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"18.266.760,60","19.183.550,32","23.309.540,40","1.394.367,83"
abr/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"18.866.479,98","17.846.637,88","19.550.130,07","4.222.310,07"
Jan/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"17.276.552,11","16.685.558,34","5.779.342,70","12.274.575,45"
ago/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"27.840.400,16","21.490.472,60","20.149.665,30","1.929.346,17"
fev/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"19.803.536,25","19.064.083,96","17.006.151,45","2.357.550,57"
Mar/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"19.638.954,78","19.313.972,79","19.068.115,16","1.775.169,33"
mai/21,26000 - Ministério da Educação,26428 - Instituto Federal de Brasília,"30.730.129,77","19.763.618,79","19.114.779,33","2.786.277,34"
fev/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","2.617.247,80","39.353.135,54","35.783.180,13","2.892.765,69"
ago/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","29.515.516,40","37.076.060,71","37.650.661,94","4.727.896,77"
Jul/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","13.255.386,29","37.401.065,40","42.870.122,74","2.371.400,99"
mai/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","5.970.100,41","37.292.200,05","35.377.509,16","1.336.891,39"
Jun/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","63.897.606,20","43.906.955,80","38.283.772,74","3.263.107,75"
Mar/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","1.719.398,41","35.308.495,88","38.684.258,04","1.749.144,66"
abr/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","60.049.331,61","35.262.465,51","35.514.595,72","3.367.627,75"
Jan/21,26000 - Ministério da Educação,"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás","217.690.805,96","34.998.301,92","11.887.913,76","35.690.232,39"
Mar/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"1.358.633,26","31.001.002,65","30.493.643,24","2.173.786,58"
Jan/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"199.734.808,79","29.717.001,94","9.777.701,95","30.287.757,92"
mai/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"55.741.407,94","32.432.357,51","31.796.459,97","2.234.393,81"
fev/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"1.620.380,68","30.575.535,74","30.026.647,10","3.545.709,78"
Jul/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"3.461.108,88","32.696.657,34","39.087.800,95","2.734.529,43"
abr/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"1.513.941,17","30.711.647,82","31.371.079,47","11.675.712,45"
Jun/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"107.204.701,89","38.767.471,14","32.021.249,90","3.678.810,79"
ago/21,26000 - Ministério da Educação,26409 - Instituto Federal de Minas Gerais,"3.674.816,93","32.756.157,13","32.686.871,93","2.161.141,52"
fev/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"1.844.507,29","41.256.343,52","41.991.681,37","3.409.687,44"
Mar/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"3.413.697,97","41.287.680,94","40.933.139,72","1.333.175,57"
ago/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"7.928.377,26","44.247.546,52","44.070.188,13","2.422.563,81"
mai/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"134.195.721,34","46.014.490,26","44.628.962,59","3.055.653,92"
Jan/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"239.542.441,44","41.832.763,85","13.194.111,54","42.878.247,01"
Jun/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"23.933.288,75","52.119.596,96","43.946.402,38","1.905.484,74"
Jul/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"31.727.331,28","44.309.217,74","52.496.203,27","1.802.022,91"
abr/21,26000 - Ministério da Educação,26418 - Instituto Federal de Pernambuco,"3.753.402,16","42.320.486,62","42.568.245,04","4.759.529,46"
Jul/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"2.245.065,52","16.580.458,22","20.643.537,36","2.036.466,35"
Jun/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"66.639.564,37","20.998.380,34","16.822.066,47","6.457.177,04"
mai/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"17.930.883,25","16.737.639,26","16.322.458,43","2.276.113,67"
Mar/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"1.306.680,47","15.672.737,37","14.656.706,97","2.313.510,85"
abr/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"1.616.904,37","15.892.101,66","16.487.294,86","4.411.093,94"
Jan/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"90.896.891,30","14.764.536,02","4.921.050,86","16.085.510,95"
fev/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"596.556,44","14.595.193,94","14.664.069,62","3.298.940,98"
ago/21,26000 - Ministério da Educação,26421 - Instituto Federal de Rondônia,"6.308.603,55","16.882.661,05","16.830.055,06","1.018.532,56"
abr/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"2.695.074,06","9.944.405,80","9.600.617,91","2.202.661,06"
Jan/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"19.351.090,07","8.916.362,79","2.866.140,37","8.224.261,62"
fev/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"11.810.056,14","9.050.826,72","8.942.681,26","1.094.750,18"
mai/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"21.921.674,34","9.727.278,20","9.904.154,39","1.169.622,17"
Jul/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"4.802.247,42","10.014.578,02","12.863.737,74","465.391,39"
Mar/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"10.235.442,70","9.414.526,27","9.186.913,63","534.634,74"
ago/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"20.132.678,47","10.276.256,63","10.157.985,40","312.103,06"
Jun/21,26000 - Ministério da Educação,26437 - Instituto Federal de Roraima,"11.226.709,74","12.855.674,03","9.913.981,69","1.747.135,73"
Mar/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"5.721.843,29","45.453.293,60","43.510.301,37","1.753.440,90"
Jun/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"88.447.314,72","56.887.551,07","45.080.732,41","5.354.020,31"
mai/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"12.639.041,34","45.525.999,46","45.612.339,79","4.205.714,61"
ago/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"45.074.585,15","46.638.776,30","46.656.583,56","2.048.592,84"
Jul/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"3.006.819,20","47.015.332,43","57.082.919,50","3.414.299,36"
Jan/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"281.598.368,49","43.707.437,82","14.395.377,09","47.521.007,88"
abr/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"56.352.751,36","45.164.040,34","46.388.830,90","6.733.644,16"
fev/21,26000 - Ministério da Educação,26438 - Instituto Federal de Santa Catarina,"2.206.915,66","42.549.766,50","43.030.712,01","3.097.458,60"
fev/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"20.421.206,11","20.211.605,64","20.051.435,23","3.027.625,56"
ago/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"4.690.195,77","21.939.996,34","22.076.240,53","725.704,24"
mai/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"25.330.309,11","22.511.574,63","22.464.142,14","2.442.250,36"
Jun/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"101.348.415,88","26.633.678,61","21.448.994,16","815.424,86"
Jul/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"16.942.733,77","22.128.726,57","26.431.276,66","672.987,52"
Jan/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"20.426.827,91","19.838.724,55","6.358.585,39","20.555.709,29"
abr/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"22.521.170,95","21.094.690,84","21.682.350,20","2.320.836,37"
Mar/21,26000 - Ministério da Educação,26423 - Instituto Federal de Sergipe,"20.706.406,46","20.951.771,11","20.164.114,92","765.526,24"
Mar/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"3.974.970,02","68.999.998,06","70.811.907,13","3.266.080,32"
Jul/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"17.726.842,16","76.342.857,40","94.126.384,57","4.014.153,55"
abr/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"36.924.426,92","69.898.398,18","70.910.239,95","12.268.870,90"
Jan/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"437.342.580,98","75.876.166,85","23.396.586,46","56.065.324,51"
mai/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"109.441.920,15","72.016.514,78","70.117.599,59","4.250.893,41"
fev/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"3.176.603,11","71.963.853,29","75.817.282,57","5.216.080,25"
ago/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"9.481.682,36","75.090.565,71","75.860.328,15","3.206.223,30"
Jun/21,26000 - Ministério da Educação,26439 - Instituto Federal de São Paulo,"128.808.565,60","93.446.422,24","72.956.661,92","9.880.274,79"
Jun/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"12.780.797,89","11.229.510,04","8.765.189,10","917.681,05"
Mar/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"16.868.009,13","8.684.061,05","8.515.775,74","518.394,07"
Jan/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"16.908.611,90","8.200.783,63","2.729.462,96","7.225.167,61"
fev/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"5.363.126,78","8.784.803,56","8.334.416,99","824.803,04"
ago/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"20.218.734,06","8.995.506,76","8.978.853,44","608.369,36"
mai/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"7.106.825,95","8.618.256,10","8.904.430,18","4.084.077,93"
Jul/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"9.115.339,61","8.863.892,18","11.213.611,45","784.511,52"
abr/21,26000 - Ministério da Educação,26425 - Instituto Federal do Acre,"1.389.239,03","8.970.287,49","8.921.469,72","1.727.397,57"
Mar/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"392.369,80","6.400.606,27","6.369.173,39","219.714,99"
Jul/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"828.617,73","7.200.933,66","9.317.938,41","2.513.814,25"
Jan/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"41.370.647,97","6.425.009,05","2.026.494,46","5.732.096,74"
abr/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"10.317.955,92","6.482.587,83","6.480.226,40","2.454.845,24"
ago/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"240.130,73","7.037.993,24","6.861.323,36","799.506,43"
mai/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"5.445.172,01","6.689.919,80","6.346.585,19","666.025,63"
Jun/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"20.525.010,80","9.232.486,26","6.700.890,35","4.277.145,49"
fev/21,26000 - Ministério da Educação,26426 - Instituto Federal do Amapá,"66.017,33","6.299.086,61","6.408.894,81","1.009.068,38"
ago/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"1.994.573,87","28.286.689,31","28.173.489,27","14.484.336,17"
Jun/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"5.995.037,90","33.128.857,76","26.842.324,63","10.304.173,79"
fev/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"1.293.365,98","24.660.219,84","25.093.731,86","1.674.055,94"
abr/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"1.644.313,03","25.376.273,66","25.899.088,80","5.541.315,91"
mai/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"98.170.783,35","27.439.639,55","25.887.940,03","3.604.147,33"
Jul/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"3.715.399,84","27.485.981,88","32.790.325,53","3.386.761,60"
Mar/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"34.707.284,19","25.624.022,34","24.712.220,84","2.168.608,05"
Jan/21,26000 - Ministério da Educação,26403 - Instituto Federal do Amazonas,"170.806.259,48","25.022.815,99","8.117.353,46","29.790.110,64"
abr/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"28.232.558,65","57.199.129,50","57.863.636,29","8.176.232,41"
Jan/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"205.700.397,09","52.505.999,75","17.898.164,41","62.063.530,29"
fev/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"21.429.850,98","54.274.773,26","52.853.753,55","4.741.280,98"
Jun/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"72.867.514,59","75.188.890,46","59.424.202,23","7.694.795,91"
mai/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"62.949.613,52","60.813.530,68","59.087.480,79","3.742.591,77"
Jul/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"126.871.316,59","58.333.236,97","74.906.940,10","5.632.901,11"
Mar/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"6.042.881,88","55.428.342,66","53.624.591,17","2.462.367,50"
ago/21,26000 - Ministério da Educação,26405 - Instituto Federal do Ceará,"122.492.267,70","57.847.797,71","58.358.013,48","3.932.675,06"
Jun/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"33.028.444,40","66.632.656,70","54.012.845,21","16.738.397,96"
mai/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"98.977.329,24","55.302.353,18","52.337.296,60","2.501.454,74"
Jan/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"171.311.046,87","49.110.137,51","16.616.005,81","61.732.618,64"
Jul/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"81.800.846,16","54.205.761,74","67.406.816,45","8.420.892,28"
abr/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"17.422.777,08","51.053.371,39","52.178.518,84","8.880.956,15"
ago/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"26.803.483,21","56.410.528,18","54.424.453,04","2.292.364,44"
fev/21,26000 - Ministério da Educação,26406 - Instituto Federal do Espírito Santo,"30.593.425,91","49.018.561,21","49.170.101,78","9.115.052,32"
