Mês Ano,Área de atuação (Função),Subfunção,Programa Orçamentário,Plano Orçamentário,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Apr-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,14 - Diárias - Civil,90 - Reserva de Contingência,2140.00,2140.00,1293.00,0.00
Apr-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0001 - RECUPERACAO E MODERNIZACAO DE UNIDADES ARMAZENADORAS NAO ATENDIDAS PELO CONTRATO COM O BANCO DO BRASIL,4 - Investimentos,52 - Equipamentos e Material Permanente,90 - Reserva de Contingência,0.00,0.00,0.00,50236.06
Apr-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0000 - ATIVOS CIVIS DA UNIAO,1 - Pessoal e Encargos Sociais,13 - Obrigações Patronais,91 - APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS,0.00,708565.53,708565.53,0.00
Apr-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,33 - Passagens e Despesas com Locomoção,90 - Reserva de Contingência,284.00,358.00,0.00,0.00
Apr-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,37 - Locação de Mão-de-Obra,90 - Reserva de Contingência,51198.59,51203.44,181337.95,0.00
Apr-18,20 - Agricultura,301 - Atenção básica,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO,3 - Outras Despesas Correntes,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,256716.13,256716.13,253830.48,0.00
Apr-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0001 - RECUPERACAO E MODERNIZACAO DE UNIDADES ARMAZENADORAS NAO ATENDIDAS PELO CONTRATO COM O BANCO DO BRASIL,3 - Outras Despesas Correntes,30 - Material de Consumo,90 - Reserva de Contingência,200.00,200.00,200.00,0.00
Apr-18,28 - Encargos especiais,846 - Outros encargos especiais,0901 - OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0002 - DEPOSITOS RECURSAIS DEVIDOS POR EMPRESAS ESTATAIS DEPENDENTES,3 - Outras Despesas Correntes,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,1000.00,1000.00,0.00,0.00
Apr-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0000 - ATIVOS CIVIS DA UNIAO,1 - Pessoal e Encargos Sociais,13 - Obrigações Patronais,90 - Reserva de Contingência,0.00,212114.84,212114.84,0.00
Apr-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0001 - RECUPERACAO E MODERNIZACAO DE UNIDADES ARMAZENADORAS NAO ATENDIDAS PELO CONTRATO COM O BANCO DO BRASIL,3 - Outras Despesas Correntes,33 - Passagens e Despesas com Locomoção,90 - Reserva de Contingência,-24.62,0.00,0.00,0.00
Apr-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,"0004 - PESQUISA, ACOMPANHAMENTO E AVALIACAO DE SAFRAS",3 - Outras Despesas Correntes,30 - Material de Consumo,90 - Reserva de Contingência,116.18,206.74,206.74,0.00
Apr-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0000 - ATIVOS CIVIS DA UNIAO,1 - Pessoal e Encargos Sociais,11 - Vencimentos e Vantagens Fixas - Pessoal Civil,90 - Reserva de Contingência,0.00,165891.14,165891.14,0.00
Apr-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0003 - CADASTRO NACIONAL DE UNIDADES ARMAZENADORAS,3 - Outras Despesas Correntes,30 - Material de Consumo,90 - Reserva de Contingência,160.00,160.00,160.00,0.00
May-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,39 - Outros Serviços de Terceiros - Pessoa Jurídica,90 - Reserva de Contingência,971795.08,152149.46,239471.02,121.07
May-18,20 - Agricultura,608 - Promoção da produção agropecuária,2077 - AGROPECUARIA SUSTENTAVEL,0005 - SISTEMATIZACAO E GERENCIAMENTO DO DESENVOLVIMENTO DA CAFEICULTURA,3 - Outras Despesas Correntes,30 - Material de Consumo,90 - Reserva de Contingência,3500.00,3500.00,3500.00,0.00
May-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,"0004 - PESQUISA, ACOMPANHAMENTO E AVALIACAO DE SAFRAS",3 - Outras Despesas Correntes,33 - Passagens e Despesas com Locomoção,90 - Reserva de Contingência,1638.10,1543.10,1884.73,0.00
May-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0001 - COORDENACAO E GESTAO DO ABASTECIMENTO AGROALIMENTAR,3 - Outras Despesas Correntes,30 - Material de Consumo,90 - Reserva de Contingência,25314.75,24107.25,18788.96,134.31
May-18,20 - Agricultura,605 - Abastecimento,2077 - AGROPECUARIA SUSTENTAVEL,0001 - RECUPERACAO E MODERNIZACAO DE UNIDADES ARMAZENADORAS NAO ATENDIDAS PELO CONTRATO COM O BANCO DO BRASIL,3 - Outras Despesas Correntes,14 - Diárias - Civil,90 - Reserva de Contingência,5687.00,4598.00,4598.00,0.00
May-18,20 - Agricultura,122 - Administração geral,"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",0000 - ATIVOS CIVIS DA UNIAO,1 - Pessoal e Encargos Sociais,94 - Indenizações e Restituições Trabalhistas,90 - Reserva de Contingência,0.00,953.47,953.47,0.00
May-18,28 - Encargos especiais,846 - Outros encargos especiais,0901 - OPERACOES ESPECIAIS: CUMPRIMENTO DE SENTENCAS JUDICIAIS,0002 - DEPOSITOS RECURSAIS DEVIDOS POR EMPRESAS ESTATAIS DEPENDENTES,1 - Pessoal e Encargos Sociais,91 - Sentenças Judiciais,90 - Reserva de Contingência,27567.00,27567.00,9189.00,0.00
