Tipo de violencia,Data,Região,Quantidade
estupro consumado,5/1/2020,Capital,30.00
estupro tentado,5/1/2020,Capital,8.00
homicidio doloso (exclui feminicidio),5/1/2020,Demacro,5.00
feminicidio,5/1/2020,Demacro,1.00
tentativa de homicidio,5/1/2020,Demacro,2.00
lesão corporal dolosa,5/1/2020,Demacro,540.00
maus tratos,5/1/2020,Demacro,3.00
ameaça,5/1/2020,Demacro,523.00
invasão de domicilio,5/1/2020,Demacro,3.00
estupro consumado,5/1/2020,Demacro,25.00
estupro tentado,5/1/2020,Demacro,10.00
homicidio doloso (exclui feminicidio),5/1/2020,Interior,9.00
feminicidio,5/1/2020,Interior,7.00
tentativa de homicidio,5/1/2020,Interior,15.00
lesão corporal dolosa,5/1/2020,Interior,2098.00
maus tratos,5/1/2020,Interior,21.00
ameaça,5/1/2020,Interior,2519.00
invasão de domicilio,5/1/2020,Interior,26.00
estupro consumado,5/1/2020,Interior,99.00
estupro tentado,5/1/2020,Interior,33.00
homicidio doloso (exclui feminicidio),6/1/2020,Capital,5.00
feminicidio,6/1/2020,Capital,1.00
tentativa de homicidio,6/1/2020,Capital,3.00
lesão corporal dolosa,6/1/2020,Capital,692.00
maus tratos,6/1/2020,Capital,1.00
ameaça,6/1/2020,Capital,713.00
invasão de domicilio,6/1/2020,Capital,4.00
estupro consumado,6/1/2020,Capital,42.00
estupro tentado,6/1/2020,Capital,10.00
homicidio doloso (exclui feminicidio),6/1/2020,Demacro,5.00
feminicidio,6/1/2020,Demacro,2.00
tentativa de homicidio,6/1/2020,Demacro,5.00
lesão corporal dolosa,6/1/2020,Demacro,665.00
maus tratos,6/1/2020,Demacro,3.00
ameaça,6/1/2020,Demacro,627.00
invasão de domicilio,6/1/2020,Demacro,3.00
estupro consumado,6/1/2020,Demacro,34.00
estupro tentado,6/1/2020,Demacro,17.00
homicidio doloso (exclui feminicidio),6/1/2020,Interior,11.00
feminicidio,6/1/2020,Interior,5.00
tentativa de homicidio,6/1/2020,Interior,18.00
lesão corporal dolosa,6/1/2020,Interior,2347.00
