YEAR,STATE,DEATHS,RATES
2015,MT,205,19.20
2015,NE,169,8.90
2015,NV,446,14.90
2015,NH,121,8.90
2015,NJ,475,5.40
2015,NM,390,18.60
2015,NY,849,4.20
2015,NC,1289,12.50
2015,ND,92,12.80
2015,OH,1397,11.90
2015,OK,706,18.00
2015,OR,486,11.40
2015,PA,1485,11.40
2015,RI,51,4.70
2015,SC,850,17.30
2015,SD,96,11.10
2015,TN,1075,16.00
2015,TX,3203,11.70
2015,UT,367,12.80
2015,VT,70,9.60
2015,VA,946,10.90
2015,WA,718,9.80
2015,WV,278,14.00
2015,WI,613,10.40
2015,WY,113,19.60
2014,AL,815,16.90
2014,AK,145,19.20
2014,AZ,927,13.50
2014,AR,496,16.60
2014,CA,2942,7.40
2014,CO,663,12.20
2014,CT,187,5.00
2014,DE,102,11.10
2014,FL,2410,11.50
2014,GA,1391,13.70
2014,HI,40,2.60
2014,ID,213,13.20
2014,IL,1179,9.00
2014,IN,818,12.40
2014,IA,241,7.50
2014,KS,329,11.30
2014,KY,634,13.90
2014,LA,896,19.00
2014,ME,133,9.40
2014,MD,546,9.00
2014,MA,226,3.20
2014,MI,1095,11.10
2014,MN,377,6.60
2014,MS,547,18.30
2014,MO,943,15.30
2014,MT,172,16.10
2014,NE,179,9.50
2014,NV,429,14.80
2014,NH,122,8.70
2014,NJ,468,5.30
2014,NM,340,16.00
2014,NY,875,4.20
2014,NC,1206,11.80
2014,ND,96,12.30
2014,OH,1211,10.30
2014,OK,611,15.70
2014,OR,497,11.70
2014,PA,1390,10.50
2014,RI,34,3.00
2014,SC,767,15.50
2014,SD,89,10.30
2014,TN,1016,15.10
2014,TX,2848,10.70
2014,UT,337,12.30
2014,VT,69,10.30
2014,VA,889,10.30
2014,WA,702,9.70
2014,WV,286,14.60
2014,WI,487,8.20
2014,WY,93,16.20
2005,AL,736,16.00
2005,AK,116,17.50
2005,AZ,934,16.10
2005,AR,439,15.70
2005,CA,3453,9.50
2005,CO,535,11.60
2005,CT,187,5.30
2005,DE,75,8.80
2005,FL,1838,10.00
2005,GA,1064,12.10
2005,HI,28,2.10
2005,ID,195,14.10
2005,IL,1019,8.00
2005,IN,705,11.20
2005,IA,201,6.70
2005,KS,257,9.30
2005,KY,548,13.00
2005,LA,858,18.50
2005,ME,109,7.80
2005,MD,657,11.90
2005,MA,224,3.40
2005,MI,1074,10.80
2005,MN,361,7.00
2005,MS,455,16.00
2005,MO,752,12.90
2005,MT,161,16.90
2005,NE,135,7.70
2005,NV,390,16.10
2005,NH,88,6.60
2005,NJ,434,5.20
2005,NM,267,13.90
2005,NY,1019,5.30
2005,NC,1119,12.80
2005,ND,61,8.80
2005,OH,1116,9.60
2005,OK,468,13.20
2005,OR,402,10.70
2005,PA,1352,10.80
2005,RI,39,3.60
2005,SC,589,13.80
2005,SD,82,10.20
2005,TN,976,16.00
2005,TX,2490,11.10
2005,UT,227,10.10
2005,VT,44,6.80
2005,VA,888,11.50
2005,WA,567,8.80
2005,WV,261,13.80
2005,WI,474,8.50
2005,WY,71,13.40
