Ano,mes,Empresa (nome),Empresa (sigla),Empresa (pais),Natureza,Passageiros,carga e correio (kg)
2020,2,SURINAM AIRWAYS LTD,SLM,SURINAME,INTERNACIONAL,1471,188
2020,2,ASTA LINHAS AÃ‰REAS LTDA ( EX - AMÃ‰RICA DO SUL LINHAS AÃ‰REAS LTDA.),SUL,BRASIL,DOMÃ‰STICA,1105,14002
2020,2,"SWIFT AIR,LLC",SWQ,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,381,0
2020,2,SWISS INTERNATIONAL AIR LINES LTD.,SWR,SUÃÃ‡A,INTERNACIONAL,17437,819331
2020,2,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,DOMÃ‰STICA,2779229,11389537
2020,2,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,INTERNACIONAL,457021,10692954
2020,2,TAP - TRANSPORTES AÃ‰REOS PORTUGUESES S/A,TAP,PORTUGAL,INTERNACIONAL,123936,3978827
2020,2,EMPRESA DE TRANSPORTES AÃ‰REOS DE CABO VERDE - TACV S.A.,TCV,CABO VERDE,INTERNACIONAL,6522,0
2020,2,TURKISH AIRLINES INC,THY,TURQUIA,INTERNACIONAL,17751,1571116
2020,2,TRANSCARGA INTERNATIONAL AIRWAYS C.A.,TIW,VENEZUELA,INTERNACIONAL,0,1778
2020,2,TAMPA CARGO S.A.,TPA,COLÃ”MBIA,INTERNACIONAL,0,1356966
2020,2,AVIANCA PERU S.A (EX: TRANS AMERICAN AIRLINES S.A. - TACA PERU),TPU,PERU,INTERNACIONAL,21708,315421
2020,2,TOTAL LINHAS AÃ‰REAS S.A.,TTL,BRASIL,DOMÃ‰STICA,1426,1295608
2020,2,EMIRATES,UAE,EMIRADOS ÃRABES UNIDOS,INTERNACIONAL,46845,1101877
2020,2,"UNITED AIRLINES,INC",UAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,62187,1863155
2020,2,UPS - UNITED PARCEL SERVICE CO.,UPS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1430398
2020,2,TAG AVIATION UK,VIP,REINO UNIDO,INTERNACIONAL,110,0
2020,3,"AMERICAN AIRLINES,INC.",AAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,47331,1714154
2020,3,AIR CANADA,ACA,CANADÃ,INTERNACIONAL,17981,637003
2020,3,AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,AEA,ESPANHA,INTERNACIONAL,14883,592731
2020,3,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,41006,2130363
2020,3,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,11471,742123
2020,3,AEROLINEAS ARGENTINAS S/A,ARG,ARGENTINA,INTERNACIONAL,57200,13553
2020,3,SERVICIO AEREO REGIONAL REGAIR AIR LTDA,ARL,EQUADOR,INTERNACIONAL,256,0
2020,3,AUSTRAL LINEAS AÃ‰REAS - CIELOS DEL SUR,AUT,ARGENTINA,INTERNACIONAL,1827,76
2020,3,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,AVA,COLÃ”MBIA,INTERNACIONAL,17241,451308
2020,3,ALITALIA SOCIETA AEREA ITALIANA S.P.A.,AZA,ITÃLIA,INTERNACIONAL,16167,790821
2020,3,COMPAÃ‘IA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.,AZN,BOLÃVIA,INTERNACIONAL,859,0
2020,3,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,410,0
2020,3,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,1430216,5021832
2020,3,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,64427,1442843
2020,3,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,20164,1464302
2020,3,BOA BOLIVIANA DE AVIACIÃ“N,BOV,BOLÃVIA,INTERNACIONAL,5607,27459
2020,3,AIR CHINA,CCA,CHINA,INTERNACIONAL,2909,224468
2020,3,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,2354707
2020,3,COMPAÃ‘IA PANAMEÃ‘A DE AVIACION S.A. (COPA AIRLINES),CMP,PANAMÃ,INTERNACIONAL,51298,115474
2020,3,CORENDON DUTCH AIRLINES B.V.,CND,HOLANDA,INTERNACIONAL,831,0
2020,3,DELTA AIR LINES INC.,DAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,27753,868185
2020,3,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,27309,1517868
2020,3,LAN ARGENTINA S.A.,DSM,ARGENTINA,INTERNACIONAL,2108,2026
2020,3,TAAG LINHAS AÃ‰REAS DA ANGOLA (ANGOLA AIRLINES),DTA,ANGOLA,INTERNACIONAL,5017,223975
2020,3,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,11102,710781
2020,3,FB LÃNEAS AÃ‰REAS S.A (FLYBONDI),FBZ,ARGENTINA,INTERNACIONAL,8248,0
2020,3,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1290439
2020,3,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,2593693
2020,3,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,1748676,5828988
2020,3,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,101459,120992
2020,3,ATLAS AIR INC,GTI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,5501373
2020,3,IBÃ‰RIA LINEAS AEREAS DE ESPAÃ‘A SOCIEDAD ANONIMA OPERADORA,IBE,ESPANHA,INTERNACIONAL,20029,914831
2020,3,JETSMART AIRLINES SPA - CHILE,JAT,CHILE,INTERNACIONAL,2422,0
2020,3,KOREAN AIR LINES CO. LTD.,KAL,COREIA DO SUL,INTERNACIONAL,0,2547509
2020,3,KLM CIA. REAL HOLANDESA DE AVIAÃ‡ÃƒO,KLM,HOLANDA,INTERNACIONAL,27483,1614179
2020,3,LÃNEA AÃ‰REA CARGUEIRA DE COLOMBIA S.A - LANCO,LAE,COLÃ”MBIA,INTERNACIONAL,0,1152313
2020,3,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),LAN,CHILE,INTERNACIONAL,41567,853310
2020,3,TRANSPORTE AÃ‰REOS DEL MERCOSUR S.A. (TAM MERCOSUR),LAP,PARAGUAI,INTERNACIONAL,9410,33379
2019,4,"""LÃNEAS AÃ‰REAS SURAMERICANAS """,LAS,COLÃ”MBIA,INTERNACIONAL,0,43736
2020,3,LAN CARGO S.A.,LCO,CHILE,INTERNACIONAL,0,2563068
2020,3,LOT POLISH AIRLINES,LOT,POLÃ”NIA,INTERNACIONAL,326,0
2020,3,LAN PERU S.A.,LPE,PERU,INTERNACIONAL,13782,334926
2020,3,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,INTERNACIONAL,0,5741648
2020,3,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,DOMÃ‰STICA,0,3515344
2020,3,MARTINAIR HOLLAND N.V.,MPH,PAÃSES BAIXOS,INTERNACIONAL,0,1179365
2020,3,MODERN TRANSPORTE AEREO DE CARGA S.A,MWM,BRASIL,DOMÃ‰STICA,0,637931
2020,3,NORWEGIAN AIR UKÂ LIMITED,NRS,REINO UNIDO,INTERNACIONAL,6059,143620
2020,3,OMNI TÃXI AÃ‰REO S.A.,OMI,BRASIL,DOMÃ‰STICA,2334,0
2020,3,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,2627,42397
2020,3,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,INTERNACIONAL,61,744
2020,3,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,6812,0
2020,3,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,DOMÃ‰STICA,32057,124
2020,3,PRIVILEGE STYLE S.A.,PVG,ESPANHA,INTERNACIONAL,186,0
2020,3,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,14152,1914746
2020,3,COMPAGNIE NATIONALE ROYAL AIR MAROC,RAM,MARROCOS,INTERNACIONAL,3592,135891
2020,3,SATA INTERNACIONAL - AZORES AIRLINES,RZO,PORTUGAL,INTERNACIONAL,144,0
2020,3,SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED,SAA,ÃFRICA DO SUL,INTERNACIONAL,4237,55083
2020,3,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,DOMÃ‰STICA,0,3393474
2020,3,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,INTERNACIONAL,465,0
2020,3,SKY AIRLINES S.A.,SKU,CHILE,INTERNACIONAL,10509,0
2020,3,SURINAM AIRWAYS LTD,SLM,SURINAME,INTERNACIONAL,974,5158
2020,3,ASTA LINHAS AÃ‰REAS LTDA ( EX - AMÃ‰RICA DO SUL LINHAS AÃ‰REAS LTDA.),SUL,BRASIL,DOMÃ‰STICA,849,11189
2020,3,"SWIFT AIR,LLC",SWQ,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,616,0
2020,3,SWISS INTERNATIONAL AIR LINES LTD.,SWR,SUÃÃ‡A,INTERNACIONAL,10945,726886
2020,3,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,DOMÃ‰STICA,1809751,10600214
2020,3,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,INTERNACIONAL,272196,9303701
2020,3,TAP - TRANSPORTES AÃ‰REOS PORTUGUESES S/A,TAP,PORTUGAL,INTERNACIONAL,76423,3150792
2020,3,EMPRESA DE TRANSPORTES AÃ‰REOS DE CABO VERDE - TACV S.A.,TCV,CABO VERDE,INTERNACIONAL,2024,0
2020,3,TURKISH AIRLINES INC,THY,TURQUIA,INTERNACIONAL,12485,2081015
2020,3,TAMPA CARGO S.A.,TPA,COLÃ”MBIA,INTERNACIONAL,0,2096845
2020,3,AVIANCA PERU S.A (EX: TRANS AMERICAN AIRLINES S.A. - TACA PERU),TPU,PERU,INTERNACIONAL,10202,184120
2020,3,TOTAL LINHAS AÃ‰REAS S.A.,TTL,BRASIL,DOMÃ‰STICA,438,1315925
2020,3,EMIRATES,UAE,EMIRADOS ÃRABES UNIDOS,INTERNACIONAL,32639,1304114
2020,3,"UNITED AIRLINES,INC",UAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,41687,2151328
2020,3,UPS - UNITED PARCEL SERVICE CO.,UPS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1903489
2020,4,ANTONOV COMPANY,ADB,UCRÃ‚NIA,INTERNACIONAL,0,27543
2020,4,AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,AEA,ESPANHA,INTERNACIONAL,81,9169
2020,4,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,2041,676923
2020,4,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,394,158373
2020,4,CRISTALUX S.A (AMASZONAS URUGUAY),AUZ,URUGUAI,INTERNACIONAL,1010,0
2020,4,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,AVA,COLÃ”MBIA,INTERNACIONAL,0,18150
2020,4,ALITALIA SOCIETA AEREA ITALIANA S.P.A.,AZA,ITÃLIA,INTERNACIONAL,187,0
2020,4,COMPAÃ‘IA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.,AZN,BOLÃVIA,INTERNACIONAL,87,0
2020,4,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,18,0
2020,4,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,4864,339979
2020,4,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,164431,3328934
2020,4,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,0,53395
2020,4,KALITTA AIR LLC,CKS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,171946
2020,4,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,2413811
2020,4,DELTA AIR LINES INC.,DAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,372,143628
2020,4,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,5877,422197
2020,4,LAN ARGENTINA S.A.,DSM,ARGENTINA,INTERNACIONAL,76,0
2020,4,TAAG LINHAS AÃ‰REAS DA ANGOLA (ANGOLA AIRLINES),DTA,ANGOLA,INTERNACIONAL,0,42840
2020,4,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,1917,1911650
2020,4,EVELOP AIRLINES S.L.,EVE,ESPANHA,INTERNACIONAL,320,0
2020,4,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1373065
2020,4,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,2805153
2020,4,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,425,0
2020,4,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,142446,801482
2020,4,ATLAS AIR INC,GTI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,6830077
2020,4,KOREAN AIR LINES CO. LTD.,KAL,COREIA DO SUL,INTERNACIONAL,0,2018424
2020,4,KLM CIA. REAL HOLANDESA DE AVIAÃ‡ÃƒO,KLM,HOLANDA,INTERNACIONAL,3325,361164
2020,4,LÃNEA AÃ‰REA CARGUEIRA DE COLOMBIA S.A - LANCO,LAE,COLÃ”MBIA,INTERNACIONAL,0,578553
2020,4,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),LAN,CHILE,INTERNACIONAL,2160,759995
2020,4,LAN CARGO S.A.,LCO,CHILE,INTERNACIONAL,0,5103301
2020,4,LAN PERU S.A.,LPE,PERU,INTERNACIONAL,639,2085
2020,4,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,INTERNACIONAL,0,6527346
2020,4,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,DOMÃ‰STICA,0,2016762
2020,4,"LYNDEN AIR CARGO,LLC",LYC,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,8845
2020,4,EUROATLANTIC AIRWAYS,MMZ,PORTUGAL,INTERNACIONAL,206,6119
2020,4,MARTINAIR HOLLAND N.V.,MPH,PAÃSES BAIXOS,INTERNACIONAL,0,1295634
2020,4,MOTOR SICH PUBLIC JOINT STOCK COMPANY,MSI,UCRÃ‚NIA,INTERNACIONAL,0,22012
2020,4,MODERN TRANSPORTE AEREO DE CARGA S.A,MWM,BRASIL,DOMÃ‰STICA,0,386514
2020,4,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,625,58779
2020,4,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,1536,248
2020,4,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,2727,1915612
2020,4,SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED,SAA,ÃFRICA DO SUL,INTERNACIONAL,315,28343
2020,4,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,DOMÃ‰STICA,0,2704295
2020,4,"SWIFT AIR,LLC",SWQ,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,237,0
2020,4,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,INTERNACIONAL,4227,446772
2020,4,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,DOMÃ‰STICA,90410,2035425
2020,4,TAP - TRANSPORTES AÃ‰REOS PORTUGUESES S/A,TAP,PORTUGAL,INTERNACIONAL,2385,298597
2020,4,TURKISH AIRLINES INC,THY,TURQUIA,INTERNACIONAL,0,2098428
2020,4,TAMPA CARGO S.A.,TPA,COLÃ”MBIA,INTERNACIONAL,0,2111083
2020,4,TOTAL LINHAS AÃ‰REAS S.A.,TTL,BRASIL,DOMÃ‰STICA,110,895029
2020,4,SMARTWINGS A.S.,TVS,REPÃšBLICA TCHECA,INTERNACIONAL,21,0
2020,4,EMIRATES,UAE,EMIRADOS ÃRABES UNIDOS,INTERNACIONAL,144,202290
2020,4,"UNITED AIRLINES,INC",UAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,5623,652875
2020,4,UPS - UNITED PARCEL SERVICE CO.,UPS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,2370070
2020,5,AIR CANADA,ACA,CANADÃ,INTERNACIONAL,0,45528
2020,5,AER CARAIBE S.A.,ACL,COLÃ”MBIA,INTERNACIONAL,0,16000
2020,5,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,3215,748292
2020,5,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,0,113122
2020,5,AIRES - AEROVÃAS DE INTEGRACÃON REGIONAL S.A.,ARE,COLÃ”MBIA,INTERNACIONAL,173,0
2020,5,AEROLINEAS ARGENTINAS S/A,ARG,ARGENTINA,INTERNACIONAL,1040,0
2020,5,SERVICIO AEREO REGIONAL REGAIR AIR LTDA,ARL,EQUADOR,INTERNACIONAL,139,1800
2020,5,AUSTRAL LINEAS AÃ‰REAS - CIELOS DEL SUR,AUT,ARGENTINA,INTERNACIONAL,142,0
2020,5,CRISTALUX S.A (AMASZONAS URUGUAY),AUZ,URUGUAI,INTERNACIONAL,1079,0
2020,5,TITAN AIRWAYS,AWC,REINO UNIDO,INTERNACIONAL,25,0
2020,5,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,119,0
2020,5,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,255746,4648770
2020,5,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,7980,614671
2020,5,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,0,519083
2020,5,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,2272860
2020,5,"21 AIR,LLC",CSB,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,216869
2020,5,DELTA AIR LINES INC.,DAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,58887
2020,5,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,7878,350922
2020,5,LAN ARGENTINA S.A.,DSM,ARGENTINA,INTERNACIONAL,215,604
2020,5,FLY ALLWAYS N.V.,EDR,SURINAME,INTERNACIONAL,60,1247
2020,5,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,254,2423667
2020,5,EVELOP AIRLINES S.L.,EVE,ESPANHA,INTERNACIONAL,392,0
2020,5,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1358674
2020,5,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,3126911
2020,5,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,159391,1110046
2020,5,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,115,0
2020,5,ATLAS AIR INC,GTI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,6071104
2020,5,IBÃ‰RIA LINEAS AEREAS DE ESPAÃ‘A SOCIEDAD ANONIMA OPERADORA,IBE,ESPANHA,INTERNACIONAL,0,25322
2020,5,KOREAN AIR LINES CO. LTD.,KAL,COREIA DO SUL,INTERNACIONAL,0,2291344
2020,5,KLM CIA. REAL HOLANDESA DE AVIAÃ‡ÃƒO,KLM,HOLANDA,INTERNACIONAL,5206,1094448
2020,5,KAM AIR,KMF,AFEGANISTÃƒO,INTERNACIONAL,0,26600
2020,5,LÃNEA AÃ‰REA CARGUEIRA DE COLOMBIA S.A - LANCO,LAE,COLÃ”MBIA,INTERNACIONAL,0,537033
2020,5,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),LAN,CHILE,INTERNACIONAL,579,862739
2020,5,LAN CARGO S.A.,LCO,CHILE,INTERNACIONAL,0,4676790
2020,5,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,DOMÃ‰STICA,0,3041615
2020,5,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,INTERNACIONAL,0,6997143
2020,5,AEROTRANSPORTES MAS DE CARGA S.A. DE C.V.,MAA,MÃ‰XICO,INTERNACIONAL,0,55531
2020,5,EUROATLANTIC AIRWAYS,MMZ,PORTUGAL,INTERNACIONAL,0,12097
2020,5,MARTINAIR HOLLAND N.V.,MPH,PAÃSES BAIXOS,INTERNACIONAL,0,1058251
2020,5,MODERN TRANSPORTE AEREO DE CARGA S.A,MWM,BRASIL,DOMÃ‰STICA,0,697408
2020,5,FLYEST LINEAS AÃ‰REAS (EX SOL S.A. LINEAS AEREAS),OLS,ARGENTINA,INTERNACIONAL,43,0
2020,5,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,2292,103614
2020,5,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,1040,1117
2020,5,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,DOMÃ‰STICA,0,0
2020,5,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,1998,1384559
2020,5,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,DOMÃ‰STICA,394,3651248
2020,5,SURINAM AIRWAYS LTD,SLM,SURINAME,INTERNACIONAL,119,0
2020,5,"SWIFT AIR,LLC",SWQ,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,0
2020,5,SWISS INTERNATIONAL AIR LINES LTD.,SWR,SUÃÃ‡A,INTERNACIONAL,0,211943
2020,5,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,DOMÃ‰STICA,121044,3258863
2020,5,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,INTERNACIONAL,8841,1678181
2020,5,TAP - TRANSPORTES AÃ‰REOS PORTUGUESES S/A,TAP,PORTUGAL,INTERNACIONAL,4512,843527
2020,5,TURKISH AIRLINES INC,THY,TURQUIA,INTERNACIONAL,307,2261083
2020,5,TRANSCARGA INTERNATIONAL AIRWAYS C.A.,TIW,VENEZUELA,INTERNACIONAL,0,46099
2020,5,TAMPA CARGO S.A.,TPA,COLÃ”MBIA,INTERNACIONAL,0,2393854
2020,5,TOTAL LINHAS AÃ‰REAS S.A.,TTL,BRASIL,DOMÃ‰STICA,65,1480389
2020,5,SMARTWINGS A.S.,TVS,REPÃšBLICA TCHECA,INTERNACIONAL,32,0
2020,5,EMIRATES,UAE,EMIRADOS ÃRABES UNIDOS,INTERNACIONAL,2,905262
2020,5,"UNITED AIRLINES,INC",UAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,6146,828471
2020,5,UPS - UNITED PARCEL SERVICE CO.,UPS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1957560
2020,5,AEROENLACES NACIONALES S.A.- VIVA AEROBUS,VIV,MÃ‰XICO,INTERNACIONAL,88,1975
2020,5,VIVAAIR - FASTCOLOMBIA,VVC,COLÃ”MBIA,INTERNACIONAL,266,0
2020,5,CARIBBEAN SUN AIRLINES DBA WORLD ATLANTIC AIRLINES,WAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,0
2020,6,"AMERICAN AIRLINES,INC.",AAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,536605
2020,6,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,4260,1011253
2020,6,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,596,72008
2020,6,AUSTRAL LINEAS AÃ‰REAS - CIELOS DEL SUR,AUT,ARGENTINA,INTERNACIONAL,348,0
2020,6,CRISTALUX S.A (AMASZONAS URUGUAY),AUZ,URUGUAI,INTERNACIONAL,1209,0
2020,6,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,AVA,COLÃ”MBIA,INTERNACIONAL,661,26958
2020,6,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,79,0
2020,6,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,378631,5409634
2020,6,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,10426,685552
2020,6,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,0,764253
2020,6,BOA BOLIVIANA DE AVIACIÃ“N,BOV,BOLÃVIA,INTERNACIONAL,440,8663
2020,6,KALITTA AIR LLC,CKS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,432701
2020,6,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,1854572
2020,6,"21 AIR,LLC",CSB,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,220669
2020,6,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,10861,701316
2020,6,FLY ALLWAYS N.V.,EDR,SURINAME,INTERNACIONAL,104,2227
2020,6,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,391,1472184
2020,6,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1894407
2020,6,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,3256169
2020,6,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,310744,1256918
2020,6,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,36,0
