Ano,mes,Empresa (nome),Empresa (sigla),Empresa (pais),Natureza,Passageiros,carga e correio (kg)
2019,12,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,INTERNACIONAL,48,629
2019,12,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,3168,40030
2019,12,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,7825,0
2019,12,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,DOMÃ‰STICA,52617,502
2019,12,PRIVILEGE STYLE S.A.,PVG,ESPANHA,INTERNACIONAL,395,0
2019,12,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,25599,1597497
2019,12,COMPAGNIE NATIONALE ROYAL AIR MAROC,RAM,MARROCOS,INTERNACIONAL,11519,271416
2019,12,SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED,SAA,ÃFRICA DO SUL,INTERNACIONAL,11297,207803
2019,12,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,DOMÃ‰STICA,455,3574257
2019,12,SKY AIRLINES S.A.,SKU,CHILE,INTERNACIONAL,27590,0
2019,12,SURINAM AIRWAYS LTD,SLM,SURINAME,INTERNACIONAL,1756,1781
2019,12,SWISS INTERNATIONAL AIR LINES LTD.,SWR,SUÃÃ‡A,INTERNACIONAL,19103,1000589
2019,12,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,INTERNACIONAL,433909,11198658
2019,12,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,DOMÃ‰STICA,3204233,13386109
2019,12,TAP - TRANSPORTES AÃ‰REOS PORTUGUESES S/A,TAP,PORTUGAL,INTERNACIONAL,153210,4089179
2019,12,EMPRESA DE TRANSPORTES AÃ‰REOS DE CABO VERDE - TACV S.A.,TCV,CABO VERDE,INTERNACIONAL,9973,0
2019,12,TURKISH AIRLINES INC,THY,TURQUIA,INTERNACIONAL,21981,1602175
2019,12,TRANSCARGA INTERNATIONAL AIRWAYS C.A.,TIW,VENEZUELA,INTERNACIONAL,0,2900
2019,12,TAMPA CARGO S.A.,TPA,COLÃ”MBIA,INTERNACIONAL,0,1596005
2019,12,AVIANCA PERU S.A (EX: TRANS AMERICAN AIRLINES S.A. - TACA PERU),TPU,PERU,INTERNACIONAL,24878,475324
2019,12,TOTAL LINHAS AÃ‰REAS S.A.,TTL,BRASIL,DOMÃ‰STICA,5495,1561296
2019,12,EMIRATES,UAE,EMIRADOS ÃRABES UNIDOS,INTERNACIONAL,51812,976272
2019,12,"UNITED AIRLINES,INC",UAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,73895,1984986
2019,12,UPS - UNITED PARCEL SERVICE CO.,UPS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1855446
2020,1,"AMERICAN AIRLINES,INC.",AAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,116703,2800495
2020,1,AIR CANADA,ACA,CANADÃ,INTERNACIONAL,24409,617762
2020,1,AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,AEA,ESPANHA,INTERNACIONAL,33658,668141
2020,1,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,64715,1819596
2020,1,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,23324,680908
2020,1,AEROLINEAS ARGENTINAS S/A,ARG,ARGENTINA,INTERNACIONAL,121604,8410
2020,1,AUSTRAL LINEAS AÃ‰REAS - CIELOS DEL SUR,AUT,ARGENTINA,INTERNACIONAL,4673,591
2020,1,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,AVA,COLÃ”MBIA,INTERNACIONAL,33865,452556
2020,1,ALITALIA SOCIETA AEREA ITALIANA S.P.A.,AZA,ITÃLIA,INTERNACIONAL,43525,586408
2020,1,COMPAÃ‘IA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.,AZN,BOLÃVIA,INTERNACIONAL,2996,0
2020,1,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,2436,0
2020,1,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,2514145,7486336
2020,1,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,161872,2191322
2020,1,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,26140,1118417
2020,1,BOA BOLIVIANA DE AVIACIÃ“N,BOV,BOLÃVIA,INTERNACIONAL,13524,26693
2020,1,AIR CHINA,CCA,CHINA,INTERNACIONAL,5993,164057
2020,1,KALITTA AIR LLC,CKS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,42876
2020,1,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,3418009
2020,1,COMPAÃ‘IA PANAMEÃ‘A DE AVIACION S.A. (COPA AIRLINES),CMP,PANAMÃ,INTERNACIONAL,92844,93018
2020,1,CORENDON DUTCH AIRLINES B.V.,CND,HOLANDA,INTERNACIONAL,1284,0
2020,1,CONNECT LINHAS AÃ‰REAS S.A. (ANTIGA CONNECT TÃXI AÃ‰REO LTDA.),CNT,BRASIL,DOMÃ‰STICA,0,759351
2020,1,DELTA AIR LINES INC.,DAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,53778,719979
2020,1,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,48354,1411558
2020,1,LAN ARGENTINA S.A.,DSM,ARGENTINA,INTERNACIONAL,4077,5133
2020,1,TAAG LINHAS AÃ‰REAS DA ANGOLA (ANGOLA AIRLINES),DTA,ANGOLA,INTERNACIONAL,9243,112770
2020,1,EDELWEISS AIR AG,EDW,SUÃÃ‡A,INTERNACIONAL,4737,25315
2020,1,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,18265,753330
2020,1,FB LÃNEAS AÃ‰REAS S.A (FLYBONDI),FBZ,ARGENTINA,INTERNACIONAL,12412,0
2020,1,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1088708
2020,1,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,1977368
2020,1,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,204236,152056
2020,1,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,DOMÃ‰STICA,3419558,6574427
2020,1,ATLAS AIR INC,GTI,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,4508658
2020,1,HI FLY TRANSPORTES AEREOS,HFY,PORTUGAL,INTERNACIONAL,1584,0
2020,1,IBÃ‰RIA LINEAS AEREAS DE ESPAÃ‘A SOCIEDAD ANONIMA OPERADORA,IBE,ESPANHA,INTERNACIONAL,35222,810947
2020,1,JETSMART AIRLINES SPA - CHILE,JAT,CHILE,INTERNACIONAL,6493,0
2020,1,KOREAN AIR LINES CO. LTD.,KAL,COREIA DO SUL,INTERNACIONAL,0,1778622
2020,1,KLM CIA. REAL HOLANDESA DE AVIAÃ‡ÃƒO,KLM,HOLANDA,INTERNACIONAL,43624,1464834
2020,1,LÃNEA AÃ‰REA CARGUEIRA DE COLOMBIA S.A - LANCO,LAE,COLÃ”MBIA,INTERNACIONAL,0,587435
2020,1,LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A),LAN,CHILE,INTERNACIONAL,55666,1033876
2020,1,TRANSPORTE AÃ‰REOS DEL MERCOSUR S.A. (TAM MERCOSUR),LAP,PARAGUAI,INTERNACIONAL,20484,32995
2020,1,LAN CARGO S.A.,LCO,CHILE,INTERNACIONAL,0,1776607
2020,1,LAN PERU S.A.,LPE,PERU,INTERNACIONAL,30891,642083
2020,1,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,INTERNACIONAL,0,5597786
2020,1,ABSA - AEROLINHAS BRASILEIRAS S.A.,LTG,BRASIL,DOMÃ‰STICA,0,2770548
2020,1,MARTINAIR HOLLAND N.V.,MPH,PAÃSES BAIXOS,INTERNACIONAL,0,969757
2020,1,MODERN TRANSPORTE AEREO DE CARGA S.A,MWM,BRASIL,DOMÃ‰STICA,0,419915
2020,1,NORWEGIAN AIR UKÂ LIMITED,NRS,REINO UNIDO,INTERNACIONAL,9361,128915
2020,1,OMNI TÃXI AÃ‰REO S.A.,OMI,BRASIL,DOMÃ‰STICA,2057,0
2020,1,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,INTERNACIONAL,118,1699
2020,1,TWO TÃXI AÃ‰REO LTDA.,OWT,BRASIL,DOMÃ‰STICA,3462,46030
2020,1,MAP TRANSPORTES AÃ‰REOS LTDA.,PAM,BRASIL,DOMÃ‰STICA,8245,0
2020,1,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,INTERNACIONAL,0,0
2020,1,PASSAREDO TRANSPORTES AÃ‰REOS S.A.,PTB,BRASIL,DOMÃ‰STICA,47003,30
2020,1,PRIVILEGE STYLE S.A.,PVG,ESPANHA,INTERNACIONAL,391,0
2020,1,QATAR AIRWAYS GROUP,QTR,QATAR,INTERNACIONAL,23564,1412616
2020,1,COMPAGNIE NATIONALE ROYAL AIR MAROC,RAM,MARROCOS,INTERNACIONAL,11384,163703
2020,1,AVIOR AIRLINES BRASIL C.A.,ROI,VENEZUELA,INTERNACIONAL,1053,0
2020,1,SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED,SAA,ÃFRICA DO SUL,INTERNACIONAL,12381,85738
2020,1,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,DOMÃ‰STICA,663,3611429
2020,1,SIDERAL LINHAS AÃ‰REAS LTDA.,SID,BRASIL,INTERNACIONAL,103,0
2020,1,SKY AIRLINES S.A.,SKU,CHILE,INTERNACIONAL,38724,0
2020,1,SURINAM AIRWAYS LTD,SLM,SURINAME,INTERNACIONAL,1418,507
2020,1,ASTA LINHAS AÃ‰REAS LTDA ( EX - AMÃ‰RICA DO SUL LINHAS AÃ‰REAS LTDA.),SUL,BRASIL,DOMÃ‰STICA,958,13363
2020,1,"SWIFT AIR,LLC",SWQ,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,110,0
2020,1,SWISS INTERNATIONAL AIR LINES LTD.,SWR,SUÃÃ‡A,INTERNACIONAL,19815,888882
2020,1,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,DOMÃ‰STICA,3257797,11242282
2020,1,TAM LINHAS AÃ‰REAS S.A.,TAM,BRASIL,INTERNACIONAL,486092,9688144
2020,1,TAP - TRANSPORTES AÃ‰REOS PORTUGUESES S/A,TAP,PORTUGAL,INTERNACIONAL,155957,3617099
2020,1,EMPRESA DE TRANSPORTES AÃ‰REOS DE CABO VERDE - TACV S.A.,TCV,CABO VERDE,INTERNACIONAL,11925,0
2020,1,TURKISH AIRLINES INC,THY,TURQUIA,INTERNACIONAL,21870,1631827
2020,1,TAMPA CARGO S.A.,TPA,COLÃ”MBIA,INTERNACIONAL,0,1174957
2020,1,AVIANCA PERU S.A (EX: TRANS AMERICAN AIRLINES S.A. - TACA PERU),TPU,PERU,INTERNACIONAL,25718,516802
2020,1,TOTAL LINHAS AÃ‰REAS S.A.,TTL,BRASIL,DOMÃ‰STICA,5323,1548162
2020,1,EMIRATES,UAE,EMIRADOS ÃRABES UNIDOS,INTERNACIONAL,54133,1248199
2020,1,"UNITED AIRLINES,INC",UAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,72672,1672747
2020,1,UPS - UNITED PARCEL SERVICE CO.,UPS,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1497456
2020,2,"AMERICAN AIRLINES,INC.",AAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,103851,3125942
2020,2,AIR CANADA,ACA,CANADÃ,INTERNACIONAL,21037,661375
2020,2,ANTONOV COMPANY,ADB,UCRÃ‚NIA,INTERNACIONAL,0,172000
2020,2,AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA,AEA,ESPANHA,INTERNACIONAL,26690,795267
2020,2,SOCIÃ‰TÃ‰ AIR FRANCE,AFR,FRANÃ‡A,INTERNACIONAL,60466,2244263
2020,2,AEROVÃAS DE MÃ‰XICO S.A DE C.V - AEROMÃ‰XICO,AMX,MÃ‰XICO,INTERNACIONAL,18716,923324
2020,2,AEROLINEAS ARGENTINAS S/A,ARG,ARGENTINA,INTERNACIONAL,106787,12138
2020,2,AUSTRAL LINEAS AÃ‰REAS - CIELOS DEL SUR,AUT,ARGENTINA,INTERNACIONAL,3803,0
2020,2,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,AVA,COLÃ”MBIA,INTERNACIONAL,28062,436424
2020,2,TITAN AIRWAYS,AWC,REINO UNIDO,INTERNACIONAL,300,0
2020,2,ALITALIA SOCIETA AEREA ITALIANA S.P.A.,AZA,ITÃLIA,INTERNACIONAL,39021,741931
2020,2,COMPAÃ‘IA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.,AZN,BOLÃVIA,INTERNACIONAL,1783,0
2020,2,COMPAÃ‘IA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY),AZP,PARAGUAI,INTERNACIONAL,1382,0
2020,2,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,INTERNACIONAL,117312,2288016
2020,2,AZUL LINHAS AÃ‰REAS BRASILEIRAS S/A,AZU,BRASIL,DOMÃ‰STICA,2121212,7343381
2020,2,BRITISH AIRWAYS PLC,BAW,INGLATERRA,INTERNACIONAL,23355,1064240
2020,2,BOA BOLIVIANA DE AVIACIÃ“N,BOV,BOLÃVIA,INTERNACIONAL,11370,25112
2020,2,AIR CHINA,CCA,CHINA,INTERNACIONAL,4120,207230
2020,2,CARGOLUX AIRLINES INTERNATIONAL S/A,CLX,LUXEMBURGO,INTERNACIONAL,0,3585883
2020,2,COMPAÃ‘IA PANAMEÃ‘A DE AVIACION S.A. (COPA AIRLINES),CMP,PANAMÃ,INTERNACIONAL,79343,129189
2020,2,CORENDON DUTCH AIRLINES B.V.,CND,HOLANDA,INTERNACIONAL,1329,0
2020,2,CONNECT LINHAS AÃ‰REAS S.A. (ANTIGA CONNECT TÃXI AÃ‰REO LTDA.),CNT,BRASIL,DOMÃ‰STICA,0,92720
2020,2,DELTA AIR LINES INC.,DAL,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,44180,907949
2020,2,DEUTSCHE LUFTHANSA A.G.,DLH,ALEMANHA,INTERNACIONAL,40356,1655862
2020,2,LAN ARGENTINA S.A.,DSM,ARGENTINA,INTERNACIONAL,3886,4223
2020,2,TAAG LINHAS AÃ‰REAS DA ANGOLA (ANGOLA AIRLINES),DTA,ANGOLA,INTERNACIONAL,8109,170057
2020,2,EDELWEISS AIR AG,EDW,SUÃÃ‡A,INTERNACIONAL,3721,47460
2020,2,ETHIOPIAN AIRLINES GROUP,ETH,ETIÃ“PIA,INTERNACIONAL,15290,470437
2020,2,FB LÃNEAS AÃ‰REAS S.A (FLYBONDI),FBZ,ARGENTINA,INTERNACIONAL,13802,0
2020,2,FEDEX - FEDERAL EXPRESS CORPORATION,FDX,ESTADOS UNIDOS DA AMÃ‰RICA,INTERNACIONAL,0,1143938
2020,2,LUFTHANSA CARGO AG,GEC,ALEMANHA,INTERNACIONAL,0,2585914
2020,2,GOL LINHAS AÃ‰REAS S.A. (EX- VRG LINHAS AÃ‰REAS S.A.),GLO,BRASIL,INTERNACIONAL,176510,152333
