Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
1604," $ 18,900.00 ",ford,doors,2015,clean vehicle,44456,charcoal,new york, usa
1605," $ 31,500.00 ",ford,wagon,2019,clean vehicle,20357,black,pennsylvania, usa
1606," $ 45,500.00 ",ford,door,2017,clean vehicle,66366,black,florida, usa
1607," $ 11,000.00 ",ford,door,2017,clean vehicle,43532,gray,pennsylvania, usa
1608," $ 18,288.00 ",ford,doors,2015,clean vehicle,45218,gray,new york, usa
1609," $ 20,000.00 ",ford,door,2017,clean vehicle,85688,white,florida, usa
1610," $ 36,600.00 ",ford,door,2016,clean vehicle,58902,white,pennsylvania, usa
1611," $ 18,299.00 ",ford,doors,2015,clean vehicle,59869,silver,pennsylvania, usa
1612," $ 10,000.00 ",ford,escape,2017,clean vehicle,35021,silver,colorado, usa
1613," $ 4,100.00 ",ford,door,2012,clean vehicle,100264,silver,pennsylvania, usa
1614," $ 30,995.00 ",ford,door,2015,clean vehicle,157057,off-white,texas, usa
1615," $ 1,750.00 ",ford,door,2012,salvage insurance,181316,black,minnesota, usa
1616," $ 31,500.00 ",ford,wagon,2019,clean vehicle,23222,black,pennsylvania, usa
1617," $ 13,500.00 ",ford,door,2016,clean vehicle,87686,white,colorado, usa
1618," $ 7,500.00 ",ford,door,2014,clean vehicle,162918,blue,texas, usa
1619, $ 650.00 ,ford,door,2017,salvage insurance,0,black,california, usa
1620," $ 22,800.00 ",ford,wagon,2019,clean vehicle,32526,white,pennsylvania, usa
1621," $ 11,300.00 ",ford,door,2016,clean vehicle,69402,white,colorado, usa
1622," $ 32,700.00 ",ford,door,2014,clean vehicle,76336,white,texas, usa
1623," $ 1,350.00 ",ford,door,2012,salvage insurance,163334,white,virginia, usa
1624," $ 21,900.00 ",ford,wagon,2019,clean vehicle,47628,white,pennsylvania, usa
1625," $ 11,700.00 ",ford,door,2014,clean vehicle,135283,orange,texas, usa
1626," $ 6,500.00 ",ford,door,2014,salvage insurance,147903,white,georgia, usa
1627," $ 9,800.00 ",ford,door,2014,clean vehicle,74181,black,colorado, usa
1628," $ 11,000.00 ",ford,door,2014,clean vehicle,77386,white,texas, usa
1629," $ 1,150.00 ",ford,door,2014,salvage insurance,123349,red,georgia, usa
1630," $ 13,000.00 ",ford,cutaway,2013,clean vehicle,136661,white,colorado, usa
1631," $ 5,500.00 ",ford,door,2013,clean vehicle,109600,silver,texas, usa
1632," $ 6,000.00 ",ford,door,2014,salvage insurance,125369,black,massachusetts, usa
1633," $ 11,200.00 ",ford,door,2013,clean vehicle,122861,blue,texas, usa
1634," $ 5,000.00 ",ford,door,2016,salvage insurance,110826,gray,massachusetts, usa
1635," $ 23,400.00 ",ford,f-150,2019,clean vehicle,12198,white,missouri, usa
1636," $ 13,500.00 ",ford,door,2019,salvage insurance,45512,red,massachusetts, usa
1637," $ 22,900.00 ",ford,f-150,2019,clean vehicle,15656,white,missouri, usa
1638," $ 20,000.00 ",ford,fusion,2020,clean vehicle,23984,silver,virginia, usa
1639," $ 22,900.00 ",ford,f-150,2019,clean vehicle,15821,white,missouri, usa
1640," $ 27,000.00 ",ford,mustang,2020,clean vehicle,12748,red,virginia, usa
1641," $ 54,500.00 ",ford,expedition,2019,clean vehicle,9865,blue,oklahoma, usa
1642," $ 20,600.00 ",ford,fusion,2020,clean vehicle,17858,black,virginia, usa
1643," $ 23,500.00 ",ford,f-150,2019,clean vehicle,6711,white,missouri, usa
1644," $ 53,000.00 ",ford,expedition,2019,clean vehicle,14939,blue,oklahoma, usa
1645," $ 23,600.00 ",ford,transit,2019,clean vehicle,15820,white,missouri, usa
1646," $ 33,500.00 ",ford,wagon,2019,clean vehicle,6140,silver,oklahoma, usa
1647," $ 24,400.00 ",ford,edge,2019,clean vehicle,25552,gray,virginia, usa
1648," $ 13,000.00 ",ford,focus,2016,clean vehicle,54984,black,west virginia, usa
1649," $ 48,400.00 ",ford,max,2019,clean vehicle,24783,black,virginia, usa
1650," $ 26,500.00 ",ford,door,2014,clean vehicle,148442,silver,west virginia, usa
1651," $ 46,200.00 ",ford,max,2019,clean vehicle,34191,white,virginia, usa
1652," $ 9,300.00 ",ford,door,2013,clean vehicle,82072,silver,west virginia, usa
1653," $ 13,500.00 ",ford,door,2012,clean vehicle,104559,white,west virginia, usa
1654," $ 27,600.00 ",ford,edge,2019,clean vehicle,13265,silver,virginia, usa
1655," $ 7,400.00 ",ford,door,2013,clean vehicle,133314,red,west virginia, usa
1656," $ 26,500.00 ",ford,edge,2019,clean vehicle,22458,gray,virginia, usa
1657," $ 26,000.00 ",ford,door,2013,clean vehicle,70106,white,west virginia, usa
1658," $ 24,500.00 ",ford,edge,2019,clean vehicle,23712,black,virginia, usa
1659," $ 2,100.00 ",ford,door,2012,clean vehicle,101848,red,west virginia, usa
1660," $ 16,700.00 ",ford,ecosport,2019,clean vehicle,14994,black,virginia, usa
1661," $ 17,500.00 ",ford,edge,2015,clean vehicle,59726,gray,missouri, usa
1662," $ 17,000.00 ",ford,escape,2019,clean vehicle,16448,gray,virginia, usa
1663," $ 22,500.00 ",ford,door,2015,clean vehicle,28801,black,oklahoma, usa
1664," $ 34,500.00 ",ford,f-150,2019,clean vehicle,28938,gray,michigan, usa
1665," $ 16,600.00 ",ford,ecosport,2019,clean vehicle,19022,black,virginia, usa
1666," $ 7,500.00 ",ford,door,2014,clean vehicle,93832,silver,missouri, usa
1667," $ 34,500.00 ",ford,f-150,2019,clean vehicle,25046,white,michigan, usa
1668," $ 25,000.00 ",ford,edge,2019,clean vehicle,22318,black,virginia, usa
1669," $ 36,000.00 ",ford,f-150,2019,clean vehicle,17301,gray,michigan, usa
1670," $ 23,700.00 ",ford,edge,2019,clean vehicle,27413,gray,virginia, usa
1671," $ 28,600.00 ",ford,explorer,2019,clean vehicle,39733,silver,michigan, usa
1672," $ 23,500.00 ",ford,door,2013,clean vehicle,74195,brown,oklahoma, usa
1673," $ 25,300.00 ",ford,explorer,2019,clean vehicle,44383,silver,michigan, usa
1674," $ 24,900.00 ",ford,flex,2019,clean vehicle,19151,white,virginia, usa
