FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,legenda,classe
vw_pib_percapita.fid--5b279956_17f92aca0ed_-35db,625,RIO GRANDE DO SUL,Itatiba do Sul,2010,419078359375,4521,926958984375,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-35b6,1693,RIO GRANDE DO NORTE,Monte Alegre,2010,939398125,21448,437989013672,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-359f,4041,PARANÁ,Rondon,2010,16866346875,9465,1781969921875,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-355d,1145,SERGIPE,Canhoba,2010,216831015625,4025,538710986328,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3557,4839,SÃO PAULO,São Bento do Sapucaí,2010,914145625,10966,83361796875,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-353c,2998,MINAS GERAIS,Cabeceira Grande,2010,1304245234375,6600,197612890625,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-34f7,2666,PARANÁ,Lobato,2010,13172628125,4405,2990381054688,Produto Interno Bruto per capita,22144.80 - 52702.10,3
vw_pib_percapita.fid--5b279956_17f92aca0ed_-34bb,5464,PIAUÍ,Flores do Piauí,2010,1612122167969,4615,34932199707,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3492,461,RIO GRANDE DO SUL,Eldorado do Sul,2010,6512006875,33668,1934183007812,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-344a,5179,SANTA CATARINA,Ascurra,2010,898890078125,6945,1294298046875,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3437,507,RIO GRANDE DO SUL,São José do Herval,2010,2392303320312,2549,938525976562,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3424,5152,PIAUÍ,Tanque do Piauí,2010,121969140625,2714,449406982422,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-340b,2142,PARAÍBA,Malta,2010,2284753320312,5800,393922998047,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-3406,4084,MATO GROSSO,Ipiranga do Norte,2010,343376,4641,739875078125,Produto Interno Bruto per capita,52702.10 - 133669.00,4
