Data,selic
8/27/2012,0.03
8/28/2012,0.03
8/29/2012,0.03
8/30/2012,0.03
8/31/2012,0.03
9/3/2012,0.03
9/4/2012,0.03
9/5/2012,0.03
9/6/2012,0.03
9/10/2012,0.03
9/11/2012,0.03
9/12/2012,0.03
9/13/2012,0.03
9/14/2012,0.03
9/17/2012,0.03
9/18/2012,0.03
9/19/2012,0.03
9/20/2012,0.03
9/21/2012,0.03
9/24/2012,0.03
9/25/2012,0.03
9/26/2012,0.03
9/27/2012,0.03
9/28/2012,0.03
10/1/2012,0.03
10/2/2012,0.03
10/3/2012,0.03
10/4/2012,0.03
10/5/2012,0.03
10/8/2012,0.03
10/9/2012,0.03
10/10/2012,0.03
10/11/2012,0.03
10/15/2012,0.03
10/16/2012,0.03
10/17/2012,0.03
10/18/2012,0.03
10/19/2012,0.03
10/22/2012,0.03
10/23/2012,0.03
10/24/2012,0.03
10/25/2012,0.03
10/26/2012,0.03
10/29/2012,0.03
10/30/2012,0.03
10/31/2012,0.03
11/1/2012,0.03
11/5/2012,0.03
11/6/2012,0.03
11/7/2012,0.03
11/8/2012,0.03
11/9/2012,0.03
11/12/2012,0.03
11/13/2012,0.03
11/14/2012,0.03
11/16/2012,0.03
11/19/2012,0.03
11/20/2012,0.03
11/21/2012,0.03
11/22/2012,0.03
11/23/2012,0.03
11/26/2012,0.03
11/27/2012,0.03
11/28/2012,0.03
11/29/2012,0.03
11/30/2012,0.03
12/3/2012,0.03
12/4/2012,0.03
12/5/2012,0.03
12/6/2012,0.03
12/7/2012,0.03
12/10/2012,0.03
12/11/2012,0.03
12/12/2012,0.03
12/13/2012,0.03
12/14/2012,0.03
12/17/2012,0.03
12/18/2012,0.03
12/19/2012,0.03
12/20/2012,0.03
12/21/2012,0.03
12/24/2012,0.03
12/26/2012,0.03
12/27/2012,0.03
12/28/2012,0.03
12/31/2012,0.03
1/2/2013,0.03
1/3/2013,0.03
1/4/2013,0.03
1/7/2013,0.03
1/8/2013,0.03
1/9/2013,0.03
1/10/2013,0.03
1/11/2013,0.03
1/14/2013,0.03
1/15/2013,0.03
1/16/2013,0.03
1/17/2013,0.03
1/18/2013,0.03
1/21/2013,0.03
1/22/2013,0.03
1/23/2013,0.03
1/24/2013,0.03
1/25/2013,0.03
1/28/2013,0.03
1/29/2013,0.03
1/30/2013,0.03
1/31/2013,0.03
2/1/2013,0.03
2/4/2013,0.03
2/5/2013,0.03
2/6/2013,0.03
2/7/2013,0.03
2/8/2013,0.03
2/13/2013,0.03
2/14/2013,0.03
2/15/2013,0.03
2/18/2013,0.03
2/19/2013,0.03
2/20/2013,0.03
2/21/2013,0.03
2/22/2013,0.03
2/25/2013,0.03
2/26/2013,0.03
2/27/2013,0.03
2/28/2013,0.03
3/1/2013,0.03
3/4/2013,0.03
3/5/2013,0.03
3/6/2013,0.03
3/7/2013,0.03
3/8/2013,0.03
3/11/2013,0.03
3/12/2013,0.03
3/13/2013,0.03
3/14/2013,0.03
3/15/2013,0.03
3/18/2013,0.03
3/19/2013,0.03
3/20/2013,0.03
3/21/2013,0.03
3/22/2013,0.03
3/25/2013,0.03
3/26/2013,0.03
3/27/2013,0.03
3/28/2013,0.03
4/1/2013,0.03
4/2/2013,0.03
4/3/2013,0.03
4/4/2013,0.03
4/5/2013,0.03
4/8/2013,0.03
4/9/2013,0.03
4/10/2013,0.03
4/11/2013,0.03
4/12/2013,0.03
4/15/2013,0.03
4/16/2013,0.03
4/17/2013,0.03
4/18/2013,0.03
4/19/2013,0.03
4/22/2013,0.03
4/23/2013,0.03
4/24/2013,0.03
4/25/2013,0.03
4/26/2013,0.03
4/29/2013,0.03
4/30/2013,0.03
5/2/2013,0.03
5/3/2013,0.03
5/6/2013,0.03
5/7/2013,0.03
5/8/2013,0.03
5/9/2013,0.03
5/10/2013,0.03
5/13/2013,0.03
5/14/2013,0.03
5/15/2013,0.03
5/16/2013,0.03
5/17/2013,0.03
5/20/2013,0.03
5/21/2013,0.03
5/22/2013,0.03
5/23/2013,0.03
5/24/2013,0.03
5/27/2013,0.03
5/28/2013,0.03
5/29/2013,0.03
5/31/2013,0.03
6/3/2013,0.03
6/4/2013,0.03
6/5/2013,0.03
6/6/2013,0.03
6/7/2013,0.03
6/10/2013,0.03
6/11/2013,0.03
6/12/2013,0.03
6/13/2013,0.03
6/14/2013,0.03
6/17/2013,0.03
6/18/2013,0.03
6/19/2013,0.03
6/20/2013,0.03
6/21/2013,0.03
6/24/2013,0.03
6/25/2013,0.03
6/26/2013,0.03
6/27/2013,0.03
6/28/2013,0.03
7/1/2013,0.03
7/2/2013,0.03
7/3/2013,0.03
7/4/2013,0.03
7/5/2013,0.03
7/8/2013,0.03
7/9/2013,0.03
7/10/2013,0.03
7/11/2013,0.03
7/12/2013,0.03
7/15/2013,0.03
7/16/2013,0.03
7/17/2013,0.03
7/18/2013,0.03
7/19/2013,0.03
7/22/2013,0.03
7/23/2013,0.03
7/24/2013,0.03
7/25/2013,0.03
7/26/2013,0.03
7/29/2013,0.03
7/30/2013,0.03
7/31/2013,0.03
8/1/2013,0.03
8/2/2013,0.03
8/5/2013,0.03
8/6/2013,0.03
8/7/2013,0.03
8/8/2013,0.03
8/9/2013,0.03
8/12/2013,0.03
8/13/2013,0.03
8/14/2013,0.03
8/15/2013,0.03
8/16/2013,0.03
8/19/2013,0.03
8/20/2013,0.03
8/21/2013,0.03
8/22/2013,0.03
8/23/2013,0.03
8/26/2013,0.03
8/27/2013,0.03
8/28/2013,0.03
8/29/2013,0.03
8/30/2013,0.03
9/2/2013,0.03
9/3/2013,0.03
9/4/2013,0.03
9/5/2013,0.03
9/6/2013,0.03
9/9/2013,0.03
9/10/2013,0.03
9/11/2013,0.03
9/12/2013,0.03
9/13/2013,0.03
9/16/2013,0.03
9/17/2013,0.03
9/18/2013,0.03
9/19/2013,0.03
9/20/2013,0.03
9/23/2013,0.03
9/24/2013,0.03
9/25/2013,0.03
9/26/2013,0.03
9/27/2013,0.03
9/30/2013,0.03
10/1/2013,0.03
10/2/2013,0.03
10/3/2013,0.03
10/4/2013,0.03
10/7/2013,0.03
10/8/2013,0.03
10/9/2013,0.03
10/10/2013,0.04
10/11/2013,0.04
10/14/2013,0.04
10/15/2013,0.04
10/16/2013,0.04
10/17/2013,0.04
10/18/2013,0.04
10/21/2013,0.04
10/22/2013,0.04
10/23/2013,0.04
10/24/2013,0.04
10/25/2013,0.04
10/28/2013,0.04
10/29/2013,0.04
10/30/2013,0.04
10/31/2013,0.04
11/1/2013,0.04
11/4/2013,0.04
11/5/2013,0.04
11/6/2013,0.04
11/7/2013,0.04
11/8/2013,0.04
11/11/2013,0.04
11/12/2013,0.04
11/13/2013,0.04
11/14/2013,0.04
11/18/2013,0.04
11/19/2013,0.04
11/20/2013,0.04
11/21/2013,0.04
11/22/2013,0.04
11/25/2013,0.04
11/26/2013,0.04
11/27/2013,0.04
11/28/2013,0.04
11/29/2013,0.04
12/2/2013,0.04
12/3/2013,0.04
12/4/2013,0.04
12/5/2013,0.04
12/6/2013,0.04
12/9/2013,0.04
12/10/2013,0.04
12/11/2013,0.04
12/12/2013,0.04
12/13/2013,0.04
12/16/2013,0.04
12/17/2013,0.04
12/18/2013,0.04
12/19/2013,0.04
12/20/2013,0.04
12/23/2013,0.04
12/24/2013,0.04
12/26/2013,0.04
12/27/2013,0.04
12/30/2013,0.04
12/31/2013,0.04
1/2/2014,0.04
1/3/2014,0.04
1/6/2014,0.04
1/7/2014,0.04
1/8/2014,0.04
1/9/2014,0.04
1/10/2014,0.04
1/13/2014,0.04
1/14/2014,0.04
1/15/2014,0.04
1/16/2014,0.04
1/17/2014,0.04
1/20/2014,0.04
1/21/2014,0.04
1/22/2014,0.04
1/23/2014,0.04
1/24/2014,0.04
1/27/2014,0.04
1/28/2014,0.04
1/29/2014,0.04
1/30/2014,0.04
1/31/2014,0.04
2/3/2014,0.04
2/4/2014,0.04
2/5/2014,0.04
2/6/2014,0.04
2/7/2014,0.04
2/10/2014,0.04
2/11/2014,0.04
2/12/2014,0.04
2/13/2014,0.04
2/14/2014,0.04
2/17/2014,0.04
2/18/2014,0.04
2/19/2014,0.04
2/20/2014,0.04
2/21/2014,0.04
2/24/2014,0.04
2/25/2014,0.04
2/26/2014,0.04
2/27/2014,0.04
2/28/2014,0.04
3/5/2014,0.04
3/6/2014,0.04
3/7/2014,0.04
3/10/2014,0.04
3/11/2014,0.04
3/12/2014,0.04
3/13/2014,0.04
3/14/2014,0.04
3/17/2014,0.04
3/18/2014,0.04
3/19/2014,0.04
3/20/2014,0.04
3/21/2014,0.04
3/24/2014,0.04
3/25/2014,0.04
3/26/2014,0.04
3/27/2014,0.04
3/28/2014,0.04
3/31/2014,0.04
4/1/2014,0.04
4/2/2014,0.04
4/3/2014,0.04
4/4/2014,0.04
4/7/2014,0.04
4/8/2014,0.04
4/9/2014,0.04
4/10/2014,0.04
4/11/2014,0.04
4/14/2014,0.04
4/15/2014,0.04
4/16/2014,0.04
4/17/2014,0.04
4/22/2014,0.04
4/23/2014,0.04
4/24/2014,0.04
4/25/2014,0.04
4/28/2014,0.04
4/29/2014,0.04
4/30/2014,0.04
5/2/2014,0.04
5/5/2014,0.04
5/6/2014,0.04
5/7/2014,0.04
5/8/2014,0.04
5/9/2014,0.04
5/12/2014,0.04
5/13/2014,0.04
5/14/2014,0.04
5/15/2014,0.04
5/16/2014,0.04
5/19/2014,0.04
5/20/2014,0.04
5/21/2014,0.04
5/22/2014,0.04
5/23/2014,0.04
5/26/2014,0.04
5/27/2014,0.04
5/28/2014,0.04
5/29/2014,0.04
5/30/2014,0.04
6/2/2014,0.04
6/3/2014,0.04
6/4/2014,0.04
6/5/2014,0.04
6/6/2014,0.04
6/9/2014,0.04
6/10/2014,0.04
6/11/2014,0.04
6/12/2014,0.04
6/13/2014,0.04
6/16/2014,0.04
6/17/2014,0.04
6/18/2014,0.04
6/20/2014,0.04
6/23/2014,0.04
6/24/2014,0.04
6/25/2014,0.04
6/26/2014,0.04
6/27/2014,0.04
6/30/2014,0.04
7/1/2014,0.04
7/2/2014,0.04
7/3/2014,0.04
7/4/2014,0.04
7/7/2014,0.04
7/8/2014,0.04
7/9/2014,0.04
7/10/2014,0.04
7/11/2014,0.04
7/14/2014,0.04
7/15/2014,0.04
7/16/2014,0.04
7/17/2014,0.04
7/18/2014,0.04
7/21/2014,0.04
7/22/2014,0.04
7/23/2014,0.04
7/24/2014,0.04
7/25/2014,0.04
7/28/2014,0.04
7/29/2014,0.04
7/30/2014,0.04
7/31/2014,0.04
8/1/2014,0.04
8/4/2014,0.04
8/5/2014,0.04
8/6/2014,0.04
8/7/2014,0.04
8/8/2014,0.04
8/11/2014,0.04
8/12/2014,0.04
8/13/2014,0.04
8/14/2014,0.04
8/15/2014,0.04
8/18/2014,0.04
8/19/2014,0.04
8/20/2014,0.04
8/21/2014,0.04
8/22/2014,0.04
8/25/2014,0.04
8/26/2014,0.04
8/27/2014,0.04
8/28/2014,0.04
8/29/2014,0.04
9/1/2014,0.04
9/2/2014,0.04
9/3/2014,0.04
9/4/2014,0.04
9/5/2014,0.04
9/8/2014,0.04
9/9/2014,0.04
9/10/2014,0.04
9/11/2014,0.04
9/12/2014,0.04
9/15/2014,0.04
9/16/2014,0.04
9/17/2014,0.04
9/18/2014,0.04
9/19/2014,0.04
9/22/2014,0.04
9/23/2014,0.04
9/24/2014,0.04
9/25/2014,0.04
9/26/2014,0.04
9/29/2014,0.04
9/30/2014,0.04
10/1/2014,0.04
10/2/2014,0.04
10/3/2014,0.04
10/6/2014,0.04
10/7/2014,0.04
10/8/2014,0.04
10/9/2014,0.04
10/10/2014,0.04
10/13/2014,0.04
10/14/2014,0.04
10/15/2014,0.04
10/16/2014,0.04
10/17/2014,0.04
10/20/2014,0.04
10/21/2014,0.04
10/22/2014,0.04
10/23/2014,0.04
10/24/2014,0.04
10/27/2014,0.04
10/28/2014,0.04
10/29/2014,0.04
10/30/2014,0.04
10/31/2014,0.04
11/3/2014,0.04
11/4/2014,0.04
11/5/2014,0.04
11/6/2014,0.04
11/7/2014,0.04
11/10/2014,0.04
11/11/2014,0.04
11/12/2014,0.04
11/13/2014,0.04
11/14/2014,0.04
11/17/2014,0.04
11/18/2014,0.04
11/19/2014,0.04
11/20/2014,0.04
11/21/2014,0.04
